Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,1,Rich Minion,S1617,Yeat,/track?id=84058108,https://www.tiktok.com/music/Rich-Minion-7109284473828591617,Back Lot Music,"Jun 14, 2022",44,687K,1.3M,1,"Jul 16, 2022",8,0.14,USQ4E2200763
2,15,Beat Automotivo Tan Tan Tan Viral,S4978,WZ Beat,/track?id=83331455,https://www.tiktok.com/music/Beat-AutomotivoTan-Tan-Tan-7155425673559934978,WZ Beat,"May 25, 2022",71,488K,689K,2,"Jul 16, 2022",40,2.14,BXWEH2200054
3,3,Betty (Get Money),S5201,Yung Gravy,/track?id=83613205,https://www.tiktok.com/music/Betty-Get-Money-7115090671437875201,Republic Records,"Jun 2, 2022",61,475K,861K,3,"Jul 16, 2022",14,0.43,USUM72210379
4,-3,Conceited,S6337,Flo Milli,/track?id=83761227,https://www.tiktok.com/music/Conceited-7110062725560846337,'94 Sounds/RCA Records,"Jun 12, 2022",45,402K,1.3M,1,"Jul 9, 2022",14,-0.43,USRC12201167
5,-1,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"May 11, 2022",13,308K,3M,2,"Jun 11, 2022",46,-0.14,USA3D0700101
6,182,Kiss Me More (feat. SZA),S1121,"Doja Cat, SZA",/track?id=34026721,https://www.tiktok.com/music/Kiss-Me-More-feat-SZA-6948086714175621121,Kemosabe Records/RCA Records,"Apr 5, 2021",5,295K,6.7M,3,"May 15, 2021",29,,USRC12100543
7,1,Vulture Island,S3201,Rob49,/track?id=68294300,https://www.tiktok.com/music/Vulture-Island-7034163018074163201,Rob49,"Nov 23, 2021",62,283K,853K,7,"Jul 16, 2022",11,0.14,USLD91735711
8,-3,Aesthetic,S7346,"Tollan Kim, Kudasaibeats",/track?id=75979639,https://www.tiktok.com/music/Aesthetic-7072513628145977346,Tollan Kim,"Mar 7, 2022",37,277K,1.8M,5,"Jul 9, 2022",48,-0.43,SGB502208576
9,2,Cumbia Buena,S4705,Grupo la Cumbia,/track?id=28931480,https://www.tiktok.com/music/Cumbia-Buena-6802349518965704705,DDMW,"Mar 8, 2020",74,274K,640K,9,"Jul 16, 2022",8,0.29,QZGLM2048244
10,14,Cardigan (Video Mix),,,,https://www.tiktok.com/music/null,,"Jul 6, 2022",99,268K,409K,10,"Jul 16, 2022",10,2.00,USAT22208876
11,40,Bad Habit,S0450,Steve Lacy,/track?id=84088250,https://www.tiktok.com/music/Bad-Habit-7152997794909800450,L-M Records/RCA Records,"Jun 26, 2022",109,249K,342K,2,"Aug 6, 2022",31,5.71,USRC12201440
12,-2,Running Up That Hill (A Deal With God),S1712,Kate Bush,/track?id=12662506,https://www.tiktok.com/music/Running-Up-That-Hill-A-Deal-With-God-235918692176371712,Parlophone UK,"Aug 20, 2019",16,239K,2.9M,1,"Jun 11, 2022",16,-0.29,GBCNR8500002
13,-10,Shootout,S0770,"Izzamuzzic, Julien Marchal",/track?id=84141337,https://www.tiktok.com/music/Shootout-Sped-Up-7115194668035360770,Izzamuzzic,"Jun 29, 2022",66,219K,790K,3,"Jul 9, 2022",6,-1.43,US3DF2266823
14,-2,Top Off,S4741,Gunna,/track?id=18348210,https://www.tiktok.com/music/Top-Off-5000000001457014741,300 Entertainment,"Dec 11, 2020",63,214K,853K,10,"Jul 2, 2022",10,-0.29,QZ5FA1752048
15,-6,Man of my Word,S2139,"Lil Baby, Lil Durk",/track?id=47125654,https://www.tiktok.com/music/original-sound-7086935754085092139,Quality Control Music/Alamo Records/Motown Records,"Jun 1, 2021",49,198K,1.2M,2,"Jul 2, 2022",10,-0.86,USUG12101603
16,New,Arabian Nights (2019),S3798,Will Smith,/track?id=23607124,https://www.tiktok.com/music/original-sound-7117798993631873798,Walt Disney Records,"Sep 3, 2019",139,198K,261K,16,"Jul 16, 2022",5,,USWD11993105
17,37,Biggest Fan,S2242,Wenom,/track?id=83171400,https://www.tiktok.com/music/Biggest-Fan-7078765395889162242,Indiefy,"Mar 23, 2022",102,181K,369K,17,"Jul 16, 2022",5,5.29,QZDFP1981344
18,New,Cool Kids (Sped-Up Version),,,,https://www.tiktok.com/music/null,,"Jul 7, 2022",159,178K,182K,18,"Jul 16, 2022",8,,USWB12202784
