Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/mrbeast,https://www.tiktok.com/mrbeast/video/7034255847991610670,Do It To It,"ACRAZE, Cherish",/track?id=57467910,https://www.tiktok.com/music/Do-It-To-It-6995755718976473089,11.1M,0,1.9M,30.5K,1,"Nov 25, 2021",,18,QZFPL2100100
2,New,https://www.tiktok.com/ugolord,https://www.tiktok.com/ugolord/video/7034244704032066822,Own Brand Freestyle,"FelixThe1st, Dréya Mac, Finch Fetti",/track?id=64396060,https://www.tiktok.com/music/Own-Brand-Freestyle-7019087686937872386,11.6M,0,865K,72.2K,2,"Nov 25, 2021",,3,QZK6J2144340
3,0,https://www.tiktok.com/_mister_z,https://www.tiktok.com/_mister_z/video/7033846456343629062,Infinity,Jaymes Young,/track?id=15093243,https://www.tiktok.com/music/Infinity-6704992801559414786,18.9M,0,3.3M,15.7K,3,"Nov 24, 2021",,49,USAT21700859
4,8,https://www.tiktok.com/gaylecantspell,https://www.tiktok.com/gaylecantspell/video/7022426891537714438,abcdefu,GAYLE,/track?id=56814906,https://www.tiktok.com/music/abcdefu-6989143175885490178,48.6M,0,1.4M,5.9K,4,"Nov 25, 2021",,18,USAT22103652
5,10,https://www.tiktok.com/robertmart1nez,https://www.tiktok.com/robertmart1nez/video/7033617549904629038,Get Right,YoungBoy Never Broke Again,/track?id=19975161,https://www.tiktok.com/music/Ryte-Night-6890160150745712642,26M,0,4.7M,15.8K,5,"Nov 25, 2021",,37,USAT21802862
6,11,https://www.tiktok.com/sxlmita,https://www.tiktok.com/sxlmita/video/7033058439421021445,Own Brand Freestyle,"FelixThe1st, Dréya Mac, Finch Fetti",/track?id=64396060,https://www.tiktok.com/music/Own-Brand-Freestyle-7019087686937872386,26.3M,0,3.4M,18.6K,6,"Nov 25, 2021",,23,QZK6J2144340
7,New,https://www.tiktok.com/fabru_blacutt,https://www.tiktok.com/fabru_blacutt/video/7034225898656140550,"No Tengo Hambre, Tengo Ansiedad",Alan Sutton y las criaturitas de la ansiedad,/track?id=63958099,https://www.tiktok.com/music/No-Tengo-Hambre-Tengo-Ansiedad-7010805268292306945,7.9M,0,668.3K,2K,7,"Nov 25, 2021",,23,ARAYA2100003
8,New,https://www.tiktok.com/curlykidlife,https://www.tiktok.com/curlykidlife/video/7034166805191085318,Avengers Endgame: Main on End Theme (From Avengers: Endgame),Cinematic Legacy,/track?id=28635456,https://www.tiktok.com/music/Avengers-Endgame-Main-on-End-Theme-From-“Avengers-Endgame”-6889018828332730369,7.6M,0,878.9K,10.5K,8,"Nov 25, 2021",,36,ITLQR1901905
9,New,https://www.tiktok.com/alyssamckayyy,https://www.tiktok.com/alyssamckayyy/video/7034246966532082990,Blade Runner 2049,Synthwave Goose,/track?id=19932014,https://www.tiktok.com/music/Blade-Runner-2049-6839324086548563969,6.2M,0,922.1K,5.2K,9,"Nov 25, 2021",,5,SE5BU1840072
10,-5,https://www.tiktok.com/..hinzman78920,https://www.tiktok.com/..hinzman78920/video/7033516345148886318,Aww,Baby Ariel,/track?id=17793988,https://www.tiktok.com/music/Aww-6499243869245278977,27.8M,0,4.9M,77.2K,3,"Nov 23, 2021",,76,USAT21705080
11,New,https://www.tiktok.com/besttoks,https://www.tiktok.com/besttoks/video/7034148879222181125,Medallo,"Blessd, Justin Quiles, Lenny Tavárez",/track?id=65121449,https://www.tiktok.com/music/Medallo-7024176733532588806,6.9M,0,271K,559,3,"Nov 26, 2021",,6,COA6W2102282
12,New,https://www.tiktok.com/briggi_bozzo,https://www.tiktok.com/briggi_bozzo/video/7034267893093256454,Salimo de Noche,"Tiago PZK, Trueno",/track?id=64403328,https://www.tiktok.com/music/Salimo-de-Noche-7021927633977953030,6.4M,0,712.2K,1K,12,"Nov 25, 2021",,7,AR3N42100003
13,New,https://www.tiktok.com/lenguajeabibo,https://www.tiktok.com/lenguajeabibo/video/7034246161980493062,abcdefu,GAYLE,/track?id=56814906,https://www.tiktok.com/music/abcdefu-6994724904944568322,5.2M,0,234.8K,3.9K,13,"Nov 25, 2021",,1,USAT22103652
14,-1,https://www.tiktok.com/mr_krezyness,https://www.tiktok.com/mr_krezyness/video/7033489530040765698,Scary,Background Sounds,/track?id=31469691,https://www.tiktok.com/music/Scary-6735931451033782273,27.1M,0,3.2M,17.4K,2,"Nov 23, 2021",,10,DEAR41961194
15,-13,https://www.tiktok.com/cznburak,https://www.tiktok.com/cznburak/video/7033754037753318657,(Everything I Do) I Do It For You,Soft,/track?id=14936260,https://www.tiktok.com/music/Everything-I-Do-It-For-You-7011327657199536130,30.5M,0,1.3M,6K,2,"Nov 24, 2021",,38,USA560609549
