Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/calligraphilic,https://www.tiktok.com/calligraphilic/video/7005683428532309253,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",/track?id=52404165,https://www.tiktok.com/music/STAY-6981869640796342274,12.9M,0,2.2M,5.9K,1,"Sep 9, 2021",,22,USSM12103949
2,New,https://www.tiktok.com/calligraphyti,https://www.tiktok.com/calligraphyti/video/7005511390853139713,Champagne Poetry,Drake,/track?id=58855024,https://www.tiktok.com/music/Champagne-Poetry-7003584641286277121,19.1M,0,2.2M,19.1K,2,"Sep 9, 2021",,54,USUG12104397
3,New,https://www.tiktok.com/lalalandkindcafe,https://www.tiktok.com/lalalandkindcafe/video/7005690170410274054,The Reason,Hoobastank,/track?id=15418942,https://www.tiktok.com/music/The-Reason-6785617000635976454,10.9M,0,2.5M,10.6K,3,"Sep 9, 2021",,31,USIR20300704
4,New,https://www.tiktok.com/fabiola.baglieri,https://www.tiktok.com/fabiola.baglieri/video/7005493978753780998,On The Floor,"Jennifer Lopez, Pitbull",/track?id=15919502,https://www.tiktok.com/music/On-The-Floor-6917324503026501634,16.5M,0,3M,24.4K,4,"Sep 9, 2021",,46,USUM71100721
5,New,https://www.tiktok.com/alinezad,https://www.tiktok.com/alinezad/video/7005557085161180442,موسيقى إسلامية هادئة,Goldenmac,/track?id=40117920,https://www.tiktok.com/music/موسيقى-إسلامية-هادئة-6906026600433715202,15.3M,0,1.6M,136.4K,5,"Sep 9, 2021",,19,TCAFH2041348
6,New,https://www.tiktok.com/imbaddiesonly,https://www.tiktok.com/imbaddiesonly/video/7005637589688585477,Get Into It (Yuh),Doja Cat,/track?id=49661835,https://www.tiktok.com/music/Get-Into-It-Yuh-6976278886782863361,12.5M,0,1.5M,9.4K,6,"Sep 9, 2021",,9,USRC12101535
7,35,https://www.tiktok.com/hoosiers,https://www.tiktok.com/hoosiers/video/7003942714622397702,Home,Edith Whiskers,/track?id=31674758,https://www.tiktok.com/music/Home-6773436955838401285,12.1M,0,1.8M,22.1K,7,"Sep 9, 2021",,22,GBVHN2000009
8,New,https://www.tiktok.com/nalgalia.g,https://www.tiktok.com/nalgalia.g/video/7005742459019873542,Buscate Otro,"Jc La Nevula, Atomic Otro Way",/track?id=11976374,https://www.tiktok.com/music/Búscate-Otro-6992205413051747078,7.7M,0,552.4K,802,8,"Sep 9, 2021",,1,ES71G1719116
9,-6,https://www.tiktok.com/kallmewhateveryouwant,https://www.tiktok.com/kallmewhateveryouwant/video/7004966097027943686,Believe Me,Navos,/track?id=32766130,https://www.tiktok.com/music/Believe-Me-6925124562560485378,47M,0,9.2M,59.7K,3,"Sep 8, 2021",,71,GBUM72100423
10,New,https://www.tiktok.com/addisonre,https://www.tiktok.com/addisonre/video/7005585613894225158,Nights Like This (feat. Ty Dolla $ign),"Kehlani, Ty Dolla $ign",/track?id=22257896,https://www.tiktok.com/music/Nights-Like-This-feat-Ty-Dolla-ign-6646493276096432901,13.8M,0,2.1M,20.3K,10,"Sep 9, 2021",,14,USAT21813049
11,New,https://www.tiktok.com/sonrixs_,https://www.tiktok.com/sonrixs_/video/7005677531567328517,Monkeys Spinning Monkeys,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,9.9M,0,1.1M,1.2K,11,"Sep 9, 2021",,3,USUAN1400011
12,31,https://www.tiktok.com/melis.ozcimen,https://www.tiktok.com/melis.ozcimen/video/7005321405529214210,Woman,Doja Cat,/track?id=50643187,https://www.tiktok.com/music/Woman-6976278887063898114,9.6M,0,864.4K,3.8K,12,"Sep 9, 2021",,3,USRC12101532
13,New,https://www.tiktok.com/mateosarc,https://www.tiktok.com/mateosarc/video/7005718442070281478,Matatan,"Kaleb Di Masi, Alan Gomez",/track?id=47209181,https://www.tiktok.com/music/Matatan-6968857200007137282,6.5M,0,833.6K,7.3K,13,"Sep 9, 2021",,1,US3DF2156588
14,-5,https://www.tiktok.com/olivertree,https://www.tiktok.com/olivertree/video/7003517588454051078,Life Goes On,Oliver Tree,/track?id=45611515,https://www.tiktok.com/music/Life-Goes-On-6967187297502660609,36.4M,0,4.6M,32.8K,9,"Sep 8, 2021",,129,USAT22007153
15,New,https://www.tiktok.com/dereklipp_,https://www.tiktok.com/dereklipp_/video/7005680951523036422,The Luck You Got,The High Strung,/track?id=16073602,https://www.tiktok.com/music/The-Luck-You-Got-6724547291304200193,5.7M,0,692.1K,2.1K,15,"Sep 9, 2021",,7,USY271100020
16,New,https://www.tiktok.com/nataliastrosz2001,https://www.tiktok.com/nataliastrosz2001/video/7004533457196010758,Like a Boy,Ciara,/track?id=15484147,https://www.tiktok.com/music/Like-a-Boy-242459444368871424,10.8M,0,2.2M,7.7K,16,"Sep 9, 2021",,12,USLF20600599
17,New,https://www.tiktok.com/una.historia.que.contar,https://www.tiktok.com/una.historia.que.contar/video/7005716728642538758,Impactante,Ministerio Celeste,/track?id=22582937,https://www.tiktok.com/music/Impactante-6787432595467536386,5.9M,0,509.5K,6K,17,"Sep 9, 2021",,11,USHM91828154
18,New,https://www.tiktok.com/mckenzibrooke,https://www.tiktok.com/mckenzibrooke/video/7005730024141704454,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",/track?id=54095966,https://www.tiktok.com/music/INDUSTRY-BABY-6988161419472603909,5.4M,0,933.5K,7.4K,18,"Sep 9, 2021",,3,USSM12104539
