Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,New,when i think,,,,https://www.tiktok.com/music/null,,"Sep 24, 2022",48,793K,794K,1,"Oct 1, 2022",4,,QZNWZ2236616
2,1,L$d,S4433,Luclover,/track?id=80001990,https://www.tiktok.com/music/Ld-7085791307943954433,independent,"Apr 11, 2022",2,429K,11M,1,"Jul 23, 2022",39,0.14,QZHN42243265
3,New,GZO,,,,https://www.tiktok.com/music/null,,"Sep 21, 2022",88,428K,437K,3,"Oct 1, 2022",2,,QZNWY2294830
4,2,Sweater Weather (inside this place is warm),S9110,The Neighbourhood,/track?id=15790443,https://www.tiktok.com/music/Sweater-Weather-Sped-Up-7086537183875599110,the [r]evolve group,"Mar 2, 2022",47,409K,798K,4,"Oct 1, 2022",6,0.29,USSM11300080
5,-4,F.N.F. (Let's Go),S0619,"Hitkidd, GloRilla",/track?id=81041293,https://www.tiktok.com/music/FNF-Let's-Go-7089140456671480619,Blac Noize!,"May 2, 2022",9,402K,4M,1,"Sep 24, 2022",35,-0.57,QZRD92201643
6,New,Law,S5425,"Yo Gotti, E-40",/track?id=15797687,https://www.tiktok.com/music/Law-6716154648643815425,Epic/CMG,"Aug 17, 2019",75,387K,549K,6,"Oct 1, 2022",6,,USSM11600401
7,144,we fell in love in october,S4133,girl in red,/track?id=21997889,https://www.tiktok.com/music/we-fell-in-love-in-october-6702141135906704133,world in red,"Aug 24, 2019",24,336K,1.6M,7,"Oct 1, 2022",9,,GBKPL1828677
8,-4,F.N.F (Let's Go) - Remix,S0066,"Hitkidd, GloRilla, Latto, JT",/track?id=91396053,https://www.tiktok.com/music/FNF-Let's-Go-7107130405228120066,Blac Noize!,"Sep 6, 2022",50,312K,778K,4,"Sep 24, 2022",11,-0.57,QZRD92202055
9,-7,Super Freaky Girl,S4635,Nicki Minaj,/track?id=88308091,https://www.tiktok.com/music/Super-Freaky-Girl-7119683959641934635,Republic Records,"Aug 4, 2022",15,304K,2.7M,1,"Sep 17, 2022",16,-1.00,USUM72215262
10,-2,DLOW's Bop Challenge,S8672,DLOW,/track?id=84221380,https://www.tiktok.com/music/Dlows-Bop-Challenge-211791633963548672,Integrity Talent Management Group,"May 26, 2022",49,303K,784K,8,"Sep 24, 2022",11,-0.29,QZNB82230773
11,20,NOSTYLIST,S5182,Destroy Lonely,/track?id=88283470,https://www.tiktok.com/music/NOSTYLIST-7135980374261435182,Opium,"Aug 2, 2022",94,221K,405K,11,"Oct 1, 2022",6,2.86,USLD91740130
12,78,Sky,S0389,Playboi Carti,/track?id=32400662,https://www.tiktok.com/music/Playboi-Carti-–-Sky-6910712386555120389,AWGE/Interscope Records,"Dec 25, 2020",14,216K,2.9M,11,"Apr 1, 2023",28,,USUM72024699
13,New,Tomorrow 2,S8241,"GloRilla, Cardi B",/track?id=92609122,https://www.tiktok.com/music/Tomorrow-2-7146615152094218241,CMG/Interscope Records,"Sep 19, 2022",129,213K,228K,2,"Oct 15, 2022",20,,USUM72217666
14,7,BILLIE EILISH.,S3345,Armani White,/track?id=82976157,https://www.tiktok.com/music/Billie-Eilish-7096439256658233345,"Legendbound, LLC / Def Jam Recordings","May 10, 2022",22,211K,1.7M,8,"Oct 22, 2022",37,1.00,SGB502248062
15,10,ICE CREAM,S4577,$ugarHill Keem,/track?id=92273838,https://www.tiktok.com/music/Ice-Cream-Truck-7175295325006104577,EXPLOSIVE ENT,"Sep 11, 2022",98,197K,394K,15,"Oct 1, 2022",10,1.43,QZNWW2262242
16,-4,Bad Habit,S0450,Steve Lacy,/track?id=84088250,https://www.tiktok.com/music/Bad-Habit-7152997794909800450,L-M Records/RCA Records,"Jun 26, 2022",7,191K,4.5M,2,"Aug 6, 2022",31,-0.57,USRC12201440
17,-7,A Gangster's Wife,S7157,Ms. Krazie,/track?id=15607680,https://www.tiktok.com/music/A-Gangster's-Wife-6945614298400017157,Ms Krazie,"Aug 19, 2019",65,188K,678K,10,"Sep 24, 2022",10,-1.00,USPRZ0810066
18,117,This Is a Work of Art (Sketchy),S3745,Dubskie,/track?id=84001509,https://www.tiktok.com/music/This-Is-a-Work-of-Art-Sketchy-7103996508323743745,Dubskie,"May 30, 2022",104,185K,346K,18,"Oct 1, 2022",10,16.71,SGB502248442
19,98,Ice Cream Truck,,"SugarHill Keem, MOVE LOOK",/track?id=92485391,https://www.tiktok.com/music/null,4235279 Records DK,"Sep 18, 2022",128,180K,234K,19,"Oct 1, 2022",8,14.00,QZNWY2215565
20,-4,Romantic Homicide,S7950,d4vd,/track?id=84999635,https://www.tiktok.com/music/Romantic-Homicide-7121830491954907950,Darkroom/Interscope Records,"Aug 23, 2022",39,180K,932K,4,"Sep 17, 2022",14,-0.57,QZMEM2232831
21,New,Wap Wap,S7202,"Super Throwed Dave, AStar Baby",/track?id=79515191,https://www.tiktok.com/music/Wap-Wap-7079900955805747202,3805075 Records DK,"Mar 26, 2022",142,179K,187K,7,"Oct 8, 2022",6,,QZES82252412
22,77,dumb dumb,S4865,mazie,/track?id=52419525,https://www.tiktok.com/music/dumb-dumb-6979799112448804865,Good Boy Records,"Jun 30, 2021",126,173K,238K,22,"Oct 1, 2022",2,11.00,QZRYT2100001
23,4,Cool Kids (our sped up version),,,,https://www.tiktok.com/music/null,,"Aug 25, 2022",59,172K,723K,23,"Oct 1, 2022",32,0.57,SGB502250421
24,-2,Awkward,S0786,SZA,/track?id=83610381,https://www.tiktok.com/music/Awkward-7106619917994870786,Top Dawg Entertainment/RCA Records,"Jun 6, 2022",32,160K,1.2M,13,"Sep 10, 2022",17,-0.29,USRC12202150
25,-2,hit you with the blick,S3906,K.comedy,/track?id=89754526,https://www.tiktok.com/music/hit-you-with-the-blick-7137342465408763906,The System,"Aug 21, 2022",21,157K,2.1M,3,"Aug 27, 2022",13,-0.29,US3DF2297352
26,-13,Backpack (Dora The Explorer),S7697,Treydahardway,/track?id=92365859,https://www.tiktok.com/music/Backpack-Dora-The-Explorer-7106326390860957697,TreysMoney,"Jun 6, 2022",36,156K,1M,9,"Sep 10, 2022",4,-1.86,QZK6P2293729
27,-9,414bigfrank (Backpack),S1265,414bigfrank,/track?id=81696290,https://www.tiktok.com/music/E-Way-7212631292133771265,1693942 Records DK,"Apr 22, 2022",29,152K,1.2M,7,"Sep 10, 2022",10,-1.29,QZHN62247387
