Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/jessiamusic,https://www.tiktok.com/jessiamusic/video/6961139628048928005,I'm not Pretty,JESSIA,/track?id=32508286,https://www.tiktok.com/music/I'm-not-Pretty-6958100975995357185,47.9M,0,916.3K,5.3K,1,"May 13, 2021",,2,QZFYW2140933
2,New,https://www.tiktok.com/ilya_borzov,https://www.tiktok.com/ilya_borzov/video/6961454709580352769,Falling,Trevor Daniel,/track?id=20659476,https://www.tiktok.com/music/Falling-6757175376029435905,24.5M,0,436.6K,2.9K,2,"May 13, 2021",,1,USUYG1221109
3,New,https://www.tiktok.com/domelipa,https://www.tiktok.com/domelipa/video/6961559192318577925,Sal y Perrea,Sech,/track?id=34448556,https://www.tiktok.com/music/Sal-y-Perrea-6953742463718673157,15.5M,0,3M,38.2K,3,"May 13, 2021",,102,QM9WM2100010
4,New,https://www.tiktok.com/milliemclay,https://www.tiktok.com/milliemclay/video/6961501309044264198,Daisies,Ryan Caraveo,/track?id=34463773,https://www.tiktok.com/music/Daisies-6948978886856968193,22.6M,0,2.1M,9.8K,4,"May 13, 2021",,17,QZLSH2100013
5,New,https://www.tiktok.com/condsty,https://www.tiktok.com/condsty/video/6961445353845427461,San Andreas Theme Song,Young Maylay,/track?id=16140074,https://www.tiktok.com/music/San-Andreas-Theme-Song-6947428005501668101,19M,0,1.3M,5.9K,5,"May 13, 2021",,3,USCGH0567565
6,New,https://www.tiktok.com/changed_from_itsacouple,https://www.tiktok.com/changed_from_itsacouple/video/6961513076126420230,Tokyo,Leat'eq,/track?id=19210578,https://www.tiktok.com/music/Tokyo-6897433139871042306,13.5M,0,966K,3.5K,6,"May 13, 2021",,4,QZB4J1810678
7,New,https://www.tiktok.com/the_object,https://www.tiktok.com/the_object/video/6961434360201399553,Warriors,Shayan Italia,/track?id=34626311,https://www.tiktok.com/music/Warriors-6940406193307256834,22M,0,2.3M,13.7K,7,"May 13, 2021",,36,QZDA82135280
8,New,https://www.tiktok.com/tool_tips,https://www.tiktok.com/tool_tips/video/6961505997982665989,You and I,Will Young,/track?id=12676459,https://www.tiktok.com/music/You-and-I-6926918113989265409,11.5M,0,509.9K,844,8,"May 13, 2021",,18,GBCTA0200074
9,New,https://www.tiktok.com/karlarivera.a,https://www.tiktok.com/karlarivera.a/video/6961271821371051269,"Oh No, Oh No, Oh No No No Song",,,https://www.tiktok.com/music/Oh-No-Oh-No-Oh-No-No-No-Song-6941386629747574786,21.2M,0,869.2K,15.1K,9,"May 13, 2021",,46,
10,39,https://www.tiktok.com/socio.mainecoon,https://www.tiktok.com/socio.mainecoon/video/6960722869059964165,Myself,Bazzi,/track?id=19040153,https://www.tiktok.com/music/Myself-6566091950947044097,19.3M,0,4M,66.6K,10,"May 13, 2021",,77,USAT21801524
11,New,https://www.tiktok.com/arnaldomangini,https://www.tiktok.com/arnaldomangini/video/6961473723966835974,Take You Dancing,Jason Derulo,/track?id=30346512,https://www.tiktok.com/music/Take-You-Dancing-6852168132677683974,10.8M,0,1.4M,9.2K,11,"May 13, 2021",,38,USAT22004479
