Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/spotify,https://www.tiktok.com/spotify/video/6925507233061145861,Questions for Duos,,,https://www.tiktok.com/music/Questions-for-Duos-6923236530764908545,68.1M,0,330.1K,0,1,"Feb 11, 2021",,1,
2,New,https://www.tiktok.com/itsbennyblanco,https://www.tiktok.com/itsbennyblanco/video/6927773554645699845,You (with Marshmello & Vance Joy),"benny blanco, Marshmello, Vance Joy",/track?id=32682949,https://www.tiktok.com/music/You-6922604246726608897,31.9M,0,2.5M,119.9K,2,"Feb 11, 2021",,25,USUM72100060
3,New,https://www.tiktok.com/chrispetrone,https://www.tiktok.com/chrispetrone/video/6927804195097644294,Spongebob,Dante9k,/track?id=32023663,https://www.tiktok.com/music/Spongebob-Tomfoolery-Dante9k-Remix-6787142837377959937,11M,0,3.6M,45.1K,3,"Feb 11, 2021",,11,QZFYZ2047242
4,New,https://www.tiktok.com/maryannfletcher,https://www.tiktok.com/maryannfletcher/video/6927029497380211973,Among Us Imposter Type Beat,Lil_rebaah,/track?id=31731588,https://www.tiktok.com/music/Among-Us-Imposter-Type-Beat-6876283319546284033,20M,0,2.2M,29.2K,4,"Feb 11, 2021",,25,QZK6F2016387
5,New,https://www.tiktok.com/janelleandkate,https://www.tiktok.com/janelleandkate/video/6927654915959459078,This Magic Moment,"The Drifters, Ben E. King",/track?id=15067533,https://www.tiktok.com/music/This-Magic-Moment-6791186173990537218,15.8M,0,2.2M,23.5K,5,"Feb 11, 2021",,32,USAT20000568
6,New,https://www.tiktok.com/iamcardib,https://www.tiktok.com/iamcardib/video/6927754002713185541,Up,Cardi B,/track?id=32746863,https://www.tiktok.com/music/Up-6925658290315593729,10.2M,0,2.5M,19.3K,6,"Feb 11, 2021",,27,USAT22100061
7,New,https://www.tiktok.com/bhawiko,https://www.tiktok.com/bhawiko/video/6927188509086420226,Steven Universe,L.Dre,/track?id=28637630,https://www.tiktok.com/music/Steven-Universe-6795585271782967298,8.4M,0,846.4K,11.9K,7,"Feb 11, 2021",,5,QZFZ32084911
8,New,https://www.tiktok.com/aicyroo,https://www.tiktok.com/aicyroo/video/6927663451829554433,DJ CIDRO 2 (Panas Panase Srengenge Kuwi),Poerwanti Rahayu,/track?id=32856375,https://www.tiktok.com/music/DJ-CIDRO-2-Panas-Panase-Srengenge-Kuwi-6925914694037276673,12.9M,0,613.8K,17.5K,8,"Feb 11, 2021",,8,QZFZ52134480
9,New,https://www.tiktok.com/chicafnq_,https://www.tiktok.com/chicafnq_/video/6927565177915280642,lowkey - UO EX,NIKI,/track?id=22880783,https://www.tiktok.com/music/lowkey-6704985134417840129,12.3M,0,1.2M,12.9K,9,"Feb 11, 2021",,46,ZZOPM1900990
10,New,https://www.tiktok.com/yehslacks,https://www.tiktok.com/yehslacks/video/6927455963037306118,Up,Cardi B,/track?id=32746863,https://www.tiktok.com/music/Up-6925658290315593729,25.5M,0,5.9M,33.8K,10,"Feb 11, 2021",,57,USAT22100061
