Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,New,Take Me to Hell,S2289,Chloe Adams,/track?id=94822311,https://www.tiktok.com/music/Take-Me-to-Hell-7151329008582412289,Chloe Adams,"Oct 5, 2022",84,513K,513K,1,"Oct 29, 2022",2,,FRX872270162
2,-1,Pretty Boy Swag,,Soulja Boy,/track?id=15917135,https://www.tiktok.com/music/null,Mr. Collipark,"Sep 7, 2019",16,437K,2.5M,1,"Oct 15, 2022",11,-0.14,USUM71015226
3,31,Just Wanna Rock,S6574,Lil Uzi Vert,/track?id=94209493,https://www.tiktok.com/music/Just-Wanna-Rock-7143731623425526574,Generation Now/Atlantic,"Oct 14, 2022",80,406K,540K,3,"Oct 29, 2022",25,4.43,USAT22219211
4,-1,L$d,S4433,Luclover,/track?id=80001990,https://www.tiktok.com/music/Ld-7085791307943954433,independent,"Apr 11, 2022",1,323K,12M,1,"Jul 23, 2022",39,-0.14,QZHN42243265
5,21,Spawn,S6250,FOUREZINE,/track?id=40137270,https://www.tiktok.com/music/Spawn-7112051863838526250,1918981 Records DK,"Apr 10, 2020",79,316K,546K,5,"Oct 29, 2022",8,3.00,QZDA72044438
6,4,Bad Habit,S0450,Steve Lacy,/track?id=84088250,https://www.tiktok.com/music/Bad-Habit-7152997794909800450,L-M Records/RCA Records,"Jun 26, 2022",7,278K,5.5M,2,"Aug 6, 2022",31,0.57,USRC12201440
7,43,Heyy,S0102,Lil Baby,/track?id=93997896,https://www.tiktok.com/music/Heyy-7152973714832100102,Quality Control Music/Motown Records,"Oct 4, 2022",95,274K,375K,7,"Oct 29, 2022",7,6.14,USUG12207229
8,-6,Tomorrow 2,S8241,"GloRilla, Cardi B",/track?id=92609122,https://www.tiktok.com/music/Tomorrow-2-7146615152094218241,CMG/Interscope Records,"Sep 19, 2022",22,258K,1.7M,2,"Oct 15, 2022",20,-0.86,USUM72217666
9,61,Heyy,,Lil Baby,/track?id=94005935,https://www.tiktok.com/music/null,Quality Control Music/Motown Records,"Oct 8, 2022",99,254K,325K,9,"Oct 29, 2022",5,8.71,USUG12207275
10,New,Bad Habit - Jersey Club Remix,,SteezTheProducer,/track?id=94319607,https://www.tiktok.com/music/null,Steezo,"Oct 19, 2022",110,245K,249K,10,"Oct 29, 2022",6,,QZTAS2262202
11,-3,BILLIE EILISH.,S3345,Armani White,/track?id=82976157,https://www.tiktok.com/music/Billie-Eilish-7096439256658233345,"Legendbound, LLC / Def Jam Recordings","May 10, 2022",15,225K,2.6M,8,"Oct 22, 2022",37,-0.43,SGB502248062
12,New,Heyy,S0102,Lil Baby,/track?id=93997896,https://www.tiktok.com/music/Heyy-7152973714832100102,Quality Control Music/Motown Records,"Oct 7, 2022",115,218K,226K,12,"Oct 29, 2022",4,,USUG12207229
13,-8,just wanna rock (Lil Uzi Vert) [Sped Up Version],S5786,sped up nightcore,/track?id=93908893,https://www.tiktok.com/music/just-wanna-rock-Lil-Uzi-Vert-7146446566713215786,P2022,"Oct 6, 2022",60,212K,827K,5,"Oct 22, 2022",15,-1.14,USAT22219206
14,7,Beat Automotivo Tan Tan Tan Viral,S4978,WZ Beat,/track?id=83331455,https://www.tiktok.com/music/Beat-AutomotivoTan-Tan-Tan-7155425673559934978,WZ Beat,"May 25, 2022",9,204K,4.3M,2,"Jul 16, 2022",40,1.00,BXWEH2200054
