Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
47,127,Heat Waves,S2081,Glass Animals,/track?id=29681793,https://www.tiktok.com/music/Heat-Waves-6844921356623022081,Polydor Records,"May 26, 2020",14,80K,2.8M,4,"Sep 4, 2021",20,,GBUM72000433
48,-11,Tek It (Sped Up),,Cafuné,/track?id=80523494,https://www.tiktok.com/music/null,Elektra (NEK),"Apr 27, 2022",67,79K,651K,35,"Jun 11, 2022",14,-1.57,USEE12200097
49,35,Closing Time,,,,https://www.tiktok.com/music/null,,"Jun 7, 2022",152,79K,140K,49,"Jun 25, 2022",6,5.00,QZHNC2270811
50,-23,Mopstick,S2450,"French Montana, Kodak Black",/track?id=66961070,https://www.tiktok.com/music/Mopstick-feat-Kodak-Black-7086892531476072450,Epic/Bad Boy Entertainment,"Nov 16, 2021",130,77K,214K,27,"Jun 18, 2022",3,-3.29,USSM12107776
51,-15,Pass The Dutchie,S8273,Musical Youth,/track?id=12554164,https://www.tiktok.com/music/Pass-The-Dutchie-6741520183904438273,UMC (Universal Music Catalogue),"Sep 2, 2019",96,77K,342K,27,"Jun 11, 2022",6,-2.14,GBBBY0300024
52,-14,We Not Humping - Remix,S1470,"Monaleo, Flo Milli",/track?id=79887756,https://www.tiktok.com/music/We-Not-Humping-Remix-7095938597865671470,Stomp Down,"Mar 22, 2022",47,77K,1.2M,13,"May 28, 2022",11,-2.00,QM4TX2237923
53,-10,I Was Never There,S5937,"The Weeknd, Gesaffelstein",/track?id=18897029,https://www.tiktok.com/music/I-Was-Never-There-6791241140050855937,The Weeknd,"Sep 12, 2019",73,77K,560K,22,"Jul 9, 2022",23,-1.43,USUG11800570
54,-24,Mopstick (feat. Kodak Black),,"French Montana, Kodak Black",/track?id=66998451,https://www.tiktok.com/music/null,Epic/Bad Boy Entertainment,"Apr 14, 2022",133,76K,207K,30,"Jun 18, 2022",3,-3.43,USSM12107802
55,0,Magnetic,,,,https://www.tiktok.com/music/null,,"May 4, 2022",61,75K,818K,8,"May 14, 2022",10,0.00,QZ8252212722
56,-22,Mopstick,,"French Montana, Kodak Black",/track?id=66998451,https://www.tiktok.com/music/null,Epic/Bad Boy Entertainment,"Nov 16, 2021",136,74K,200K,34,"Jun 18, 2022",3,-3.14,USSM12107802
57,-10,The Box,S0981,Roddy Ricch,/track?id=27599255,https://www.tiktok.com/music/The-Box-6768646921029470981,Atlantic Records,"Dec 5, 2019",7,74K,4M,45,"Jun 11, 2022",6,-1.43,USAT21906978
58,-14,Ride,,,,https://www.tiktok.com/music/null,,"May 31, 2022",103,74K,310K,30,"Jun 11, 2022",6,-2.00,SGB502222076
59,-6,so silly !,S6562,Koto.,/track?id=75486459,https://www.tiktok.com/music/so-silly-7072080951102146562,1168634 Records DK,"Mar 5, 2022",40,73K,1.6M,5,"May 14, 2022",13,-0.86,QZDA82260364
60,-34,Apocalypse,S6113,Cigarettes After Sex,/track?id=15145069,https://www.tiktok.com/music/Apocalypse-6705555534264666113,Partisan Records / Fontana North,"Aug 21, 2019",84,73K,412K,26,"Jun 18, 2022",5,-4.86,USBQU1700034
61,-3,Funny Song,S7666,Cavendish Music,/track?id=34784021,https://www.tiktok.com/music/Funny-Song-6732536571318257666,Cavendish Music,"Sep 2, 2019",43,73K,1.4M,42,"Jun 11, 2022",48,-0.43,GBBGY1743613
62,-6,Paradise,S1777,Ikson,/track?id=18206886,https://www.tiktok.com/music/Paradise-6810180973628491777,ikson,"Mar 30, 2020",30,73K,2M,42,"Jun 4, 2022",39,-0.86,SE5BU1794888
63,4,Tití Me Preguntó,S2778,Bad Bunny,/track?id=81301157,https://www.tiktok.com/music/Tití-me-preguntó-7095019005370452778,Rimas Entertainment LLC,"May 4, 2022",85,71K,402K,56,"Jul 16, 2022",23,0.57,QM6MZ2214878
64,-49,Light Switch,S1857,Charlie Puth,/track?id=69560913,https://www.tiktok.com/music/Light-Switch-7044012275094521857,Atlantic Records,"Jan 18, 2022",74,71K,555K,15,"Jun 18, 2022",5,-7.00,USAT22107359
65,126,I Love You,S4593,Young Slo-Be,/track?id=56847819,https://www.tiktok.com/music/I-Love-You-6992833971742574593,KoldGreedy Entertainment / Thizzler On The Roof,"Aug 4, 2021",58,70K,873K,23,"Jul 2, 2022",14,,QZK6H2102871
66,-3,"Good Day ",,,,https://www.tiktok.com/music/null,,"Oct 23, 2019",24,70K,2.3M,46,"Jun 4, 2022",23,-0.43,
67,36,Dame Tu Cosita (feat. Cutty Ranks),S6950,"El Chombo, Cutty Ranks",/track?id=19213776,https://www.tiktok.com/music/Dame-Tu-Cosita-feat-Cutty-Ranks-7074231256631986950,El Chombo,"Aug 16, 2019",97,68K,338K,44,"Jul 9, 2022",9,5.14,FR6Q11800035
68,18,"Thick Fine Woman (feat. Lil' Ronny Mothaf, Fat Pimp & No Shame)",S9518,"Chalie Boy, Lil Ronny Motha F, Fat Pimp, No Shame",/track?id=15432772,https://www.tiktok.com/music/Thick-Fine-Woman-feat-LilRonny-Mothaf-Fat-Pimp-No-Shame-7101763683994569518,Dirty 3rd Records,"Mar 21, 2022",144,68K,172K,22,"Jul 30, 2022",14,2.57,USJ3V1253391
69,-5,Ursae Majoris B,,,,https://www.tiktok.com/music/null,,"Jun 6, 2022",140,68K,191K,64,"Jun 18, 2022",7,-0.71,QZK6P2250318
70,10,Aesthetic,S3281,Devonte Mayo,/track?id=31673144,https://www.tiktok.com/music/Aesthetic-6801406368763873281,1566333 Records DK,"Mar 6, 2020",17,68K,2.7M,70,"Jun 25, 2022",42,1.43,QZFZ52072968
71,-21,KEEP GOING,S8881,"Corey Floca, The Positive Vibe Tour",/track?id=82485154,https://www.tiktok.com/music/KEEP-GOING-7094783806464378881,Floc Wrld Entertainment LLC,"May 6, 2022",76,67K,537K,27,"Jun 4, 2022",9,-3.00,QZHN92200616
72,-13,Music For a Sushi Restaurant,S9601,Harry Styles,/track?id=82986586,https://www.tiktok.com/music/Music-For-a-Sushi-Restaurant-7099115733075609601,Columbia,"May 17, 2022",92,67K,367K,55,"Jun 11, 2022",5,-1.86,USSM12200609
73,-56,Light Switch,,,,https://www.tiktok.com/music/null,,"Dec 20, 2021",71,67K,603K,17,"Jun 18, 2022",6,-8.00,USAT22108605
74,-8,Wait a Minute!,S0946,WILLOW,/track?id=13904490,https://www.tiktok.com/music/Wait-a-Minute-6740534003704530946,Roc Nation W Smith P&D,"Sep 2, 2019",20,66K,2.5M,24,"May 14, 2022",22,-1.14,QMJMT1500801
75,10,#PARTYLIFE 001,,Dj Lalo,/track?id=83888579,https://www.tiktok.com/music/null,4019631 Records DK,"Jun 8, 2022",160,66K,132K,75,"Jun 25, 2022",7,1.43,QZK6N2255938
76,-16,Drowning (A Boogie Wit da Hoodie) [feat. Kodak Black] [Sped Up Version],,Kodak Black,/track?id=83573992,https://www.tiktok.com/music/null,P2022,"May 26, 2022",94,65K,365K,40,"Jun 11, 2022",9,-2.29,USAT22206682
77,New,Smile,,"Lily Allen, A Williams",/track?id=12525175,https://www.tiktok.com/music/null,,"Aug 22, 2019",186,64K,64K,77,"Jun 25, 2022",5,,GBAYE0600736
78,-29,Shes Buff,,"Beatdemons, Ssj9k",/track?id=80559385,https://www.tiktok.com/music/null,Beatdemons LLC & Beatstars Publishing by SonyPub,"Apr 23, 2022",23,63K,2.3M,2,"May 7, 2022",13,-4.14,QZHN62253854
79,New,Never Had a Chance,S2162,Katherine Li,/track?id=79395190,https://www.tiktok.com/music/Never-Had-a-Chance-7078445836887132162,Katherine Li,"Mar 22, 2022",178,62K,91K,79,"Jun 25, 2022",2,,SGB502246485
80,47,Je te laisserai des mots,S0038,Patrick Watson,/track?id=11136335,https://www.tiktok.com/music/Je-te-laisserai-des-mots-6838695367727500038,Secret City Records,"Nov 7, 2019",37,62K,1.7M,43,"Jun 26, 2021",23,6.71,CA0RZ1000020
81,-40,Confident,S1563,"Justin Bieber, Chance the Rapper",/track?id=15929190,https://www.tiktok.com/music/Confident-feat-Chance-The-Rapper-1563,Universal Music Ltd,"Sep 2, 2019",88,61K,385K,41,"Jun 18, 2022",3,-5.71,USUM71319306
82,-21,Ride On It,S3009,Marbo Beatz,/track?id=83272925,https://www.tiktok.com/music/Ride-On-It-Freak-You-Right-7102522574986283009,The Hitz Mechanikz LLC,"May 19, 2022",83,61K,442K,36,"Jun 4, 2022",8,-3.00,QZHNB2274533
83,-21,Ride On It (Freak You Right),S1554,"Marbo Beatz, Chris Voice",/track?id=83432159,https://www.tiktok.com/music/Ride-On-It-Freak-You-Right-7120651693976471554,The Hitz Mechanikz LLC,"May 26, 2022",100,61K,322K,48,"Jun 4, 2022",7,-3.00,QZK6Q2217887
84,-64,Light Switch (Brighter Mix),,Charlie Puth,/track?id=83122404,https://www.tiktok.com/music/null,Atlantic Records,"May 19, 2022",104,60K,309K,20,"Jun 18, 2022",4,-9.14,USAT22206164
85,-11,Si Te Sabes El TikTok Baila (Junio 2022),S8673,DJ Stephany,/track?id=83888655,https://www.tiktok.com/music/Si-Te-Sabes-El-TikTok-Baila-Abril-2022-7124450529324828673,4016031 Records DK,"Jun 8, 2022",159,59K,132K,74,"Jun 18, 2022",3,-1.57,QZK6N2269068
86,-75,F.N.F. (Let's Go),S0619,"Hitkidd, GloRilla",/track?id=81041293,https://www.tiktok.com/music/FNF-Let's-Go-7089140456671480619,Blac Noize!,"May 2, 2022",63,59K,760K,1,"Sep 24, 2022",35,-10.71,QZRD92201643
87,74,Better Than Me,S4133,Q Money,/track?id=20493158,https://www.tiktok.com/music/Better-Than-Me-6681275486519184133,Think It's A Game/Warner Bros.,"Aug 19, 2019",68,55K,629K,68,"Jul 10, 2021",6,,USWB11801864
88,New,Blah Blah Blah,S3106,Rich Homie Quan,/track?id=15957401,https://www.tiktok.com/music/Blah-Blah-Blah-Remix-6756038825325103106,Love Music,"Aug 19, 2019",183,55K,72K,32,"Jul 2, 2022",5,,USUYG1043163
89,-1,Oh No,S6102,Kreepa,/track?id=29425832,https://www.tiktok.com/music/Oh-No-6586947002464996102,GT Digital / Thizz Latin Denver / Kreepa,"Dec 12, 2019",2,54K,9.8M,24,"Jun 12, 2021",86,-0.14,USUYG1287925
90,New,Blah Blah Blah,,Rich Homie Quan,/track?id=15958701,https://www.tiktok.com/music/null,"Think It's A Game Entertainment, LLC / Rich Homiez","Nov 5, 2019",187,54K,63K,31,"Jul 2, 2022",5,,USUYG1053454
91,75,On That Time,S4481,Playboi Carti,/track?id=32400665,https://www.tiktok.com/music/On-That-Time-6910417734988564481,AWGE/Interscope Records,"Dec 25, 2020",161,54K,130K,15,"Jul 30, 2022",13,,USUM72024695
92,-15,Love in This Club (feat. Young Jeezy),S9322,"Usher, Jeezy",/track?id=15484175,https://www.tiktok.com/music/Love-in-This-Club-feat-Jeezy-Young-Jeezy-59322,EMI TV,"Aug 16, 2019",13,53K,2.8M,1,"Apr 23, 2022",14,-2.14,USLF20800001
93,4,Look At Me (Freestyle),S4529,Bammbreezy Montana,/track?id=17186935,https://www.tiktok.com/music/Look-At-Me-Freestyle-6889603681725974529,Bammbreezy Montana,"Oct 30, 2020",57,53K,875K,10,"May 14, 2022",12,0.57,QZ22B1817648
94,New,Banda de Camion,,El Alfa,/track?id=17263627,https://www.tiktok.com/music/null,"Sunflower Entertainment Co., Inc.","Apr 10, 2020",181,53K,74K,94,"Jun 25, 2022",1,,USDY41725257
95,-16,Shut Up and Dance,S9735,WALK THE MOON,/track?id=15676573,https://www.tiktok.com/music/Shut-Up-and-Dance-19735,Eagle Records,"Aug 16, 2019",138,53K,197K,79,"Jun 18, 2022",6,-2.29,USRC11401949
96,New,Feel No Ways,S0913,Drake,/track?id=15194424,https://www.tiktok.com/music/Feel-No-Ways-6929460010276390913,Cash Money Records/Young Money Ent./Universal Rec.,"Sep 2, 2019",150,51K,142K,44,"Jul 2, 2022",4,,USCM51600067
97,-15,Bestie,S7169,"DaBaby, YoungBoy Never Broke Again",/track?id=75292748,https://www.tiktok.com/music/Bestie-7070866752007047169,South Coast Music Group / Interscope Records / Atlantic Records,"Mar 2, 2022",12,51K,2.9M,10,"Mar 12, 2022",20,-2.14,USUM72202750
98,-7,Enemy - from the series Arcane League of Legends,S1954,"Imagine Dragons, JID, Arcane, League of Legends",/track?id=65244227,https://www.tiktok.com/music/Enemy-from-the-series-Arcane-League-of-Legends-7023061500537341954,KIDinaKORNER/Interscope Records,"Oct 22, 2021",44,51K,1.3M,21,"May 7, 2022",15,-1.00,USUM72119916
99,-23,How,,,,https://www.tiktok.com/music/null,,"May 18, 2022",86,50K,401K,38,"May 28, 2022",12,-3.29,QZHNB2248441
100,New,Drunk in Love (feat. Jay-Z),S7201,"Beyoncé, JAY-Z",/track?id=15792633,https://www.tiktok.com/music/Drunk-in-Love-6715435787749427201,Columbia,"Aug 16, 2019",155,49K,135K,71,"Jul 2, 2022",9,,USSM11307800
101,93,No Surprises,S1618,Radiohead,/track?id=12536685,https://www.tiktok.com/music/No-Surprises-6751218393644271618,Parlophone,"Oct 23, 2019",64,48K,753K,31,"May 21, 2022",14,13.29,GBAYE9700386
102,63,No Surprises - Remastered,,Radiohead,/track?id=12570623,https://www.tiktok.com/music/null,XL Recordings,"Oct 23, 2019",69,47K,612K,32,"May 21, 2022",10,,GBBKS1700116
