Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/levi1440,https://www.tiktok.com/levi1440/video/6945834295017606405,Crazy In Love,"Beyoncé, JAY-Z",/track?id=15771949,https://www.tiktok.com/music/Crazy-in-Love-6465895401219656461,54M,0,13.7M,184.6K,1,"Apr 1, 2021",,75,USSM10305425
2,New,https://www.tiktok.com/boss,https://www.tiktok.com/boss/video/6945386113070533894,I Wish,Skee-Lo,/track?id=16004587,https://www.tiktok.com/music/I-wish-6940480646271780866,24.8M,0,97.3K,1.8K,2,"Apr 1, 2021",,1,USVR10300417
3,1,https://www.tiktok.com/monkeykeer,https://www.tiktok.com/monkeykeer/video/6945020798172155141,Spongebob,Dante9k,/track?id=32023663,https://www.tiktok.com/music/Spongebob-Tomfoolery-Dante9k-Remix-6787142837377959937,104.4M,0,14.6M,333.1K,1,"Mar 30, 2021",,66,QZFYZ2047242
4,New,https://www.tiktok.com/andrei_7423,https://www.tiktok.com/andrei_7423/video/6945493070343408902,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",/track?id=12366781,https://www.tiktok.com/music/Hey-Mama-feat-Nicki-Minaj-Bebe-Rexha-Afrojack-249015402364907520,22M,0,3.1M,18.7K,4,"Apr 1, 2021",,23,GB28K1400058
5,New,https://www.tiktok.com/elitespf,https://www.tiktok.com/elitespf/video/6945965986881211653,LOST,"NF, Hopsin",/track?id=33427486,https://www.tiktok.com/music/LOST-6935892545897498625,13.6M,0,667.5K,19.8K,5,"Apr 1, 2021",,42,USUM72101208
6,New,https://www.tiktok.com/herodw,https://www.tiktok.com/herodw/video/6945949635529673990,Track Star,Mooski,/track?id=31190326,https://www.tiktok.com/music/Track-Star-6837654631623968769,12.8M,0,3.3M,23.3K,6,"Apr 1, 2021",,65,QZHN62072414
7,-5,https://www.tiktok.com/loricuasoi,https://www.tiktok.com/loricuasoi/video/6945617129169358086,Fiel,"Los Legendarios, Wisin, Jhay Cortez",/track?id=32744281,https://www.tiktok.com/music/Fiel-6935075334454807301,30.9M,0,2.2M,43.3K,2,"Mar 31, 2021",,69,QM4TW2136314
8,New,https://www.tiktok.com/fitness.samka,https://www.tiktok.com/fitness.samka/video/6945841519953808642,Astronaut In The Ocean,Masked Wolf,/track?id=23902934,https://www.tiktok.com/music/Astronaut-In-The-Ocean-6914530565300226049,16.6M,0,1.8M,5.3K,8,"Apr 1, 2021",,61,AUFXV1900105
9,-8,https://www.tiktok.com/fluellenfam,https://www.tiktok.com/fluellenfam/video/6945592803258944773,SexyBack,"Justin Timberlake, Timbaland",/track?id=15446741,https://www.tiktok.com/music/SexyBack-feat-Timbaland-6696418458814384129,31.5M,0,4.7M,35.7K,1,"Mar 31, 2021",,31,USJI10600269
10,New,https://www.tiktok.com/abbieherbert,https://www.tiktok.com/abbieherbert/video/6945903840285691142,Bongo Cha Cha Cha,Caterina Valente,/track?id=22930135,https://www.tiktok.com/music/Bongo-cha-cha-cha-Remastered-6927076140512135170,12.2M,0,1.7M,7.3K,10,"Apr 1, 2021",,2,ITAA11003059
11,New,https://www.tiktok.com/claudia_perez00,https://www.tiktok.com/claudia_perez00/video/6945631616282758406,Chivirika,"El Villanord, Yailin la Mas Viral",/track?id=33488820,https://www.tiktok.com/music/Chivirika-6940602643253316358,14.5M,0,1.5M,8.7K,6,"Apr 2, 2021",,25,QZDA62157166
12,New,https://www.tiktok.com/rickycoello,https://www.tiktok.com/rickycoello/video/6945880685823413510,Epic Music(887041),,,https://www.tiktok.com/music/Epic-Music-887041-6886909722964789250,7.4M,0,662.5K,5.8K,12,"Apr 1, 2021",,54,
13,New,https://www.tiktok.com/laika.secret,https://www.tiktok.com/laika.secret/video/6945957372183563525,Unlock it (Lock It) - feat. Kim Petras and Jay Park,"Charli XCX, Kim Petras, Jay Park",/track?id=17872422,https://www.tiktok.com/music/Unlock-it-Lock-It-6928827743895292677,7.3M,0,598.3K,6.3K,13,"Apr 1, 2021",,21,GBAHS1701206
14,New,https://www.tiktok.com/herpin_hippie,https://www.tiktok.com/herpin_hippie/video/6945900320035802374,Ivar's Revenge (Danish Viking Music),Danheim,/track?id=14402411,https://www.tiktok.com/music/Ivar's-Revenge-6784186928464922625,6.6M,0,973.8K,5.3K,14,"Apr 1, 2021",,24,TCACW1615836
15,New,https://www.tiktok.com/7futsal,https://www.tiktok.com/7futsal/video/6945900313199103238,I've Got A Woman,Ray Charles,/track?id=15095677,https://www.tiktok.com/music/I-Got-a-Woman-6735859954952964098,7.1M,0,483.9K,1.6K,15,"Apr 1, 2021",,16,USAT29902160
16,New,https://www.tiktok.com/cznburak,https://www.tiktok.com/cznburak/video/6945814413509283073,Mario,JJD,/track?id=22800831,https://www.tiktok.com/music/Mario-6769962084013705217,11.5M,0,838.3K,4.3K,16,"Apr 1, 2021",,83,GBSMU5553777
17,-9,https://www.tiktok.com/fitness.samka,https://www.tiktok.com/fitness.samka/video/6942899980390649090,Astronaut In The Ocean,Masked Wolf,/track?id=23902934,https://www.tiktok.com/music/Astronaut-In-The-Ocean-6782913875441371138,48.6M,0,3.4M,19.9K,8,"Mar 31, 2021",,104,AUFXV1900105
18,New,https://www.tiktok.com/zemopainting,https://www.tiktok.com/zemopainting/video/6945656465369599238,Bongo Cha Cha Cha,Caterina Valente,/track?id=22930135,https://www.tiktok.com/music/Bongo-cha-cha-cha-Remastered-6927076140512135170,9.4M,0,1.5M,9.1K,18,"Apr 1, 2021",,7,ITAA11003059
19,New,https://www.tiktok.com/corkylorenz,https://www.tiktok.com/corkylorenz/video/6945931763885559045,Animal Crossing: New Horizons Main Theme - Lofi Version,Closed on Sunday,/track?id=29374250,https://www.tiktok.com/music/animal-crossing-new-horizons-lofi-6819255107536865281,5.4M,0,846.1K,3.1K,19,"Apr 1, 2021",,7,QZES52093223
20,New,https://www.tiktok.com/tsuriki.family,https://www.tiktok.com/tsuriki.family/video/6945805950192225542,Please Don't Go,Mike Posner,/track?id=15441208,https://www.tiktok.com/music/Please-Don't-Go-6598704368726313733,6.5M,0,237.1K,963,20,"Apr 1, 2021",,3,USJAY1000077
21,New,https://www.tiktok.com/jakemaldonado,https://www.tiktok.com/jakemaldonado/video/6945988581055941893,See You Again (Piano Arrangement),Alexandre Pachabezian,/track?id=31160380,https://www.tiktok.com/music/See-You-Again-Piano-Arrangement-6786769422406125570,5.1M,0,929K,6K,21,"Apr 1, 2021",,25,QZFYZ2030473
22,New,https://www.tiktok.com/nadirsailov,https://www.tiktok.com/nadirsailov/video/6945778875817331969,Laxed – Siren Beat,Jawsh 685,/track?id=29203381,https://www.tiktok.com/music/Laxed-6804093117843770118,7.7M,0,155.8K,1.4K,22,"Apr 1, 2021",,9,NZAM02001128
23,New,https://www.tiktok.com/achflow1,https://www.tiktok.com/achflow1/video/6944850484003966214,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,10M,0,1.1M,8.3K,23,"Apr 1, 2021",,2,TCAFB2092742
24,New,https://www.tiktok.com/xxlbalu,https://www.tiktok.com/xxlbalu/video/6945944512778784005,Sad Piano,Astafyev Matvey,/track?id=46497772,https://www.tiktok.com/music/Sad-Piano-6764318542813726721,4.9M,0,476.7K,13.6K,24,"Apr 1, 2021",,2,QZHNC1964499
25,New,https://www.tiktok.com/fernanfloo,https://www.tiktok.com/fernanfloo/video/6945611966480239877,Fiel,"Los Legendarios, Wisin, Jhay Cortez",/track?id=32744281,https://www.tiktok.com/music/Fiel-6935075334454807301,14.6M,0,2.8M,54.7K,12,"Apr 2, 2021",,72,QM4TW2136314
26,New,https://www.tiktok.com/emrich44,https://www.tiktok.com/emrich44/video/6945632899232173317,MONTERO (Call Me By Your Name),Lil Nas X,/track?id=33735279,https://www.tiktok.com/music/MONTERO-Call-Me-By-Your-Name-6942551356402042881,9.8M,0,2.3M,20.8K,26,"Apr 1, 2021",,14,USSM12100531
27,New,https://www.tiktok.com/forrestsautoreviews,https://www.tiktok.com/forrestsautoreviews/video/6945825949862726918,FEEL THE GROOVE,,,https://www.tiktok.com/music/FEEL-THE-GROOVE-6769046027488987137,7.9M,0,1.8M,16.8K,27,"Apr 1, 2021",,6,
28,-21,https://www.tiktok.com/tool_tips,https://www.tiktok.com/tool_tips/video/6945370027046489349,Satisfaction - Radio Edit,"Benny Benassi, The Biz",/track?id=12635113,https://www.tiktok.com/music/Satisfaction-Isak-Original-Extended-6709395791670151169,22.4M,0,1.8M,4.7K,7,"Mar 31, 2021",,47,GBCEN0300096
29,50,https://www.tiktok.com/midwifemama,https://www.tiktok.com/midwifemama/video/6945258457364827398,Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",/track?id=33631904,https://www.tiktok.com/music/Peaches-6941206562859468802,7.4M,0,484.5K,4.7K,29,"Apr 1, 2021",,6,USUM72102636
30,New,https://www.tiktok.com/spencetwins,https://www.tiktok.com/spencetwins/video/6945927681607290118,She Make It Clap,Soulja Boy,/track?id=33652470,https://www.tiktok.com/music/She-Make-It-Clap-6939938341282383874,4.5M,0,391.7K,3.7K,30,"Apr 1, 2021",,6,TCAFL2178806
31,-12,https://www.tiktok.com/jayprehistoricpets,https://www.tiktok.com/jayprehistoricpets/video/6944323404954619142,Astronaut In The Ocean,Masked Wolf,/track?id=23902934,https://www.tiktok.com/music/Astronaut-In-The-Ocean-6816496693551450885,33.4M,0,3.2M,11.9K,8,"Mar 28, 2021",,127,AUFXV1900105
32,-16,https://www.tiktok.com/oliviaalboher,https://www.tiktok.com/oliviaalboher/video/6945601447513820421,Countdown,T.I.,/track?id=15076506,https://www.tiktok.com/music/CountDown-6589416031091952389,11.4M,0,451.6K,20.8K,16,"Mar 31, 2021",,14,USAT20403011
33,New,https://www.tiktok.com/oceanlife1111,https://www.tiktok.com/oceanlife1111/video/6945841418720136450,Aesthetic,Xilo,/track?id=28796568,https://www.tiktok.com/music/Aesthetic-6791619226181306369,5.5M,0,253.3K,3.6K,33,"Apr 1, 2021",,5,QZFZ22071847
34,New,https://www.tiktok.com/ragilmahardika,https://www.tiktok.com/ragilmahardika/video/6945888560931179781,Gara - Gara Cinta,,,https://www.tiktok.com/music/Gara-Gara-Cinta-6939948779459692546,4.1M,0,324.2K,4.1K,34,"Apr 1, 2021",,8,
35,New,https://www.tiktok.com/googlemapsfun,https://www.tiktok.com/googlemapsfun/video/6945910952806124806,Main Titles,Charlie Clouser,/track?id=16516708,https://www.tiktok.com/music/Main-Titles-6481095060535380749,4.1M,0,281K,5.7K,35,"Apr 1, 2021",,1,USLS50791202
