Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,71,https://www.tiktok.com/drkevinmak,https://www.tiktok.com/drkevinmak/video/7002569926053530882,It's Only Me - Studio Version,Kaleb J,/track?id=32086662,https://www.tiktok.com/music/It's-Only-Me-Studio-Version-6873814292475414529,15.3M,0,613.6K,4K,1,"Sep 2, 2021",,2,FRX762093652
2,New,https://www.tiktok.com/anacnd,https://www.tiktok.com/anacnd/video/7003124468847480069,Buttercup,Jack Stauber,/track?id=13922085,https://www.tiktok.com/music/Buttercup-6758172399012677634,9.3M,0,1.3M,30.2K,2,"Sep 2, 2021",,4,QMPKX1703669
3,New,https://www.tiktok.com/_inmagic_,https://www.tiktok.com/_inmagic_/video/7003029825455672582,Classical Music,Classical Music,/track?id=20877140,https://www.tiktok.com/music/Classical-Music-6752513449697216514,10.7M,0,1.6M,19.9K,3,"Sep 2, 2021",,20,TCAAU1178628
4,-2,https://www.tiktok.com/pandaboi.com,https://www.tiktok.com/pandaboi.com/video/7002565696513133829,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",/track?id=52404165,https://www.tiktok.com/music/STAY-6981869640796342274,24M,0,2.2M,9.2K,2,"Sep 1, 2021",,6,USSM12103949
5,New,https://www.tiktok.com/aileenchristineee,https://www.tiktok.com/aileenchristineee/video/7003104834400423173,Believe Me,Navos,/track?id=32766130,https://www.tiktok.com/music/Believe-Me-6925124562560485378,7.4M,0,1.6M,12.8K,5,"Sep 2, 2021",,6,GBUM72100423
6,New,https://www.tiktok.com/mariahandbill,https://www.tiktok.com/mariahandbill/video/7003012089044405509,Mr. Blue Sky,Electric Light Orchestra,/track?id=15807835,https://www.tiktok.com/music/Mr-Blue-Sky-6754420279457565445,9M,0,540.7K,2.3K,6,"Sep 2, 2021",,4,USSM17200399
7,New,https://www.tiktok.com/vedeflorin,https://www.tiktok.com/vedeflorin/video/7002841885723151621,Believer,Imagine Dragons,/track?id=15939926,https://www.tiktok.com/music/Believer-6449182744797940494,9.9M,0,346.5K,1.4K,7,"Sep 2, 2021",,1,USUM71700626
8,New,https://www.tiktok.com/samsmith,https://www.tiktok.com/samsmith/video/7003013771321019654,Like I Can,Sam Smith,/track?id=13074111,https://www.tiktok.com/music/Like-I-Can-242193381597327360,6.6M,0,779.1K,2.3K,8,"Sep 2, 2021",,17,GBUM71308834
9,New,https://www.tiktok.com/chervonenko__,https://www.tiktok.com/chervonenko__/video/7002939612800814341,Ракушка,Демьян Заико,/track?id=44961344,https://www.tiktok.com/music/Ракушка-6936286729910126594,12.2M,0,1.1M,3.3K,9,"Sep 2, 2021",,24,QM4TX2157971
10,42,https://www.tiktok.com/_jovassago_,https://www.tiktok.com/_jovassago_/video/7002543153701981467,Courtroom,,,https://www.tiktok.com/music/Courtroom-6777299942261131265,9M,0,634.9K,83.7K,10,"Sep 2, 2021",,10,
11,16,https://www.tiktok.com/olivertree,https://www.tiktok.com/olivertree/video/7000907734057061638,Life Goes On,Oliver Tree,/track?id=45611515,https://www.tiktok.com/music/Life-Goes-On-6967187297502660609,27.2M,0,3.2M,32.4K,11,"Sep 2, 2021",,138,USAT22007153
12,-8,https://www.tiktok.com/joshuarubin03,https://www.tiktok.com/joshuarubin03/video/7001178671687929093,Welcome to My House,"Nu Breed, Jesse Howard",/track?id=32195690,https://www.tiktok.com/music/Welcome-to-My-House-6902376363227891714,18.4M,0,2.3M,36.3K,4,"Sep 1, 2021",,47,TCAFG2089365
13,New,https://www.tiktok.com/rollettes_la,https://www.tiktok.com/rollettes_la/video/7003113187679816966,"3,2,1...Race",,,https://www.tiktok.com/music/321Race-6990792728132978689,5.4M,0,211.7K,687,13,"Sep 2, 2021",,4,
14,New,https://www.tiktok.com/its.michhh,https://www.tiktok.com/its.michhh/video/7003124041917680902,Chiki Chaka,Many Malon,/track?id=50874410,https://www.tiktok.com/music/Chiki-Chaka-6977036527587085061,5.2M,0,949.7K,26.2K,14,"Sep 2, 2021",,3,QZNFJ2117002
15,New,https://www.tiktok.com/settingthebahr,https://www.tiktok.com/settingthebahr/video/7003114275740994821,Mama Said,Lukas Graham,/track?id=16029409,https://www.tiktok.com/music/Mama-Said-222447171198074880,5.5M,0,518K,2.6K,15,"Sep 2, 2021",,2,USWB11600081
16,New,https://www.tiktok.com/tuvok12,https://www.tiktok.com/tuvok12/video/7003024793058446598,INDUSTRY BABY,,,https://www.tiktok.com/music/INDUSTRY-BABY-6987792822153807874,5.8M,0,657.8K,724,16,"Sep 2, 2021",,4,
17,2,https://www.tiktok.com/youneszarou,https://www.tiktok.com/youneszarou/video/7001793439931141381,MONTERO (Call Me By Your Name),Lil Nas X,/track?id=33735279,https://www.tiktok.com/music/MONTERO-Call-Me-By-Your-Name-6942551356402042881,32.2M,0,1M,1.6K,3,"Aug 30, 2021",,4,USSM12100531
18,New,https://www.tiktok.com/kevlexd,https://www.tiktok.com/kevlexd/video/7003091277948456197,Te Pintaron Pajaritos,"Yandar & Yostin, Andy Rivera",/track?id=13975985,https://www.tiktok.com/music/Te-Pintaron-Pajaritos-Radio-Edit-6815054028058134529,5.7M,0,1.2M,18.3K,18,"Sep 2, 2021",,33,QZ5AB1645078
19,125,https://www.tiktok.com/rosie.the.sd,https://www.tiktok.com/rosie.the.sd/video/7000091728287993093,Yellow,Coldplay,/track?id=12521939,https://www.tiktok.com/music/Yellow-Slowed-6894026000066168834,41.2M,0,9.8M,55.2K,4,"Aug 25, 2021",-0.43,65,GBAYE0000267
20,10,https://www.tiktok.com/alican_official.tm,https://www.tiktok.com/alican_official.tm/video/7001438080800492802,Gun Double,Armağan Oruç,/track?id=33787681,https://www.tiktok.com/music/Gun-Double-6938921888718522370,19.5M,0,1.7M,4.9K,20,"Sep 2, 2021",,49,QZDA72183701
21,-18,https://www.tiktok.com/jaden.from.target,https://www.tiktok.com/jaden.from.target/video/7002420646470864134,The Home Depot Beat,The Home Depot,/track?id=27909317,https://www.tiktok.com/music/The-Home-Depot-Beat-6759641455448295425,28.9M,0,7.4M,61.4K,3,"Sep 1, 2021",,21,TCAEN1934290
22,-12,https://www.tiktok.com/samsmith,https://www.tiktok.com/samsmith/video/7000746121807056134,Like I Can,Sam Smith,/track?id=13074111,https://www.tiktok.com/music/Like-I-Can-242193381597327360,30.3M,0,3.4M,12.6K,10,"Sep 1, 2021",,56,GBUM71308834
