Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,5787,https://www.tiktok.com/yvngflickk,https://www.tiktok.com/yvngflickk/video/6979276763176176902,Sabotage,Bebe Rexha,/track?id=34450739,https://www.tiktok.com/music/Sabotage-6977056064617334785,44.8M,0,803.1K,3.7K,1,"Jul 1, 2021",,7,USWB12100588
2,New,https://www.tiktok.com/vancityreynolds,https://www.tiktok.com/vancityreynolds/video/6979568571861060870,I Swear,All-4-One,/track?id=15094349,https://www.tiktok.com/music/I-Swear-6705032858743867394,29.3M,0,5.8M,92.5K,2,"Jul 1, 2021",,38,USAT29400058
3,New,https://www.tiktok.com/smithknation,https://www.tiktok.com/smithknation/video/6979764092093385989,Touch Down 2 Cause Hell,Hd4president,/track?id=36218182,https://www.tiktok.com/music/Touch-Down-2-Cause-Hell-6954740638508124162,13.8M,0,1.6M,6K,3,"Jul 1, 2021",,31,QZHN32182118
4,-2,https://www.tiktok.com/wil_yan420,https://www.tiktok.com/wil_yan420/video/6979055851495574789,Un Velero Llamado Libertad,José Luis Perales,/track?id=11900597,https://www.tiktok.com/music/Un-velero-llamado-Libertad-264561837969522688,43.2M,0,3.7M,60.7K,2,"Jun 30, 2021",,27,ES5087902054
5,New,https://www.tiktok.com/ma_ceu,https://www.tiktok.com/ma_ceu/video/6978897362626317569,Pool Party,Duo Dynamic,/track?id=43173515,https://www.tiktok.com/music/Pool-Party-6758806450832672770,26.1M,0,3.3M,34.6K,5,"Jul 1, 2021",,8,QZHNB1912570
6,New,https://www.tiktok.com/cznburak,https://www.tiktok.com/cznburak/video/6979582631390219522,Shenai,DJ Kantik,/track?id=14418613,https://www.tiktok.com/music/Shenai-6779350255826634753,20.5M,0,1.8M,21.5K,6,"Jul 1, 2021",,65,TCADC1721570
7,New,https://www.tiktok.com/guklas,https://www.tiktok.com/guklas/video/6979077359467007233,Get Low,"Dillon Francis, DJ Snake",/track?id=15793524,https://www.tiktok.com/music/Get-Low-6421452767147232002,15.7M,0,1.4M,9.4K,7,"Jul 1, 2021",,79,USSM11403232
8,9773,https://www.tiktok.com/silkelephant44,https://www.tiktok.com/silkelephant44/video/6972209918841457925,The Journey,Sol Rising,/track?id=18078867,https://www.tiktok.com/music/The-Journey-6802385812764772354,31.6M,0,6.8M,40.5K,8,"Jul 1, 2021",94.00,35,QZ8LD1792986
9,New,https://www.tiktok.com/kardelen_cat,https://www.tiktok.com/kardelen_cat/video/6979697280773328129,"Rasputin - 7"" Version",Boney M.,/track?id=11473270,https://www.tiktok.com/music/Rasputin-6928460441500780545,6.3M,0,510.7K,6.7K,9,"Jul 1, 2021",,14,DED167800002
10,650,https://www.tiktok.com/bobbyhairstudio,https://www.tiktok.com/bobbyhairstudio/video/6972707141924801798,Into The Thick Of It!,The Backyardigans,/track?id=17111653,https://www.tiktok.com/music/Into-The-Thick-Of-It-6964101918863969030,67.1M,0,6.6M,17.5K,4,"Jun 12, 2021",,65,USA820500103
