Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/joydayicecream,https://www.tiktok.com/joydayicecream/video/6919357061331422466,SurpriSINGJoyday,,,https://www.tiktok.com/music/SurpriSINGJoyday-6914203786231842817,25M,0,281.2K,1.3K,1,"Jan 21, 2021",,3,
2,New,https://www.tiktok.com/dr.danielaronov,https://www.tiktok.com/dr.danielaronov/video/6919975344476933377,Snowman,Sia,/track?id=17652389,https://www.tiktok.com/music/Snowman-6675654006678866694,16.7M,0,1.8M,27.6K,2,"Jan 21, 2021",,3,USAT21704212
3,New,https://www.tiktok.com/two_chihuahuas89,https://www.tiktok.com/two_chihuahuas89/video/6919964975012269317,drivers license,Olivia Rodrigo,/track?id=32507149,https://www.tiktok.com/music/drivers-license-6914711053674760193,13.5M,0,2.8M,46K,3,"Jan 21, 2021",,69,USUG12004749
4,New,https://www.tiktok.com/charlidamelio,https://www.tiktok.com/charlidamelio/video/6919947994150358278,Cry Baby (feat. DaBaby),"Megan Thee Stallion, DaBaby",/track?id=32021354,https://www.tiktok.com/music/Cry-Baby-feat-DaBaby-6897097411034892290,15.6M,0,3.7M,264.4K,4,"Jan 21, 2021",,106,QMCE32000678
5,28,https://www.tiktok.com/dr.wax,https://www.tiktok.com/dr.wax/video/6917473558155316485,On It,"Sam Woolf, The Como Brothers",/track?id=18384159,https://www.tiktok.com/music/ON-IT-6768781980315158530,37.4M,0,1.7M,18.4K,5,"Jan 21, 2021",,17,QMDRC1700002
6,New,https://www.tiktok.com/joshhelfgott,https://www.tiktok.com/joshhelfgott/video/6919996144789622021,Intro,The xx,/track?id=12569606,https://www.tiktok.com/music/Intro-6751217194157213697,8.6M,0,2.5M,72.1K,6,"Jan 21, 2021",,9,GBBKS0900196
7,-6,https://www.tiktok.com/connection_intercepted,https://www.tiktok.com/connection_intercepted/video/6918883620220325126,Mr Sandman,The Chordettes,/track?id=12578758,https://www.tiktok.com/music/Mr-Sandman-6717461240567826433,35.3M,0,6.4M,115.4K,1,"Jan 20, 2021",,116,GBBLY0602701
8,New,https://www.tiktok.com/rtfkt,https://www.tiktok.com/rtfkt/video/6919913399883189510,North Memphis,Pharmacist,/track?id=28170775,https://www.tiktok.com/music/North-Memphis-6763772951264233473,9.2M,0,1.2M,21.8K,8,"Jan 21, 2021",,58,QZHNC1902102
9,New,https://www.tiktok.com/evaluna,https://www.tiktok.com/evaluna/video/6919981697471696134,Ropa Cara,Camilo,/track?id=32594947,https://www.tiktok.com/music/Ropa-Cara-6918282645415659521,6.9M,0,1.3M,2.2K,9,"Jan 21, 2021",,36,USSD12000609
10,-9,https://www.tiktok.com/connection_intercepted,https://www.tiktok.com/connection_intercepted/video/6918883620220325126,Mr Sandman,The Chordettes,/track?id=12578758,https://www.tiktok.com/music/Mr-Sandman-6717461240567826433,35.3M,0,6.4M,115.4K,1,"Jan 20, 2021",,116,GBBLY0602701
11,-8,https://www.tiktok.com/queen_paul,https://www.tiktok.com/queen_paul/video/6919144628600032514,I'm Legit,"Nicki Minaj, Ciara",/track?id=15193950,https://www.tiktok.com/music/I'm-Legit-273868876789010432,59.5M,0,6.1M,277.8K,2,"Jan 19, 2021",,9,USCM51200745
12,37,https://www.tiktok.com/foodie.beats,https://www.tiktok.com/foodie.beats/video/6917599459073412354,Conga,Party Songs for Kids,/track?id=21126204,https://www.tiktok.com/music/Conga-6717646815220467714,74.6M,0,6.3M,23.3K,2,"Jan 15, 2021",,80,USFV71100359
13,17,https://www.tiktok.com/daniellewayelise,https://www.tiktok.com/daniellewayelise/video/6913165616543288578,Sleep Baby Sleep,Baby Lullaby,/track?id=14796981,https://www.tiktok.com/music/Sleep-Baby-Sleep-6708408234165684225,54.5M,0,4.2M,72.9K,4,"Jan 19, 2021",,49,USA2P1472396
14,New,https://www.tiktok.com/tiabagha,https://www.tiktok.com/tiabagha/video/6919896318190177541,Level Up,Ciara,/track?id=20223938,https://www.tiktok.com/music/Level-Up-6580213968705424134,7.7M,0,1.4M,24.2K,14,"Jan 21, 2021",,7,ZZOPM1800407
15,-11,https://www.tiktok.com/evaluna,https://www.tiktok.com/evaluna/video/6919561609450966277,Ropa Cara,Camilo,/track?id=32594947,https://www.tiktok.com/music/Ropa-Cara-6918282645415659521,21.8M,0,3.6M,10.7K,4,"Jan 20, 2021",,75,USSD12000609
16,New,https://www.tiktok.com/bailrok,https://www.tiktok.com/bailrok/video/6919992940987157765,Funk da Netflix,MC Fioti,/track?id=24886077,https://www.tiktok.com/music/Funk-da-Netflix-6861976020375848961,4.7M,0,698.9K,6.4K,16,"Jan 21, 2021",,8,QZ8BZ1900519
17,New,https://www.tiktok.com/zerotothree_,https://www.tiktok.com/zerotothree_/video/6919832074400566534,Buss It,Erica Banks,/track?id=29555553,https://www.tiktok.com/music/Buss-It-6826096341966456833,12.5M,0,3.6M,50.8K,17,"Jan 21, 2021",,9,USUYG1312999
18,New,https://www.tiktok.com/michaila.cothran,https://www.tiktok.com/michaila.cothran/video/6920001547585850630,Everywhere,Michelle Branch,/track?id=15564911,https://www.tiktok.com/music/Everywhere-224530385152585729,6.8M,0,1.5M,18K,18,"Jan 21, 2021",,16,USMV20100080
19,New,https://www.tiktok.com/emilyfauver,https://www.tiktok.com/emilyfauver/video/6920026022452677893,Monkeys Spinning Monkeys,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,4.5M,0,668K,15.8K,19,"Jan 21, 2021",,7,USUAN1400011
20,35,https://www.tiktok.com/foodies,https://www.tiktok.com/foodies/video/6917084753514532102,Goodbye,"Imanbek, Goodboys",/track?id=32317410,https://www.tiktok.com/music/Goodbye-6906588519645317122,36.2M,0,3.1M,111.4K,20,"Jan 21, 2021",1.86,38,GBUM72006085
21,4,https://www.tiktok.com/drtejaspatel,https://www.tiktok.com/drtejaspatel/video/6918845824281660677,I'm Legit,"Nicki Minaj, Ciara",/track?id=15193950,https://www.tiktok.com/music/I'm-Legit-273868876789010432,37.8M,0,3.3M,13.6K,1,"Jan 18, 2021",,4,USCM51200745
22,New,https://www.tiktok.com/bip.house,https://www.tiktok.com/bip.house/video/6919770104997661953,Pikacu Gangnam Style,,,https://www.tiktok.com/music/Pikacu-Gangnam-Style-6470014717204433677,10.5M,0,767.6K,2.9K,22,"Jan 21, 2021",,38,
23,-10,https://www.tiktok.com/droneporn,https://www.tiktok.com/droneporn/video/6919026660075523330,falling,,,https://www.tiktok.com/music/falling-6711600788453493509,30.4M,0,7M,81.1K,13,"Jan 20, 2021",,79,
24,New,https://www.tiktok.com/homm9k,https://www.tiktok.com/homm9k/video/6919763901089352962,Mayonaka no Door / Stay With Me,Miki Matsubara,/track?id=22789347,https://www.tiktok.com/music/真夜中のドア〜stay-with-me-6878744350931634950,10.9M,0,1.1M,7.6K,24,"Jan 21, 2021",,14,JPPC07950030
25,88,https://www.tiktok.com/funnyanimal9,https://www.tiktok.com/funnyanimal9/video/6912567064091741445,Pennies From Heaven,"Louis Prima, Sam Butera & The Witnesses",/track?id=15176560,https://www.tiktok.com/music/Pennies-From-Heaven-6885454839245965326,80.5M,0,11.5M,145.1K,2,"Jan 3, 2021",28.43,61,USCA29501047
26,New,https://www.tiktok.com/calleypoche,https://www.tiktok.com/calleypoche/video/6920004252987329797,Ropa Cara,Camilo,/track?id=32594947,https://www.tiktok.com/music/Ropa-Cara-6918282645415659521,4.1M,0,951.9K,3.7K,26,"Jan 21, 2021",,6,USSD12000609
27,New,https://www.tiktok.com/doctoryoun,https://www.tiktok.com/doctoryoun/video/6919983601211723013,"The Banjo Beat, Pt. 1",Ricky Desktop,/track?id=31136030,https://www.tiktok.com/music/The-Banjo-Beat-Pt-1-6863214295757490950,3.9M,0,380.6K,21.5K,27,"Jan 21, 2021",,2,QZK6L2004258
28,26,https://www.tiktok.com/doktergigi_,https://www.tiktok.com/doktergigi_/video/6908808332904090882,I Think I'm in Love,Mocca,/track?id=12088454,https://www.tiktok.com/music/I-Think-I'm-in-Love-6703119711862786050,133.7M,0,8M,141.3K,1,"Jan 12, 2021",-2.29,23,FR2X41582660
29,New,https://www.tiktok.com/fresajapomex,https://www.tiktok.com/fresajapomex/video/6919964227130215686,She Share Story,Shayne Orok,/track?id=29745716,https://www.tiktok.com/music/She-Share-Story-for-Vlog-6722656094272883458,4M,0,451.6K,951,29,"Jan 21, 2021",,1,QZHN52089091
30,New,https://www.tiktok.com/itsbennyblanco,https://www.tiktok.com/itsbennyblanco/video/6919557835105864965,Real Shit (with benny blanco),"Juice WRLD, benny blanco",/track?id=32139940,https://www.tiktok.com/music/Real-Shit-6902275466942482434,17.5M,0,2M,80.7K,30,"Jan 21, 2021",,34,USUG12002600
31,-26,https://www.tiktok.com/inkinkustink,https://www.tiktok.com/inkinkustink/video/6919586960818310406,CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,/track?id=20186812,https://www.tiktok.com/music/CLOUT-COBAIN-CLOUT-CO13A1N-6753317483630823426,23.2M,0,3.5M,11.2K,5,"Jan 20, 2021",,52,USC4R1802455
32,-26,https://www.tiktok.com/charlidamelio,https://www.tiktok.com/charlidamelio/video/6919627157329218821,Do You Feel That?,The Hollister Feel Lab,/track?id=32104515,https://www.tiktok.com/music/Do-You-Feel-That-6878236708731635714,14.3M,0,2.7M,245K,6,"Jan 20, 2021",,77,QZK6F2091638
33,-22,https://www.tiktok.com/k9arlo,https://www.tiktok.com/k9arlo/video/6919254861552864517,Fight Song,Alyssa Grace,/track?id=29496304,https://www.tiktok.com/music/Fight-Song-6802883113564243970,51.4M,0,9.4M,155K,1,"Jan 19, 2021",,87,QZFZ62022367
34,New,https://www.tiktok.com/lilnasx,https://www.tiktok.com/lilnasx/video/6919985491727174918,Rodeo,"Lil Nas X, Cardi B",/track?id=24139047,https://www.tiktok.com/music/Rodeo-6704852053887289346,3.6M,0,1.2M,26.2K,34,"Jan 21, 2021",,30,USSM11903951
35,New,https://www.tiktok.com/changed_from_asianwithadadbod,https://www.tiktok.com/changed_from_asianwithadadbod/video/6920036209620159750,Buss It,Erica Banks,/track?id=29555553,https://www.tiktok.com/music/Buss-It-6826096341966456833,3.4M,0,646.2K,21.9K,35,"Jan 21, 2021",,10,USUYG1312999
36,-21,https://www.tiktok.com/phewman,https://www.tiktok.com/phewman/video/6919406840115776774,Deal With It (feat. Kelis),"Ashnikko, Kelis",/track?id=31460876,https://www.tiktok.com/music/Deal-With-It-feat-Kelis-6916911442042030082,27.1M,0,5.7M,35.5K,15,"Jan 20, 2021",,90,GBAYE2000707
37,New,https://www.tiktok.com/nannersthegoldie,https://www.tiktok.com/nannersthegoldie/video/6912397890677656837,How Bizarre,OMC,/track?id=13711345,https://www.tiktok.com/music/How-Bizarre-261493794020196352,23.8M,0,4.5M,52.5K,37,"Jan 21, 2021",,38,NZPY09500002
38,-32,https://www.tiktok.com/charlidamelio,https://www.tiktok.com/charlidamelio/video/6919627157329218821,Do You Feel That?,The Hollister Feel Lab,/track?id=32104515,https://www.tiktok.com/music/Do-You-Feel-That-6878236708731635714,14M,0,2.7M,244.7K,6,"Jan 20, 2021",,77,QZK6F2091638
39,New,https://www.tiktok.com/bigmike_675,https://www.tiktok.com/bigmike_675/video/6920032335056473349,Rasputin - Maxi Version,Boney M.,/track?id=11461430,https://www.tiktok.com/music/Rasputin-Single-Version-242977707800637440,3.2M,0,868.1K,11.9K,39,"Jan 21, 2021",,1,DEC730800009
40,New,https://www.tiktok.com/letwins,https://www.tiktok.com/letwins/video/6919931922260987137,Dusk Till Dawn,Madilyn,/track?id=17890938,https://www.tiktok.com/music/Dusk-Till-Dawn-6764036183212165121,3.8M,0,428.6K,778,40,"Jan 21, 2021",,2,TCADK1726306
41,-35,https://www.tiktok.com/charlidamelio,https://www.tiktok.com/charlidamelio/video/6919627157329218821,Do You Feel That?,The Hollister Feel Lab,/track?id=32104515,https://www.tiktok.com/music/Do-You-Feel-That-6878236708731635714,14.3M,0,2.7M,245K,6,"Jan 20, 2021",,77,QZK6F2091638
42,-27,https://www.tiktok.com/phewman,https://www.tiktok.com/phewman/video/6919406840115776774,Deal With It (feat. Kelis),"Ashnikko, Kelis",/track?id=31460876,https://www.tiktok.com/music/Deal-With-It-feat-Kelis-6916911442042030082,26.8M,0,5.6M,35.2K,15,"Jan 20, 2021",,90,GBAYE2000707
