Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,76,https://www.tiktok.com/shopee_id,https://www.tiktok.com/shopee_id/video/6953472334158105857,Shopee Big Ramadan Sale,,,https://www.tiktok.com/music/Shopee-Big-Ramadan-Sale-6950263154614110209,89.5M,0,509.7K,7.5K,1,"Apr 29, 2021",,3,
2,New,https://www.tiktok.com/shopee_id,https://www.tiktok.com/shopee_id/video/6953533934844136705,Shopee Big Ramadan Sale,,,https://www.tiktok.com/music/Shopee-Big-Ramadan-Sale-6950263154614110209,33.5M,0,309.3K,2.2K,2,"Apr 29, 2021",,2,
3,52,https://www.tiktok.com/slavamarlow,https://www.tiktok.com/slavamarlow/video/6955881425165946114,Alfa ХочуПолучу,,,https://www.tiktok.com/music/Alfa-ХочуПолучу-6951306822821103617,20.6M,0,332.4K,2.2K,3,"Apr 29, 2021",,2,
4,New,https://www.tiktok.com/scottsreality,https://www.tiktok.com/scottsreality/video/6956666992568913158,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,12.7M,0,1.1M,16.9K,1,"Apr 30, 2021",,58,TCAFB2092742
5,14,https://www.tiktok.com/princxssglitterhead,https://www.tiktok.com/princxssglitterhead/video/6954579125776551174,Try,Colbie Caillat,/track?id=15930940,https://www.tiktok.com/music/Colbie-Caillat-Try-抖音版-6883360820797900808,17.2M,0,486.8K,25.4K,5,"Apr 29, 2021",,87,USUM71407113
6,69,https://www.tiktok.com/cestbonyi,https://www.tiktok.com/cestbonyi/video/6955093099395828998,La La La,Midnight Generation,/track?id=15231743,https://www.tiktok.com/music/La-La-La剪辑版-6846958678361245704,16.9M,0,453.7K,5.9K,6,"Apr 29, 2021",,45,USDHM1614587
7,New,https://www.tiktok.com/robendy26022020,https://www.tiktok.com/robendy26022020/video/6956510943647960326,Get You The Moon (feat. Snøw),"Kina, Snøw",/track?id=20672218,https://www.tiktok.com/music/Get-You-The-Moon-6833934234948732941,12.3M,0,2.3M,10.2K,7,"Apr 29, 2021",,24,USSM11808093
8,New,https://www.tiktok.com/xiaoyang620,https://www.tiktok.com/xiaoyang620/video/6956060618415770886,Beautiful Day,eliane,/track?id=30009098,https://www.tiktok.com/music/Beautiful-Day-100840239,12.9M,0,1.3M,4.9K,8,"Apr 29, 2021",,9,CH0011200105
9,New,https://www.tiktok.com/tonkanator75,https://www.tiktok.com/tonkanator75/video/6956227176198950146,Bad Day,Daniel Powter,/track?id=16017222,https://www.tiktok.com/music/Bad-Day-6704935045615847426,10.5M,0,1.7M,32.6K,9,"Apr 29, 2021",,49,USWB10401971
10,New,https://www.tiktok.com/ilyakv_off,https://www.tiktok.com/ilyakv_off/video/6956168935435783425,Мне не больно,TORY,/track?id=41722685,https://www.tiktok.com/music/Мне-не-больно-6891690844357658625,32.6M,0,2.2M,49.9K,2,"Apr 30, 2021",,43,RUA1D2061339
