Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,3,Baby Got Back,S4401,Sir Mix-A-Lot,/track?id=15815307,https://www.tiktok.com/music/Baby-Got-Back-7029297802328934401,American Recordings,"Sep 2, 2019",3,822K,7.8M,1,"Sep 4, 2021",44,0.43,USSM19100221
2,-1,6000 Degrees (AH HA),S6187,$hyfromdatre,/track?id=94305158,https://www.tiktok.com/music/6000-degrees-x-Shyfromdatre-7143416796954086187,$hyfromdatre,"Oct 18, 2022",21,569K,1.8M,1,"Nov 12, 2022",16,-0.14,QZNMX2254862
3,New,Furious,,,,https://www.tiktok.com/music/null,,"Nov 7, 2022",82,480K,508K,3,"Nov 19, 2022",3,,DGA062235412
4,-1,Magic Fingers,,,,https://www.tiktok.com/music/null,,"Oct 31, 2022",57,340K,824K,3,"Nov 12, 2022",7,-0.14,DGA062201467
5,-3,Bad Habit,S0450,Steve Lacy,/track?id=84088250,https://www.tiktok.com/music/Bad-Habit-7152997794909800450,L-M Records/RCA Records,"Jun 26, 2022",6,336K,6.8M,2,"Aug 6, 2022",31,-0.43,USRC12201440
6,New,Top,S5118,Lil Uzi Vert,/track?id=15091129,https://www.tiktok.com/music/Top-lil-uzi-vert-7157168735135075118,Generation Now/Atlantic,"Aug 19, 2019",85,320K,482K,6,"Nov 19, 2022",4,,USAT21504168
7,0,Lollipop,S7758,"Lil Wayne, Static Major",/track?id=15193367,https://www.tiktok.com/music/Lollipop-145167758,CM/Republic,"Sep 2, 2019",51,310K,994K,7,"Nov 12, 2022",7,0.00,USCM50800556
8,New,TON1GHT - Jersey Club,S7483,KilSoSouth,/track?id=95714161,https://www.tiktok.com/music/TON1GHT-jersey-club-7163102205384477483,Independent Artist,"Nov 10, 2022",105,295K,343K,8,"Nov 19, 2022",8,,QZTAY2236253
9,175,Melting,S8069,Kali Uchis,/track?id=13823571,https://www.tiktok.com/music/Melting-7082152009201208069,Geffen Records,"Mar 23, 2020",52,294K,987K,9,"Nov 19, 2022",14,25.00,QM8DG1400266
10,0,Rich Flex,S0610,"Drake, 21 Savage",/track?id=95124968,https://www.tiktok.com/music/Rich-Flex-7162017080122820610,OVO / Republic Records,"Nov 3, 2022",76,289K,556K,7,"Dec 3, 2022",12,0.00,USUG12208598
11,-6,L$d,S4433,Luclover,/track?id=80001990,https://www.tiktok.com/music/Ld-7085791307943954433,independent,"Apr 11, 2022",1,289K,13M,1,"Jul 23, 2022",39,-0.86,QZHN42243265
12,New,Stand up,,,,https://www.tiktok.com/music/null,,"Nov 7, 2022",115,282K,301K,12,"Nov 19, 2022",9,,QZTAX2251550
