Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,0,L$d,S4433,Luclover,/track?id=80001990,https://www.tiktok.com/music/Ld-7085791307943954433,independent,"Apr 11, 2022",9,1.5M,4.8M,1,"Jul 23, 2022",39,0.00,QZHN42243265
2,2,Bad Habit,S0450,Steve Lacy,/track?id=84088250,https://www.tiktok.com/music/Bad-Habit-7152997794909800450,L-M Records/RCA Records,"Jun 26, 2022",24,592K,1.8M,2,"Aug 6, 2022",31,0.29,USRC12201440
3,-1,Rich Minion,S1617,Yeat,/track?id=84058108,https://www.tiktok.com/music/Rich-Minion-7109284473828591617,Back Lot Music,"Jun 14, 2022",13,529K,3.2M,1,"Jul 16, 2022",8,-0.14,USQ4E2200763
4,1,eyes - vip mix,,skaiwater,/track?id=87245083,https://www.tiktok.com/music/null,Cinematic Music Group,"Jul 24, 2022",41,514K,975K,4,"Aug 6, 2022",16,0.14,QMKSC2200082
5,-2,Beat Automotivo Tan Tan Tan Viral,S4978,WZ Beat,/track?id=83331455,https://www.tiktok.com/music/Beat-AutomotivoTan-Tan-Tan-7155425673559934978,WZ Beat,"May 25, 2022",23,358K,2.2M,2,"Jul 16, 2022",40,-0.29,BXWEH2200054
6,24,Candy Shop,S3585,"50 Cent, Olivia",/track?id=15415591,https://www.tiktok.com/music/Candy-Shop-6904111848841283585,Aftermath/Shady,"Sep 4, 2019",66,336K,522K,6,"Aug 6, 2022",10,3.43,USIR10500072
7,-1,F.N.F. (Let's Go),S0619,"Hitkidd, GloRilla",/track?id=81041293,https://www.tiktok.com/music/FNF-Let's-Go-7089140456671480619,Blac Noize!,"May 2, 2022",29,306K,1.5M,1,"Sep 24, 2022",35,-0.14,QZRD92201643
8,6,No Scrubs,,,,https://www.tiktok.com/music/null,,"Jun 23, 2022",76,285K,445K,8,"Aug 6, 2022",5,0.86,QZ8252217865
9,0,F.N.F. (Let's Go),,"Hitkidd, GloRilla",/track?id=83436317,https://www.tiktok.com/music/null,Blac Noize!,"Jun 1, 2022",62,264K,538K,9,"Jul 30, 2022",9,0.00,QZRD92201747
10,11,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"May 11, 2022",10,250K,3.5M,2,"Jun 11, 2022",46,1.57,USA3D0700101
