Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,35,https://www.tiktok.com/larissamanoela,https://www.tiktok.com/larissamanoela/video/6989346093406358789,HIDRALUREI,,,https://www.tiktok.com/music/HIDRALUREI-HIDRALUREI-6985111248082601985,66.4M,0,1.4M,19.8K,1,"Jul 27, 2021",,4,
2,New,https://www.tiktok.com/camilacabello,https://www.tiktok.com/camilacabello/video/6990061033704475910,Opportunity,Quvenzhané Wallis,/track?id=14614964,https://www.tiktok.com/music/Opportunity-242638364112424960,31.2M,0,6.4M,30.6K,2,"Jul 29, 2021",,78,US4DG1400216
3,32,https://www.tiktok.com/anokhinalz,https://www.tiktok.com/anokhinalz/video/6989609290138930433,Покажи Лайт,,,https://www.tiktok.com/music/Покажи-Лайт-6979874483523995650,19.5M,0,336.5K,2.6K,3,"Jul 29, 2021",,11,
4,New,https://www.tiktok.com/iben_ma,https://www.tiktok.com/iben_ma/video/6989962942967975194,Face Dance,,,https://www.tiktok.com/music/Face-Dance-6552302547447581442,21.9M,0,2.6M,43.6K,4,"Jul 29, 2021",,27,
5,New,https://www.tiktok.com/sabri_ayoub,https://www.tiktok.com/sabri_ayoub/video/6990115974439636226,Into Your Arms (feat. Ava Max),"Witt Lowry, Ava Max",/track?id=19921963,https://www.tiktok.com/music/Into-Your-Arms-feat-Ava-Max-6732318910667901702,12.4M,0,2M,9K,5,"Jul 29, 2021",,2,USAT21802013
6,-4,https://www.tiktok.com/my_aussie_gal,https://www.tiktok.com/my_aussie_gal/video/6986336677748935942,everything sucks,vaultboy,/track?id=43422032,https://www.tiktok.com/music/everything-sucks-6963332124011137025,74.1M,0,14.8M,271.3K,1,"Jul 21, 2021",-0.71,83,QZLBC2100155
7,New,https://www.tiktok.com/l.thomas2020,https://www.tiktok.com/l.thomas2020/video/6989812628486950149,Paradise,Bazzi,/track?id=22756832,https://www.tiktok.com/music/Paradise-6723045742841169921,27.1M,0,5.6M,81.7K,7,"Jul 29, 2021",,80,USAT21901897
8,New,https://www.tiktok.com/hunterxlewis,https://www.tiktok.com/hunterxlewis/video/6990011875765308677,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,9.3M,0,1.1M,4.1K,8,"Jul 29, 2021",,6,TCAFB2092742
9,54,https://www.tiktok.com/iambeckyg,https://www.tiktok.com/iambeckyg/video/6987495114956344582,Fulanito,"Becky G, El Alfa",/track?id=47121373,https://www.tiktok.com/music/Fulanito-6969874712394550022,25.3M,0,3.5M,13.9K,6,"Aug 5, 2021",1.00,65,USRC12100954
10,New,https://www.tiktok.com/enhypen,https://www.tiktok.com/enhypen/video/6989981795244723457,double take,dhruv,/track?id=23725128,https://www.tiktok.com/music/double-take-6976066440176749313,13.2M,0,4M,176.4K,10,"Jul 29, 2021",,87,GBMJG1911043
11,New,https://www.tiktok.com/keepingcowsmoovin,https://www.tiktok.com/keepingcowsmoovin/video/6989899993310170373,Accidentally in Love,KiD RAiN,/track?id=33627977,https://www.tiktok.com/music/Accidentally-in-Love-6938428383583799298,14.1M,0,1.3M,12.6K,11,"Jul 29, 2021",,39,TCAFL2159417
12,New,https://www.tiktok.com/ox_zung,https://www.tiktok.com/ox_zung/video/6989987298746125569,Into The Thick Of It!,The Backyardigans,/track?id=17111653,https://www.tiktok.com/music/Into-The-Thick-Of-It-6964101918863969030,9.8M,0,1.2M,18.2K,12,"Jul 29, 2021",,2,USA820500103
13,-9,https://www.tiktok.com/fuffyferrets,https://www.tiktok.com/fuffyferrets/video/6989783565399575814,Sticky Honey Roast - Genshin Impact Lofi Remix,SuperDope,/track?id=33341519,https://www.tiktok.com/music/Sticky-Honey-Roast-Genshin-Impact-Lofi-Remix-6910717683554093058,20.7M,0,6.2M,56.3K,4,"Jul 28, 2021",,41,QZPLR2020156
14,New,https://www.tiktok.com/morgana_sollll,https://www.tiktok.com/morgana_sollll/video/6981122320559656197,I Feel Like I'm Drowning,Two Feet,/track?id=17653901,https://www.tiktok.com/music/I-Feel-Like-I'm-Drowning-6928858818067564546,14.4M,0,838.6K,9.6K,14,"Jul 29, 2021",,25,USUM71709320
15,New,https://www.tiktok.com/shohey_volley24,https://www.tiktok.com/shohey_volley24/video/6989925051634027777,Way Back Home,SHAUN,/track?id=20105880,https://www.tiktok.com/music/Way-Back-Home-6585092185274878734,8.8M,0,694K,6.2K,15,"Jul 29, 2021",,81,KRF221800012
16,New,https://www.tiktok.com/pimpleremove,https://www.tiktok.com/pimpleremove/video/6988715850534522118,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",/track?id=52404165,https://www.tiktok.com/music/STAY-6981869640796342274,7.1M,0,475.6K,2.4K,16,"Jul 29, 2021",,21,USSM12103949
17,New,https://www.tiktok.com/briggi_bozzo,https://www.tiktok.com/briggi_bozzo/video/6990126603695115526,Cúrame,Rauw Alejandro,/track?id=50742671,https://www.tiktok.com/music/Cúrame-6979906328823204613,6.2M,0,1.1M,2.9K,17,"Jul 29, 2021",,39,USSD12100296
18,-10,https://www.tiktok.com/lorieldabarbher,https://www.tiktok.com/lorieldabarbher/video/6989665694505880837,Party,"Kid Ink, RMR",/track?id=52429592,https://www.tiktok.com/music/Party-feat-RMR-6974861607687964673,17.3M,0,1.5M,3.7K,8,"Jul 28, 2021",,51,USLD91733181
19,New,https://www.tiktok.com/feelgoodfoodie,https://www.tiktok.com/feelgoodfoodie/video/6990085971429690629,Best Hugs,Shelley FKA DRAM,/track?id=20223749,https://www.tiktok.com/music/Best-Hugs-6679967081745615618,6.6M,0,483.1K,1.8K,19,"Jul 29, 2021",,11,USAT21804185
20,New,https://www.tiktok.com/winnerwinnerarcade,https://www.tiktok.com/winnerwinnerarcade/video/6990104018307632389,Mario-like action game,,,https://www.tiktok.com/music/Mario-like-action-game-6904649134913882113,6.4M,0,673.4K,4K,20,"Jul 29, 2021",,7,
21,New,https://www.tiktok.com/artur.edlind,https://www.tiktok.com/artur.edlind/video/6989972038903532802,Tell Me Why I'm Waiting,Timmies,/track?id=17571033,https://www.tiktok.com/music/Tell-Me-Why-I'm-Waiting-Original-Mix-6731825595396655106,6M,0,412.2K,7K,11,"Jul 30, 2021",,47,RUB521205281
22,New,https://www.tiktok.com/tuzelitydance,https://www.tiktok.com/tuzelitydance/video/6989960077994118401,Monster,"LUM!X, Gabry Ponte",/track?id=22858728,https://www.tiktok.com/music/Monster-6764388127734761473,7.5M,0,435.5K,3.2K,22,"Jul 29, 2021",,1,ITV951900009
23,New,https://www.tiktok.com/iconaklast,https://www.tiktok.com/iconaklast/video/6990087600946154757,I'm A Survivor,Reba McEntire,/track?id=16827947,https://www.tiktok.com/music/I'm-A-Survivor-223690887476973568,6.2M,0,1.2M,5.7K,23,"Jul 29, 2021",,1,GBDCC0000653
24,New,https://www.tiktok.com/lulupang_youtube,https://www.tiktok.com/lulupang_youtube/video/6989963804436106498,Lofi Hiphop Chill,,,https://www.tiktok.com/music/Lofi-Hiphop-Chill-6817353657864947713,7.8M,0,1.4M,4.9K,24,"Jul 29, 2021",,18,
25,New,https://www.tiktok.com/yoshi30244781481,https://www.tiktok.com/yoshi30244781481/video/6989908408409394433,Into The Thick Of It!,The Backyardigans,/track?id=17111653,https://www.tiktok.com/music/Into-The-Thick-Of-It-6964101918863969030,11.3M,0,1.7M,7.8K,25,"Jul 29, 2021",,7,USA820500103
26,127,https://www.tiktok.com/indurel,https://www.tiktok.com/indurel/video/6989343180126752005,Pepas,Farruko,/track?id=50554654,https://www.tiktok.com/music/Pepas-6976361338058573826,10M,0,510.2K,23.4K,26,"Jul 29, 2021",,21,USSD12100307
27,-21,https://www.tiktok.com/nekao_official,https://www.tiktok.com/nekao_official/video/6988152676232088834,Take My Hand,Oberg,/track?id=29785478,https://www.tiktok.com/music/Take-My-Hand-6836646587695892482,49M,0,2.3M,2.3K,3,"Jul 26, 2021",,33,SEWLR2008501
28,New,https://www.tiktok.com/graciajessicajane,https://www.tiktok.com/graciajessicajane/video/6989921869256297754,double take,dhruv,/track?id=23725128,https://www.tiktok.com/music/double-take-6976066440176749313,10.8M,0,1.4M,12.6K,28,"Jul 29, 2021",,10,GBMJG1911043
29,New,https://www.tiktok.com/montpantoja,https://www.tiktok.com/montpantoja/video/6990127821175704838,The Magic Bomb,Hoàng Read,/track?id=46912439,https://www.tiktok.com/music/The-Magic-Bomb-Questions-I-Get-Asked-6939813781522369282,4.5M,0,703.2K,2.8K,29,"Jul 29, 2021",,6,NLZ542100934
30,-27,https://www.tiktok.com/adrienraza,https://www.tiktok.com/adrienraza/video/6989702050502233346,The Hustle - Original Mix,"Van McCoy, ソウル・シティ・シンフォニー",/track?id=15054356,https://www.tiktok.com/music/The-Hustle-244641803705147393,22.6M,0,2.8M,21.3K,3,"Jul 28, 2021",,47,USAR49911014
31,-18,https://www.tiktok.com/jasonderulo,https://www.tiktok.com/jasonderulo/video/6989687901197978885,FEEL THE GROOVE,,,https://www.tiktok.com/music/FEEL-THE-GROOVE-6769046027488987137,11.8M,0,368.5K,2K,13,"Jul 28, 2021",,7,
32,New,https://www.tiktok.com/chefkoudy,https://www.tiktok.com/chefkoudy/video/6989957512300645638,Bamboleo x Narcos TikTok Remix,,,https://www.tiktok.com/music/Bamboleo-x-Narcos-TikTok-Remix-6967135977467594753,7.1M,0,853.6K,3.1K,32,"Jul 29, 2021",,5,
33,New,https://www.tiktok.com/lopeztips,https://www.tiktok.com/lopeztips/video/6990117292822596869,Spongebob,Dante9k,/track?id=32023663,https://www.tiktok.com/music/Spongebob-Tomfoolery-Dante9k-Remix-6787142837377959937,4.3M,0,98K,3.6K,33,"Jul 29, 2021",,2,QZFYZ2047242
34,-29,https://www.tiktok.com/hienanh_99_,https://www.tiktok.com/hienanh_99_/video/6989534165444103451,double take,dhruv,/track?id=23725128,https://www.tiktok.com/music/double-take-6976066440176749313,17.4M,0,3.1M,21.7K,5,"Jul 28, 2021",,25,GBMJG1911043
35,-14,https://www.tiktok.com/theocarow,https://www.tiktok.com/theocarow/video/6989634485969079557,The Magic Bomb,Hoàng Read,/track?id=46912439,https://www.tiktok.com/music/The-Magic-Bomb-Questions-I-Get-Asked-6939813781522369282,10.1M,0,944.9K,6.7K,21,"Jul 28, 2021",,2,NLZ542100934
36,New,https://www.tiktok.com/vladk.ruso,https://www.tiktok.com/vladk.ruso/video/6990061947106397446,Russian folk music! Fun Cossack Songs,,,https://www.tiktok.com/music/Russian-folk-music-Fun-Cossack-Songs-6817178064015853569,5.4M,0,851.5K,13.6K,36,"Jul 29, 2021",,9,
37,New,https://www.tiktok.com/gzfoodqood,https://www.tiktok.com/gzfoodqood/video/6989958666443148550,Beggin',Måneskin,/track?id=17856511,https://www.tiktok.com/music/Beggin'-5000000001320781379,6.3M,0,536.2K,1.8K,37,"Jul 29, 2021",,7,ITB001700846
