Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,0,Just a Cloud Away,S2577,Pharrell Williams,/track?id=15610750,https://www.tiktok.com/music/Just-a-Cloud-Away-6795407744489752577,Back Lot Music,"Feb 19, 2020",9,892K,3M,1,"Mar 26, 2022",12,0.00,USQ4E1300685
2,134,RUN IT UP,S1073,Lil Bil,/track?id=79429236,https://www.tiktok.com/music/RUN-IT-UP-7080859397459331073,1974051 Records DK2,"Mar 29, 2022",66,698K,744K,2,"Apr 9, 2022",4,19.14,QZES82273162
3,5,I Like,S3985,Guy,/track?id=15535958,https://www.tiktok.com/music/I-Like-6917464269244073985,Universal Music Division Barclay,"Sep 2, 2019",49,688K,976K,2,"Apr 16, 2022",15,0.71,USMC18825792
4,51,As It Was,S5374,Harry Styles,/track?id=79012900,https://www.tiktok.com/music/As-It-Was-7081406189908675374,Columbia,"Mar 30, 2022",68,619K,724K,4,"Apr 9, 2022",19,7.29,USSM12200612
5,9,I Like,S3985,Guy,/track?id=15535958,https://www.tiktok.com/music/I-Like-6917464269244073985,Universal Music Division Barclay,"Sep 2, 2019",58,561K,799K,5,"Apr 9, 2022",4,1.29,USMC18825792
6,-3,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"Aug 23, 2019",7,551K,4.9M,1,"Feb 26, 2022",15,-0.43,USA3D0700101
7,New,Sunday,,,,https://www.tiktok.com/music/null,,"Mar 29, 2022",85,473K,487K,7,"Apr 9, 2022",1,,QZ8252208894
8,-6,subway trend,,,,https://www.tiktok.com/music/null,,"Mar 27, 2022",48,336K,981K,2,"Apr 2, 2022",6,-0.86,QZES82257152
9,-2,My Name Is,S9778,D Billions,/track?id=32290489,https://www.tiktok.com/music/My-Name-Is-6896221138586699778,MediaCube Music,"Nov 16, 2020",69,323K,716K,7,"Apr 2, 2022",11,-0.29,AEA0D2053268
10,-6,Alright,S6538,Nardo Wick,/track?id=68087949,https://www.tiktok.com/music/Alright-7078923689189706538,Flawless Ent./RCA Records,"Dec 2, 2021",59,312K,788K,4,"Apr 2, 2022",6,-0.86,USRC12103524
11,1,Bestie,S7169,"DaBaby, YoungBoy Never Broke Again",/track?id=75292748,https://www.tiktok.com/music/Bestie-7070866752007047169,South Coast Music Group / Interscope Records / Atlantic Records,"Mar 2, 2022",32,305K,1.4M,10,"Mar 12, 2022",20,0.14,USUM72202750
12,51,We Go Up - Extended,S7478,"Nicki Minaj, Fivio Foreign",/track?id=78225096,https://www.tiktok.com/music/We-Go-Up-7079126725686217478,Republic Records,"Mar 24, 2022",102,257K,355K,12,"Apr 9, 2022",7,7.29,USUM72204897
