Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,0,L$d,S4433,Luclover,/track?id=80001990,https://www.tiktok.com/music/Ld-7085791307943954433,independent,"Apr 11, 2022",6,989K,6M,1,"Jul 23, 2022",39,0.00,QZHN42243265
2,20,My Sharona,,,,https://www.tiktok.com/music/null,,"Jul 30, 2022",34,948K,1.1M,2,"Aug 13, 2022",4,2.86,QZMEP2283574
3,192,Late,,,,https://www.tiktok.com/music/null,,"Jul 31, 2022",44,857K,889K,3,"Aug 13, 2022",4,27.43,QZ8252220866
4,-2,Bad Habit,S0450,Steve Lacy,/track?id=84088250,https://www.tiktok.com/music/Bad-Habit-7152997794909800450,L-M Records/RCA Records,"Jun 26, 2022",18,605K,2.4M,2,"Aug 6, 2022",31,-0.29,USRC12201440
5,136,I Love Kanye,S2279,Kanye West,/track?id=15937693,https://www.tiktok.com/music/I-Love-Kanye-5000000001123232279,Rock The World/IDJ/Kanye LP7,"Sep 2, 2019",29,575K,1.3M,5,"Aug 13, 2022",8,,USUM71603050
6,-2,eyes - vip mix,,skaiwater,/track?id=87245083,https://www.tiktok.com/music/null,Cinematic Music Group,"Jul 24, 2022",26,471K,1.4M,4,"Aug 6, 2022",16,-0.29,QMKSC2200082
7,New,Sad Emotional Piano (main version),,,,https://www.tiktok.com/music/null,,"Feb 8, 2022",99,307K,325K,7,"Aug 13, 2022",2,,
8,30,Solitude (Felsmann + Tiley Reinterpretation),S1842,"M83, Felsmann + Tiley",/track?id=29426269,https://www.tiktok.com/music/Solitude-Felsmann-Tiley-Reinterpretation-Solitude---Felsmann-+-Tiley-Reinterpretation-6819370438116771842,Naive,"May 14, 2020",80,287K,421K,8,"Aug 13, 2022",9,4.29,GB5SH2000001
9,1,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"May 11, 2022",9,284K,3.8M,2,"Jun 11, 2022",46,0.14,USA3D0700101
10,New,Atlantis,S4187,Seafret,/track?id=12492857,https://www.tiktok.com/music/Atlantis-Ultra-Sped-Up-Version-7108554732985404187,Sweet Jane Recordings,"Aug 16, 2019",55,281K,586K,10,"Aug 13, 2022",3,,GBARL1500316
11,-6,Beat Automotivo Tan Tan Tan Viral,S4978,WZ Beat,/track?id=83331455,https://www.tiktok.com/music/Beat-AutomotivoTan-Tan-Tan-7155425673559934978,WZ Beat,"May 25, 2022",15,270K,2.4M,2,"Jul 16, 2022",40,-0.86,BXWEH2200054
12,New,Voices,S7010,"Dizzy Diz, Az-Real",/track?id=88738089,https://www.tiktok.com/music/Voices-6922580226694187010,Prophet Division,"Jan 26, 2021",111,264K,268K,12,"Aug 13, 2022",2,,QZFZ32136790
13,2,Legs Shakin',S8005,"R. Kelly, Ludacris",/track?id=15675932,https://www.tiktok.com/music/Legs-Shakin'-7035546304738528005,RCA Records Label,"Aug 16, 2019",65,263K,532K,13,"Aug 13, 2022",4,0.29,USRC11301893
14,3,AMAZING,,,,https://www.tiktok.com/music/null,,"Feb 7, 2022",77,257K,461K,13,"Aug 20, 2022",9,0.43,USRC12200485
15,1,Legs Shakin',S8005,"R. Kelly, Ludacris",/track?id=15675932,https://www.tiktok.com/music/Legs-Shakin'-7035546304738528005,RCA Records Label,"Aug 16, 2019",68,253K,507K,15,"Aug 13, 2022",4,0.14,USRC11301893
16,70,RETROWORLD,S8145,lilpotion,/track?id=79395701,https://www.tiktok.com/music/RETROWORLD-7072983063352838145,Unlucky Records,"Mar 8, 2022",79,227K,434K,16,"Aug 13, 2022",10,10.00,QZES52212098
17,70,Has To Be,S8593,CapzLock,/track?id=68637235,https://www.tiktok.com/music/Has-To-Be-7041426270009198593,Cruel Society,"Dec 13, 2021",40,227K,972K,3,"Aug 20, 2022",19,10.00,QZRP52193505
18,New,Racks - Explicit Version,,"YC Worldwide, Future",/track?id=15920016,https://www.tiktok.com/music/null,Universal Motown Records Group,"Sep 2, 2019",119,226K,249K,6,"Aug 20, 2022",6,,USUM71104905
