Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,0,Disco Edit - Extended Mix,,,,https://www.tiktok.com/music/null,,"Nov 22, 2022",43,609K,1.2M,1,"Dec 3, 2022",13,0.00,QZTB22288276
2,New,Avenge,,,,https://www.tiktok.com/music/null,,"Dec 4, 2022",88,441K,441K,2,"Dec 10, 2022",3,,DGA072295435
3,New,كي تقرر,,,,https://www.tiktok.com/music/null,,"Dec 2, 2022",90,411K,425K,3,"Dec 10, 2022",3,,NLRD52212286
4,New,Bloody mary,S1074,Hopez99,/track?id=96948970,https://www.tiktok.com/music/Bloody-mary-7172048993097091074,4629680 Records DK,"Nov 30, 2022",95,363K,389K,4,"Dec 10, 2022",11,,QZTB42279342
5,15,Tubarão Te Amo,S8562,"Dj LK da Escócia, Tchakabum, MC Ryan SP, mc jhenny, Mc RF",/track?id=93681306,https://www.tiktok.com/music/Tubarão-Te-Amo-7149226021210818562,Nas Nuvens Catalog,"Sep 29, 2022",74,339K,565K,5,"Dec 10, 2022",10,2.14,BC91N2200001
6,-4,Baby Got Back,S4401,Sir Mix-A-Lot,/track?id=15815307,https://www.tiktok.com/music/Baby-Got-Back-7029297802328934401,American Recordings,"Sep 2, 2019",4,327K,9.3M,1,"Sep 4, 2021",44,-0.57,USSM19100221
7,4,Bloody Mary,S3857,Lady Gaga,/track?id=15920218,https://www.tiktok.com/music/Bloody-Mary-6936362922234873857,Universal Music LLC,"Jun 17, 2021",77,319K,559K,7,"Dec 10, 2022",19,0.57,USUM71106449
8,-5,6000 Degrees (AH HA),S6187,$hyfromdatre,/track?id=94305158,https://www.tiktok.com/music/6000-degrees-x-Shyfromdatre-7143416796954086187,$hyfromdatre,"Oct 18, 2022",16,270K,3.2M,1,"Nov 12, 2022",16,-0.71,QZNMX2254862
9,-1,L$d,S4433,Luclover,/track?id=80001990,https://www.tiktok.com/music/Ld-7085791307943954433,independent,"Apr 11, 2022",1,268K,14M,1,"Jul 23, 2022",39,-0.14,QZHN42243265
10,New,Mr. Wrong,S7280,"Mary J. Blige, Drake",/track?id=15921744,https://www.tiktok.com/music/Mr-Wrong-feat-Drake-252879394409697280,GEFFEN,"Sep 12, 2019",114,256K,264K,10,"Dec 10, 2022",4,,USUM71116429
11,-4,Rich Flex,S0610,"Drake, 21 Savage",/track?id=95124968,https://www.tiktok.com/music/Rich-Flex-7162017080122820610,OVO / Republic Records,"Nov 3, 2022",32,225K,1.4M,7,"Dec 3, 2022",12,-0.57,USUG12208598
12,-7,Beat it,S1722,"Brock, 2rare, Bril, JMoney",/track?id=91000883,https://www.tiktok.com/music/Beat-it-7144098326881831722,1xentertainment,"Aug 27, 2022",39,205K,1.3M,5,"Dec 3, 2022",10,-1.00,QZNWT2253480
13,-9,Beat it,S1722,"Brock, 2rare, Bril, JMoney",/track?id=91000883,https://www.tiktok.com/music/Beat-it-7144098326881831722,1xentertainment,"Aug 28, 2022",42,203K,1.2M,4,"Dec 3, 2022",9,-1.29,QZNWT2253480
14,-5,Rich Flex,,"Drake, 21 Savage",/track?id=95127815,https://www.tiktok.com/music/null,OVO/Republic,"Nov 3, 2022",51,197K,1M,9,"Dec 3, 2022",12,-0.71,USUG12208614
15,-5,All I Want for Christmas Is You,S3553,Mariah Carey,/track?id=15816657,https://www.tiktok.com/music/All-I-Want-For-Christmas-Is-You-6741350408557463553,Columbia,"Aug 17, 2019",7,187K,7.1M,2,"Dec 25, 2021",19,-0.71,USSM19400325
16,-10,Here With Me,S3233,d4vd,/track?id=85215303,https://www.tiktok.com/music/Here-With-Me-7138509752509663233,3519830 Records DK,"Sep 22, 2022",29,182K,1.5M,4,"Nov 26, 2022",25,-1.43,QZMEM2209263
17,14,Boy's a liar,,,,https://www.tiktok.com/music/null,,"Nov 23, 2022",103,179K,334K,17,"Dec 10, 2022",12,2.00,GBAYE2202585
18,-3,More M’s,S9090,"Drake, 21 Savage",/track?id=95124773,https://www.tiktok.com/music/More-M’s-7162017081238489090,OVO / Republic Records,"Nov 3, 2022",69,169K,598K,15,"Dec 3, 2022",8,-0.43,USUG12208611
19,-3,More M’s,,"Drake, 21 Savage",/track?id=95136258,https://www.tiktok.com/music/null,OVO/Republic,"Nov 3, 2022",70,169K,595K,16,"Dec 3, 2022",8,-0.43,USUG12208627
20,-7,Bad Habit,S0450,Steve Lacy,/track?id=84088250,https://www.tiktok.com/music/Bad-Habit-7152997794909800450,L-M Records/RCA Records,"Jun 26, 2022",6,167K,7.5M,2,"Aug 6, 2022",31,-1.00,USRC12201440
21,-3,Shabooya,S6222,"Hitkidd, Gloss Up, K Carbon, Slimeroni, Aleza",/track?id=93155275,https://www.tiktok.com/music/shabooya-7149732836692626222,Blac Noize!,"Sep 22, 2022",47,166K,1.1M,18,"Nov 12, 2022",13,-0.43,QZRD92202065
22,-10,TON1GHT - Jersey Club,S7483,KilSoSouth,/track?id=95714161,https://www.tiktok.com/music/TON1GHT-jersey-club-7163102205384477483,Independent Artist,"Nov 10, 2022",48,156K,1M,8,"Nov 19, 2022",8,-1.43,QZTAY2236253
23,-9,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"May 11, 2022",8,148K,6.5M,2,"Jun 11, 2022",46,-1.29,USA3D0700101
24,New,Una mujercita,S0834,Elfiscaloficial,/track?id=97610449,https://www.tiktok.com/music/Una-mujercita-7172687371681400834,3665661 Records DK,"Dec 1, 2022",141,148K,148K,17,"Dec 17, 2022",5,,QZTB52219693
25,30,On BS,S4241,"Drake, 21 Savage",/track?id=95124948,https://www.tiktok.com/music/On-BS-7162017077832714241,OVO / Republic Records,"Nov 3, 2022",100,139K,350K,25,"Dec 10, 2022",6,4.29,USUG12208600
26,New,Futsal Shuffle 2020,S8161,Lil Uzi Vert,/track?id=27662235,https://www.tiktok.com/music/Futsal-Shuffle-2020-6784493804020828161,Generation Now/Atlantic,"Dec 12, 2019",102,138K,347K,14,"Dec 17, 2022",6,,USAT21907135
27,-3,Just Dance,S0401,"Lady Gaga, Colby O'Donis",/track?id=15908989,https://www.tiktok.com/music/Just-Dance-6917743207947110401,Interscope,"Sep 2, 2019",20,137K,2.2M,13,"Nov 19, 2022",25,-0.43,USUM70807646
28,8,Tokei no Uta,S8481,ののちゃん(村方乃々佳),/track?id=69398679,https://www.tiktok.com/music/Tokei-no-Uta-7040608212294388481,KINGRECORDS,"Dec 15, 2021",87,136K,442K,28,"Dec 10, 2022",7,1.14,JPKI02118106
29,New,Futsal Shuffle 2020 (Bonus Track),S5218,Lil Uzi Vert,/track?id=28685104,https://www.tiktok.com/music/Futsal-Shuffle-2020-Bonus-Track-6801205370623625218,Generation Now/Atlantic,"Mar 5, 2020",139,136K,157K,15,"Dec 17, 2022",6,,USAT22001370
30,-5,BILLIE EILISH.,S3345,Armani White,/track?id=82976157,https://www.tiktok.com/music/Billie-Eilish-7096439256658233345,"Legendbound, LLC / Def Jam Recordings","May 10, 2022",12,136K,3.7M,8,"Oct 22, 2022",37,-0.71,SGB502248062
31,-10,Flaming Youth,,,,https://www.tiktok.com/music/null,,"Nov 18, 2022",68,134K,599K,19,"Nov 26, 2022",4,-1.43,QZTB22229195
32,-3,Tap Tap (Lil Uzi Vert),S4875,sped up nightcore,/track?id=96098201,https://www.tiktok.com/music/Tap-Tap-Lil-Uzi-Vert-7155202727323224875,P2022,"Nov 20, 2022",92,130K,422K,29,"Dec 3, 2022",7,-0.43,USAT22221438
33,-5,Stay,,,,https://www.tiktok.com/music/null,,"Nov 7, 2022",60,129K,833K,14,"Nov 19, 2022",6,-0.71,ARQIW2208156
34,34,Un Poco Loco,S4169,"Anthony Gonzalez, Gael Garcia Bernal",/track?id=17322777,https://www.tiktok.com/music/Un-Poco-Loco-5000000001457884169,Walt Disney Records,"Sep 5, 2019",101,127K,349K,34,"Dec 10, 2022",3,4.86,USWD11783639
35,-16,known,,,,https://www.tiktok.com/music/null,,"Nov 16, 2022",66,127K,684K,11,"Nov 26, 2022",17,-2.29,DGA062294578
