Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/theroligore,https://www.tiktok.com/theroligore/video/6971903448895753478," i'm Peppa Pig",,,https://www.tiktok.com/music/i'm-Peppa-Pig-6693420946432199426,17.9M,0,881.9K,8.5K,1,"Jun 10, 2021",,103,
2,New,https://www.tiktok.com/akunstory_,https://www.tiktok.com/akunstory_/video/6971743344850439426,Dj Jang Ganggu Viral Tiktok,DJ Mbon Mbon,/track?id=46397486,https://www.tiktok.com/music/Dj-Jang-Ganggu-Viral-Tiktok-6967723360713361410,15.6M,0,2M,13K,2,"Jun 10, 2021",,30,QZN882130672
3,New,https://www.tiktok.com/tpeck,https://www.tiktok.com/tpeck/video/6971854152565574917,Lo-fi hip hop,,,https://www.tiktok.com/music/Lo-fi-hip-hop-6817306305766639617,12.6M,0,833.9K,1K,3,"Jun 10, 2021",,7,
4,-3,https://www.tiktok.com/ayesebastien,https://www.tiktok.com/ayesebastien/video/6971577167163428102,happier,Olivia Rodrigo,/track?id=43465703,https://www.tiktok.com/music/happier-6964415219083053058,36.9M,0,6.4M,44.7K,1,"Jun 9, 2021",,77,USUG12101247
5,New,https://www.tiktok.com/jesse.callahan,https://www.tiktok.com/jesse.callahan/video/6971863355933920518,Spongebob,Dante9k,/track?id=32023663,https://www.tiktok.com/music/Spongebob-Tomfoolery-Dante9k-Remix-6787142837377959937,13.3M,0,1.2M,12.3K,5,"Jun 10, 2021",,14,QZFYZ2047242
6,New,https://www.tiktok.com/siscakohl,https://www.tiktok.com/siscakohl/video/6971798968263118081,Classical Music,Classical Music,/track?id=20877140,https://www.tiktok.com/music/Classical-Music-6752513449697216514,15.4M,0,2.1M,126.9K,6,"Jun 10, 2021",,10,TCAAU1178628
7,New,https://www.tiktok.com/stefiiiii.b,https://www.tiktok.com/stefiiiii.b/video/6971742749687172358,Everytime We Touch - Radio Edit,Cascada,/track?id=11306286,https://www.tiktok.com/music/Everytime-We-Touch-Sound-Rush-Remix-6799999065321900033,7.3M,0,440.2K,4.5K,7,"Jun 10, 2021",,44,DEAC10500019
8,540,https://www.tiktok.com/fernandosplanes,https://www.tiktok.com/fernandosplanes/video/6967009439459134721,Night Invasion (Cover DMC Maxx Flash),,,https://www.tiktok.com/music/Night-Invasion-Cover-DMC-Maxx-Flash-6742732669961915143,29.8M,0,1.3M,7.1K,8,"Jun 10, 2021",155.29,83,
9,New,https://www.tiktok.com/loumayyy,https://www.tiktok.com/loumayyy/video/6971835227496811782,I WANNA BE YOUR SLAVE,Måneskin,/track?id=33644356,https://www.tiktok.com/music/I-WANNA-BE-YOUR-SLAVE-6935505953866156033,8M,0,2M,11.5K,9,"Jun 10, 2021",,58,ITB002100115
10,New,https://www.tiktok.com/passioknit_goods,https://www.tiktok.com/passioknit_goods/video/6971904087537257733,Into The Thick Of It!,The Backyardigans,/track?id=17111653,https://www.tiktok.com/music/Into-The-Thick-Of-It-6964101918863969030,6.4M,0,1.1M,3.2K,10,"Jun 10, 2021",,61,USA820500103
