Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,1,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"Aug 23, 2019",3,519K,6.6M,1,"Feb 26, 2022",15,0.14,USA3D0700101
2,3,what if i took it off for you?,,,,https://www.tiktok.com/music/null,,"Jun 6, 2021",53,500K,1.1M,2,"Apr 30, 2022",4,0.43,GBAKX2100054
3,-2,Love in This Club (feat. Young Jeezy),S9322,"Usher, Jeezy",/track?id=15484175,https://www.tiktok.com/music/Love-in-This-Club-feat-Jeezy-Young-Jeezy-59322,EMI TV,"Aug 16, 2019",36,478K,1.7M,1,"Apr 23, 2022",14,-0.29,USLF20800001
4,New,Shes Buff,,"Beatdemons, Ssj9k",/track?id=80559385,https://www.tiktok.com/music/null,Beatdemons LLC & Beatstars Publishing by SonyPub,"Apr 23, 2022",96,449K,449K,2,"May 7, 2022",13,,QZHN62253854
5,New,Going Slow,,,,https://www.tiktok.com/music/null,,"Apr 24, 2022",104,379K,379K,5,"Apr 30, 2022",2,,QZ8252211791
6,2,Sunroof,S6594,"Nicky Youre, dazy",/track?id=67502648,https://www.tiktok.com/music/Sunroof-7030869625311086594,Thirty Knots,"Nov 14, 2021",21,368K,2.3M,3,"May 14, 2022",63,0.29,QM24S2107064
7,-3,I Like,S3985,Guy,/track?id=15535958,https://www.tiktok.com/music/I-Like-6917464269244073985,Universal Music Division Barclay,"Sep 2, 2019",17,348K,2.5M,2,"Apr 16, 2022",15,-0.43,USMC18825792
8,10,Roll It All Dump,,,,https://www.tiktok.com/music/null,,"Apr 14, 2022",94,318K,496K,8,"Apr 30, 2022",6,1.43,QZ8252210707
9,New,Yoko Tsuno,,,,https://www.tiktok.com/music/null,,"Apr 24, 2022",117,297K,297K,8,"May 7, 2022",2,,SGB502216389
10,-1,As It Was,S5374,Harry Styles,/track?id=79012900,https://www.tiktok.com/music/As-It-Was-7081406189908675374,Columbia,"Mar 30, 2022",30,239K,1.8M,4,"Apr 9, 2022",19,-0.14,USSM12200612
11,0,Bestie,S7169,"DaBaby, YoungBoy Never Broke Again",/track?id=75292748,https://www.tiktok.com/music/Bestie-7070866752007047169,South Coast Music Group / Interscope Records / Atlantic Records,"Mar 2, 2022",23,223K,2.2M,10,"Mar 12, 2022",20,0.00,USUM72202750
12,0,First Class,S0642,Jack Harlow,/track?id=79456616,https://www.tiktok.com/music/First-Class-7084006982138480642,Generation Now/Atlantic,"Apr 6, 2022",60,222K,1M,11,"Apr 16, 2022",16,0.00,USAT22203024
13,21,Boogie Woogie Wu,S4022,Insane Clown Posse,/track?id=15420357,https://www.tiktok.com/music/Boogie-Woogie-Wu-5000000001365084022,Island Records,"Sep 2, 2019",112,206K,317K,13,"Apr 30, 2022",3,3.00,USIR29700347
14,28,Boogie Woogie Wu,S4022,Insane Clown Posse,/track?id=15420357,https://www.tiktok.com/music/Boogie-Woogie-Wu-5000000001365084022,Island Records,"Sep 5, 2019",114,204K,310K,14,"Apr 30, 2022",5,4.00,USIR29700347
15,1,Vegas (I Wanna Ride),S8305,Joseline Hernandez,/track?id=69596777,https://www.tiktok.com/music/Vegas-I-Wanna-Ride-7042544889816418305,GS Entertainment Inc,"Dec 16, 2021",99,203K,433K,15,"Apr 30, 2022",11,0.14,QMVHD2100009
16,New,Lita Maso Ruwina Banchi,,,,https://www.tiktok.com/music/null,,"Apr 18, 2022",147,200K,205K,16,"Apr 30, 2022",6,,QZ8252211119
17,-7,Gito Nachi Ei Paro,,,,https://www.tiktok.com/music/null,,"Apr 17, 2022",98,198K,440K,10,"Apr 23, 2022",7,-1.00,QZ8252210994
18,26,Boogie Woogie Wu,S4022,Insane Clown Posse,/track?id=15420357,https://www.tiktok.com/music/Boogie-Woogie-Wu-5000000001365084022,Island Records,"Sep 2, 2019",119,191K,291K,18,"Apr 30, 2022",3,3.71,USIR29700347
19,-6,No Role Modelz,S4465,J. Cole,/track?id=15619977,https://www.tiktok.com/music/No-Role-Modelz-Live-6716146885817534465,Roc Nation Records LLC,"Dec 13, 2021",95,185K,460K,13,"Apr 23, 2022",3,-0.86,USQX91402598
20,New,swamp skonster x fortnite moves,S6018,tolarjev,/track?id=80153547,https://www.tiktok.com/music/swamp-skonster-x-fortnite-moves-7089109274899286018,3632859 Records DK,"Apr 20, 2022",151,177K,181K,20,"Apr 30, 2022",3,,QZHN62210256
21,New,Arabian,,Enderboybeats,/track?id=81430105,https://www.tiktok.com/music/null,7Fox Ent.,"Apr 22, 2022",154,175K,175K,21,"Apr 30, 2022",2,,QZHN62239937
22,New,Enemy - from the series Arcane League of Legends,S1954,"Imagine Dragons, JID, Arcane, League of Legends",/track?id=65244227,https://www.tiktok.com/music/Enemy-from-the-series-Arcane-League-of-Legends-7023061500537341954,KIDinaKORNER/Interscope Records,"Oct 22, 2021",82,174K,634K,21,"May 7, 2022",15,,USUM72119916
