Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,34,Ginseng Strip 2002,S4054,Yung Lean,/track?id=14145576,https://www.tiktok.com/music/Ginseng-Strip-2002-6997999797663714054,YEAR0001,"Aug 30, 2019",34,1.2M,1.6M,1,"Jan 29, 2022",26,4.86,SEY491300006
2,126,THATS WHAT I WANT,S6005,Lil Nas X,/track?id=60290154,https://www.tiktok.com/music/original-sound-7012418685637856005,Columbia,"Sep 16, 2021",60,589K,912K,2,"Jan 29, 2022",16,18.00,USSM12105732
3,9,Captain,S5653,Nutcase22,/track?id=66437850,https://www.tiktok.com/music/Captain-whistle-7046760557633915653,GRM Daily Records,"Nov 8, 2021",74,373K,685K,3,"Jan 29, 2022",7,1.29,GBAYE2101559
4,-3,Big Spender (feat. Troof),S5345,"C tha Future, Troof",/track?id=14280122,https://www.tiktok.com/music/Big-Spender-feat-Troof-6751229944891705345,C tha Future,"Oct 23, 2019",14,347K,2.4M,1,"Jan 8, 2022",5,-0.43,TCABS1303835
5,8,No Idea,S2901,Don Toliver,/track?id=23658940,https://www.tiktok.com/music/No-Idea-6764115859423152901,Cactus Jack / Atlantic,"Aug 21, 2019",3,346K,7.7M,5,"Jan 29, 2022",11,1.14,USAT21903300
6,12,Big Spender,S7842,Peggy Lee,/track?id=15173545,https://www.tiktok.com/music/Big-Spender-6898787810690467842,Capitol Records,"Sep 2, 2019",86,330K,557K,6,"Jan 29, 2022",10,1.71,USCA28900608
7,-5,Spender 2020 Freestyle,,"Tana2Raw, Omardafat",/track?id=69287515,https://www.tiktok.com/music/null,1407941 Records DK,"May 24, 2020",15,328K,2.3M,2,"Jan 22, 2022",6,-0.71,QZHN42012253
8,-5,Intro,,"Guapo Laced, Killa Cam",/track?id=69287530,https://www.tiktok.com/music/null,Out The Gate Records,"Oct 17, 2019",16,327K,2.3M,2,"Jan 8, 2022",13,-0.71,QZHN81919647
9,New,Howl's Moving Castle - Merry Go Round of Life,S5602,Vitamin String Quartet,/track?id=15306218,https://www.tiktok.com/music/Howl's-Moving-Castle-Merry-Go-Round-of-Life-6702010411413145602,Vitamin Records,"Aug 20, 2019",103,317K,425K,9,"Jan 29, 2022",4,,USEWC1690002
10,-4,oui,S4929,Jeremih,/track?id=15935671,https://www.tiktok.com/music/Oui-242507479799164929,Universal Music Group,"Nov 28, 2019",33,315K,1.6M,6,"Jan 22, 2022",23,-0.57,USUM71513397
