Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,0,Ginseng Strip 2002,S4054,Yung Lean,/track?id=14145576,https://www.tiktok.com/music/Ginseng-Strip-2002-6997999797663714054,YEAR0001,"Aug 30, 2019",10,885K,3.7M,1,"Jan 29, 2022",26,0.00,SEY491300006
2,New,Cornfield Chase - Piano,,,,https://www.tiktok.com/music/null,,"Feb 4, 2022",77,681K,685K,2,"Feb 12, 2022",5,,VNNVK2200022
3,2,Cancun Sega - luxuriøus Remix,S0098,"ScrewStache, luxuriøus",/track?id=64282400,https://www.tiktok.com/music/Cancun-Sega-luxuriøus-Remix-7019247552637700098,司钻,"Oct 14, 2021",54,554K,1.1M,3,"Feb 12, 2022",4,0.29,QZS632122919
4,81,Major Bag Alert (feat. Migos),,"DJ Khaled, Migos",/track?id=17631254,https://www.tiktok.com/music/null,Epic/We The Best,"Aug 17, 2019",95,411K,479K,4,"Feb 12, 2022",6,11.57,USSM11705116
5,27,Toxic Pony,S1717,"ALTÉGO, Britney Spears, Ginuwine",/track?id=69579423,https://www.tiktok.com/music/Toxic-x-Pony-7046487747955411717,Not specified,"Jan 20, 2022",85,373K,608K,5,"Feb 12, 2022",8,3.86,USRC12200203
6,179,Si Te Sabes El TikTok Baila (Enero 2022),S3873,DJ RKT,/track?id=73330734,https://www.tiktok.com/music/Si-te-sabes-el-TikTok-baila-7155425960026703873,S.J. ENTERTAINMENT,"Feb 1, 2022",106,372K,407K,6,"Feb 12, 2022",3,25.57,QZFZ62230070
7,-5,We Don't Talk About Bruno,S2322,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",/track?id=66986384,https://www.tiktok.com/music/We-Don't-Talk-About-Bruno-7032019094467512322,Walt Disney Records,"Nov 11, 2021",29,353K,1.8M,2,"Feb 5, 2022",18,-0.71,USWD12112915
8,22,From Tha Back,S9106,"lil.eaarl, Huncho Da Rockstar",/track?id=54250665,https://www.tiktok.com/music/From-Tha-Back-7076226083082799106,F.W.M.B,"Jul 21, 2021",9,343K,4M,3,"Feb 19, 2022",31,3.14,QZK6L2175793
9,-2,Notion,S4001,The Rare Occasions,/track?id=16270659,https://www.tiktok.com/music/Notion-7036703990248704001,The Rare Occasions,"Nov 30, 2021",69,326K,785K,7,"Feb 5, 2022",9,-0.29,USHM21617726
10,New,Major Bag Alert (feat. Migos),S4544,"DJ Khaled, Migos",/track?id=15799607,https://www.tiktok.com/music/Major-Bag-Alert-feat-Migos-244299071803244544,Epic/We The Best,"Aug 16, 2019",125,296K,298K,10,"Feb 12, 2022",3,,USSM11705097
