Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/a_k_da_don,https://www.tiktok.com/a_k_da_don/video/6940728097100582149,Surrender,Natalie Taylor,/track?id=14341447,https://www.tiktok.com/music/Surrender-6777935271007619074,30.5M,0,5M,131.5K,1,"Mar 18, 2021",,14,TCACJ1544888
2,New,https://www.tiktok.com/billieeilish,https://www.tiktok.com/billieeilish/video/6940746579846499589,Lo Vas A Olvidar (with ROSALÍA),"Billie Eilish, ROSALÍA",/track?id=32610113,https://www.tiktok.com/music/Lo-Vas-A-Olvidar-6920274910954670081,24.6M,0,7.1M,183.2K,2,"Mar 18, 2021",,113,USUM72100008
3,38,https://www.tiktok.com/isocup.ion,https://www.tiktok.com/isocup.ion/video/6938754092772707585,Cairan Loe Balik Kembali,,,https://www.tiktok.com/music/Cairan-Loe-Balik-Kembali-6933127646796580866,21.2M,0,71.3K,433,3,"Mar 18, 2021",,2,
4,381,https://www.tiktok.com/tala.seb3,https://www.tiktok.com/tala.seb3/video/6940614498701102338,Surprise Mom,,,https://www.tiktok.com/music/Surprise-Mom-6934241614831290369,19.3M,0,57.2K,1.4K,4,"Mar 18, 2021",,6,
5,New,https://www.tiktok.com/peterkalife,https://www.tiktok.com/peterkalife/video/6940777236299566342,Gravity Falls,L.Dre,/track?id=28020517,https://www.tiktok.com/music/Gravity-Falls-6772271464675559425,8.9M,0,681.3K,4.5K,5,"Mar 18, 2021",,57,QZK6N1901274
6,New,https://www.tiktok.com/latraces,https://www.tiktok.com/latraces/video/6940589030941691142,Me Wa Mata Wii Original,,,https://www.tiktok.com/music/Me-Wa-Mata-Wii-Original-6917255834732873729,10.5M,0,700.6K,477,6,"Mar 18, 2021",,32,
7,New,https://www.tiktok.com/rampage_thedancer,https://www.tiktok.com/rampage_thedancer/video/6940453159072435461,Bad,Michael Jackson,/track?id=15813757,https://www.tiktok.com/music/Bad-2012-Remaster-6927720794093128454,17.6M,0,2.7M,7.6K,7,"Mar 18, 2021",,85,USSM18700002
8,New,https://www.tiktok.com/_sg_soccer,https://www.tiktok.com/_sg_soccer/video/6940570020862807302,Laxed – Siren Beat,Jawsh 685,/track?id=29203381,https://www.tiktok.com/music/Laxed-6822029875927353345,14.9M,0,639.5K,3.6K,8,"Mar 18, 2021",,43,NZAM02001128
9,8,https://www.tiktok.com/camifrobabe,https://www.tiktok.com/camifrobabe/video/6939878181058940165,Pieces,Danilo Stankovic,/track?id=31615283,https://www.tiktok.com/music/Pieces-Solo-Piano-Version-6777274113254754306,40.8M,0,9.6M,149.6K,7,"Mar 16, 2021",,79,QZAKB2006575
10,1,https://www.tiktok.com/caffeinication,https://www.tiktok.com/caffeinication/video/6940339533191957765,Gymnopédie,Relaxing Piano Music Consort,/track?id=14162537,https://www.tiktok.com/music/Gymnopedie-No-1-6709395969600915457,16.4M,0,3M,19.5K,10,"Mar 18, 2021",,61,SEYOK1407957
11,New,https://www.tiktok.com/its.just.leah,https://www.tiktok.com/its.just.leah/video/6940835502119472390,Day 'N' Nite - Radio Edit,"Kid Cudi, Crookers",/track?id=12635346,https://www.tiktok.com/music/DayNNite-nightmare-6834975092238190594,6.3M,0,828.9K,4.2K,11,"Mar 18, 2021",,23,GBCEN0801462
12,-4,https://www.tiktok.com/simba.qs,https://www.tiktok.com/simba.qs/video/6940310701672107269,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,18.6M,0,1.5M,9.6K,8,"Mar 17, 2021",,7,TCAFB2092742
13,New,https://www.tiktok.com/sharpindonesia,https://www.tiktok.com/sharpindonesia/video/6940295569680125186,PLASMACLUSTER HANYA DARI SHARP,,,https://www.tiktok.com/music/PLASMACLUSTER-HANYA-DARI-SHARP-6936119750902253570,14.1M,0,200.6K,247,13,"Mar 18, 2021",,11,
14,New,https://www.tiktok.com/tillyramsay,https://www.tiktok.com/tillyramsay/video/6940704505692491013,Oh No,Kreepa,/track?id=29425832,https://www.tiktok.com/music/Oh-No-6586947002464996102,15.1M,0,2.8M,44.2K,7,"Mar 19, 2021",,108,USUYG1287925
15,-3,https://www.tiktok.com/livewithantonio23,https://www.tiktok.com/livewithantonio23/video/6940321173133708549,Tokyo Drift,Xavier Wulf,/track?id=26754486,https://www.tiktok.com/music/Tokyo-Drift-6778275819362977794,15M,0,2.7M,28K,12,"Mar 17, 2021",,35,TCAEM1904032
16,9,https://www.tiktok.com/aywa_gs44,https://www.tiktok.com/aywa_gs44/video/6934074015724162309,Paparazzi,Kim Dracula,/track?id=32313666,https://www.tiktok.com/music/Paparazzi-6906539573732476929,101.1M,0,12.9M,99.6K,1,"Mar 1, 2021",56.14,78,QZNWY2036332
17,New,https://www.tiktok.com/yx054,https://www.tiktok.com/yx054/video/6940609559551593733,Hello,OMFG,/track?id=14312132,https://www.tiktok.com/music/Hello-6661867221164821250,11.9M,0,435.5K,1.6K,17,"Mar 18, 2021",,4,TCACC1430912
18,New,https://www.tiktok.com/theadventuresofdj,https://www.tiktok.com/theadventuresofdj/video/6940639041050135814,Roar (Eye of the Tiger),Never Go Jane,/track?id=58384587,https://www.tiktok.com/music/Roar-Eye-of-the-Tiger-6741450532096837633,7.2M,0,2.3M,31.5K,18,"Mar 18, 2021",,33,UST8K1677972
19,-14,https://www.tiktok.com/lkbphotography_,https://www.tiktok.com/lkbphotography_/video/6940403259941080325,Drive Forever - Remix,"Sergio Valentino, xakavir",/track?id=32204028,https://www.tiktok.com/music/Drive-Forever-Remix-6896143888814213122,19.7M,0,3.7M,28.8K,5,"Mar 17, 2021",,32,SE6SA2085128
20,0,https://www.tiktok.com/mtplanters,https://www.tiktok.com/mtplanters/video/6940055250455760133,Dancing Cheek To Cheek,Fred Astaire,/track?id=15293389,https://www.tiktok.com/music/Dancing-Cheek-To-Cheek-6872435911812990977,21.1M,0,3.7M,13.9K,9,"Mar 16, 2021",,41,USESK0606585
21,New,https://www.tiktok.com/blueismyfavoriteflavor_,https://www.tiktok.com/blueismyfavoriteflavor_/video/6940311706321177862,Track Star,Mooski,/track?id=31190326,https://www.tiktok.com/music/Track-Star-6837654631623968769,20.7M,0,3.5M,169.6K,21,"Mar 18, 2021",,52,QZHN62072414
22,216,https://www.tiktok.com/q_athletics.1,https://www.tiktok.com/q_athletics.1/video/6939564502115568901,Just Water,"Bryansanon, TisaKorean",/track?id=32695234,https://www.tiktok.com/music/Just-Water-6920514319625799681,22.6M,0,955.2K,7.1K,22,"Mar 18, 2021",,9,QM24S2100539
23,New,https://www.tiktok.com/faaresq,https://www.tiktok.com/faaresq/video/6940779985053453574,Quirky,Oleg Kirilkov,/track?id=32104518,https://www.tiktok.com/music/Quirky-6770511259797293058,4.6M,0,684.7K,3.9K,23,"Mar 18, 2021",,10,QZK6P1943787
24,New,https://www.tiktok.com/jasminechiswell,https://www.tiktok.com/jasminechiswell/video/6940768819803589893,Haus of Holbein,SIX,/track?id=20565855,https://www.tiktok.com/music/Haus-of-Holbein-Sing-A-Long-6703248683669981958,4.7M,0,788.8K,4.9K,24,"Mar 18, 2021",,5,GBKPL1821967
25,New,https://www.tiktok.com/aleenforma,https://www.tiktok.com/aleenforma/video/6940674645800619269,Maniac,Michael Sembello,/track?id=15605536,https://www.tiktok.com/music/Maniac-Flashdance-Version-Re-Recorded-Remastered-6724967958709323777,5.6M,0,265.9K,1.3K,25,"Mar 18, 2021",,5,USPR38302462
26,New,https://www.tiktok.com/bo.d0t,https://www.tiktok.com/bo.d0t/video/6940696058594888965,Mr Sandman,The Chordettes,/track?id=12578758,https://www.tiktok.com/music/Mr-Sandman-6717461240567826433,6.1M,0,111.2K,621,26,"Mar 18, 2021",,6,GBBLY0602701
27,New,https://www.tiktok.com/tsuriki.family,https://www.tiktok.com/tsuriki.family/video/6940613142783200518,Renai Circulation (English Cover) [TV Size],"Lizz Robinett, L-Train, Y. Chang",/track?id=31024231,https://www.tiktok.com/music/Renai-Circulation-English-Cover-6922356027585268486,6.8M,0,201.6K,172,27,"Mar 18, 2021",,2,QZGWX2002684
28,65,https://www.tiktok.com/super_tarasovs,https://www.tiktok.com/super_tarasovs/video/6930271512536567045,Wanderer,Mogli,/track?id=11822073,https://www.tiktok.com/music/Wanderer-6888503729901815810,17.3M,0,514.3K,620,28,"Mar 18, 2021",538.14,77,DEZ651705566
29,-10,https://www.tiktok.com/disgustingsatisfaction,https://www.tiktok.com/disgustingsatisfaction/video/6921831067431308545,Asking Twice,Blvkshp,/track?id=73649646,https://www.tiktok.com/music/Asking-Twice-6776148831877728257,69.4M,0,3.4M,26.8K,1,"Mar 7, 2021",26.14,31,QZAKB2158453
30,New,https://www.tiktok.com/destineewrayy,https://www.tiktok.com/destineewrayy/video/6940741707952557317,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,4.3M,0,378.6K,4.3K,30,"Mar 18, 2021",,6,TCAFB2092742
31,New,https://www.tiktok.com/nysfddrillteams,https://www.tiktok.com/nysfddrillteams/video/6940433362599382278,All The Way Up,"Fat Joe, Remy Ma, French Montana, InfaRed",/track?id=15964314,https://www.tiktok.com/music/All-The-Way-Up-feat-Infared-6756162597461952514,8.5M,0,338.5K,321,28,"Mar 25, 2021",,16,USUYG1095627
32,-28,https://www.tiktok.com/juliagisella,https://www.tiktok.com/juliagisella/video/6940343158328790278,Hold On,Justin Bieber,/track?id=33211631,https://www.tiktok.com/music/Hold-On-6935991733708654593,22.6M,0,3.2M,43.8K,4,"Mar 17, 2021",,40,USUM72102322
