Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/thenickluciano,https://www.tiktok.com/thenickluciano/video/6932635718615338246,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,43.6M,0,10.5M,80.6K,1,"Feb 25, 2021",,209,TCAFB2092742
2,New,https://www.tiktok.com/falcopunch,https://www.tiktok.com/falcopunch/video/6932088985439325445,Tribes of Europa,,,https://www.tiktok.com/music/Tribes-of-Europa-Tribes-of-Europa-6927174294732539905,19.4M,0,99K,733,2,"Feb 25, 2021",,2,
3,24,https://www.tiktok.com/dr.jerry2,https://www.tiktok.com/dr.jerry2/video/6932533869434506501,SugarCrash!,ElyOtto,/track?id=31221266,https://www.tiktok.com/music/SugarCrash-6920125567752734722,20.8M,0,2.7M,119.2K,3,"Feb 25, 2021",,8,TCAFB2092742
4,New,https://www.tiktok.com/vedeflorin,https://www.tiktok.com/vedeflorin/video/6932901679239122181,Vacation,Dirty Heads,/track?id=15241811,https://www.tiktok.com/music/Vacation-246423207128506368,17.1M,0,2.2M,60.8K,4,"Feb 25, 2021",,29,USDPK1700118
5,New,https://www.tiktok.com/scottsreality,https://www.tiktok.com/scottsreality/video/6932837333326712070,Remember The Name (feat. Styles Of Beyond),"Fort Minor, Styles Of Beyond",/track?id=16018511,https://www.tiktok.com/music/Remember-the-Name-feat-Styles-of-Beyond-6439562511493630721,25.5M,0,2.5M,48.1K,5,"Feb 25, 2021",,31,USWB10502457
6,New,https://www.tiktok.com/isamuel.gomez,https://www.tiktok.com/isamuel.gomez/video/6932988083939953926,Five Nights at Freddy's 2 (Instrumental) - Remastered,MiatriSs,/track?id=21961026,https://www.tiktok.com/music/Five-Nights-at-Freddy's-4-Instrumental-6709405342607869954,13.1M,0,849.6K,4.6K,6,"Feb 25, 2021",,36,TCACM1653974
7,New,https://www.tiktok.com/tokopedia,https://www.tiktok.com/tokopedia/video/6932339897688771842,Waktu Indonesia Belanja,,,https://www.tiktok.com/music/Waktu-Indonesia-Belanja-6930962621940926465,11.4M,0,65.1K,220,3,"Feb 26, 2021",,2,
8,New,https://www.tiktok.com/velymom,https://www.tiktok.com/velymom/video/6932825015905799426,Tokyo,Leat'eq,/track?id=19210578,https://www.tiktok.com/music/Tokyo-6897433139871042306,18.7M,0,849.2K,9.7K,8,"Feb 25, 2021",,11,QZB4J1810678
9,New,https://www.tiktok.com/jasmineandtea,https://www.tiktok.com/jasmineandtea/video/6932980661691124998,Steven Universe,L.Dre,/track?id=28637630,https://www.tiktok.com/music/Steven-Universe-6795585271782967298,9.5M,0,2M,17K,9,"Feb 25, 2021",,10,QZFZ32084911
10,9,https://www.tiktok.com/geyghea,https://www.tiktok.com/geyghea/video/6932427054126320897,Bucketlist,"Ghea Indrawari, Boy William",/track?id=32871220,https://www.tiktok.com/music/Bucketlist-6927296928598198273,14.1M,0,489K,1.6K,10,"Feb 25, 2021",,2,DGA072154927
11,9,https://www.tiktok.com/geyghea,https://www.tiktok.com/geyghea/video/6932427588694592770,Bucketlist,"Ghea Indrawari, Boy William",/track?id=32871220,https://www.tiktok.com/music/Bucketlist-6927296928598198273,14.1M,0,501.4K,1.9K,11,"Feb 25, 2021",,3,DGA072154927
12,New,https://www.tiktok.com/rickybobbychef,https://www.tiktok.com/rickybobbychef/video/6932843228513258758,Calabria 2007 - Instrumental Mix,"Enur, Natasja",/track?id=11849983,https://www.tiktok.com/music/Calabria-2007-Instrumental-Mix-6795129103855912961,17.4M,0,2.8M,31.8K,12,"Feb 25, 2021",,43,DKEW50600103
13,3913,https://www.tiktok.com/xrayvids,https://www.tiktok.com/xrayvids/video/6932484851492916485,Cool Christmas Electric Guitar Jazz,Winter Warm Up Jazz,/track?id=34277159,https://www.tiktok.com/music/Cool-Christmas-Electric-Guitar-Jazz-6771194339180677122,7.3M,0,1.5M,47.3K,13,"Feb 25, 2021",,19,GBSMU7260066
14,New,https://www.tiktok.com/thesalguerofam,https://www.tiktok.com/thesalguerofam/video/6932957306594348294,La Gallina,Fito Olivares y Su Grupo,/track?id=18117201,https://www.tiktok.com/music/La-Gallina-6716409951339677697,7.1M,0,1.9M,14.1K,14,"Feb 25, 2021",,26,USBAE1203166
15,26,https://www.tiktok.com/zelenitsky,https://www.tiktok.com/zelenitsky/video/6932567635695553794,Up Down (Do This All Day),"T-Pain, B.o.B",/track?id=15675733,https://www.tiktok.com/music/Up-Down-Do-This-All-Day-feat-BoB-6476007017088879373,10.3M,0,657.2K,2.2K,13,"Feb 28, 2021",,71,USRC11301140
16,323,https://www.tiktok.com/drpimplepopper,https://www.tiktok.com/drpimplepopper/video/6920066291927764230,SexyBack,"Justin Timberlake, Timbaland",/track?id=15446741,https://www.tiktok.com/music/SexyBack-feat-Timbaland-6696418458814384129,83.5M,0,6.1M,66.6K,1,"Jan 23, 2021",132.00,111,USJI10600269
17,New,https://www.tiktok.com/lalalandkindcafe,https://www.tiktok.com/lalalandkindcafe/video/6932982628907863297,Yellow,Coldplay,/track?id=12521939,https://www.tiktok.com/music/Yellow-6711175901217818626,6.1M,0,2M,11.6K,17,"Feb 25, 2021",,53,GBAYE0000267
18,New,https://www.tiktok.com/_inmagic_,https://www.tiktok.com/_inmagic_/video/6932907713718537477,Aesthetic,Xilo,/track?id=28796568,https://www.tiktok.com/music/Aesthetic-6791619226181306369,9.2M,0,1.5M,11.1K,18,"Feb 25, 2021",,27,QZFZ22071847
19,New,https://www.tiktok.com/blazemama.420,https://www.tiktok.com/blazemama.420/video/6932968618162457862,It's Not The Same Anymore,Rex Orange County,/track?id=26607442,https://www.tiktok.com/music/It's-Not-The-Same-Anymore-6750696538244139010,5.7M,0,1.3M,4.1K,19,"Feb 25, 2021",,23,USRC11902536
20,-11,https://www.tiktok.com/wanderbrush,https://www.tiktok.com/wanderbrush/video/6930462387384470785,Spongebob,Dante9k,/track?id=32023663,https://www.tiktok.com/music/Spongebob-Tomfoolery-Dante9k-Remix-6787142837377959937,45.6M,0,5.4M,122.1K,4,"Feb 18, 2021",-2.29,48,QZFYZ2047242
21,2,https://www.tiktok.com/fitnessspb,https://www.tiktok.com/fitnessspb/video/6931780703248043265,ASS,South County Money Boys,/track?id=32836883,https://www.tiktok.com/music/ASS-6781185243404568577,73.6M,0,2.5M,36.7K,7,"Feb 23, 2021",,79,QZFYX2045497
22,2,https://www.tiktok.com/primadoctor,https://www.tiktok.com/primadoctor/video/6917687945151499525,Diamonds - Rihanna cover,Zaga Rehn,/track?id=17205800,https://www.tiktok.com/music/Diamonds-Rihanna-cover-6810650083407693825,65.8M,0,2.7M,35.6K,1,"Feb 14, 2021",,55,SEYOK1512293
23,New,https://www.tiktok.com/pojoksatu.id,https://www.tiktok.com/pojoksatu.id/video/6932018303976164610,Doa Untuk Kamu,AVIWKILA,/track?id=28993399,https://www.tiktok.com/music/Doa-Untuk-Kamu-6812541732345874434,19.2M,0,1.1M,12.2K,23,"Feb 25, 2021",,9,TCAES2094392
24,New,https://www.tiktok.com/ttasjaa,https://www.tiktok.com/ttasjaa/video/6932478743512468742,Nurse's Office,Melanie Martinez,/track?id=25095190,https://www.tiktok.com/music/Nurse's-Office-6733226392646909958,16M,0,318.1K,16.5K,24,"Feb 25, 2021",,2,USAT21902529
25,-17,https://www.tiktok.com/_sg_soccer,https://www.tiktok.com/_sg_soccer/video/6932069247573036294,Laxed – Siren Beat,Jawsh 685,/track?id=29203381,https://www.tiktok.com/music/Laxed-6822029875927353345,48.2M,0,3M,13.9K,1,"Feb 23, 2021",,104,NZAM02001128
