Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,0,About Damn Time,S1762,Lizzo,/track?id=79572011,https://www.tiktok.com/music/About-Damn-Time-7086201843973621762,Nice Life/Atlantic,"Apr 12, 2022",15,1.1M,2.6M,1,"May 14, 2022",18,0.00,USAT22202139
2,New,Go Around,S6369,Saino Freedoni,/track?id=82917870,https://www.tiktok.com/music/Go-Around-7094705776740026369,Saino Freedoni,"May 5, 2022",59,527K,619K,2,"May 21, 2022",8,,SE6I32293794
3,1,Gogo Dance,S1557,"El Alfa, Chael Produciendo",/track?id=79457193,https://www.tiktok.com/music/Gogo-Dance-7087744357444471557,EL JEFE RECORDS,"Apr 4, 2022",47,483K,869K,3,"May 21, 2022",14,0.14,QM4TX2261587
4,-2,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"Aug 23, 2019",3,466K,8M,1,"Feb 26, 2022",15,-0.29,USA3D0700101
5,15,Jiggle Jiggle,S0294,"Duke & Jones, Louis Theroux",/track?id=82257926,https://www.tiktok.com/music/Jiggle-Jiggle-7075729123557100294,Robots & Humans,"May 11, 2022",60,431K,611K,4,"May 28, 2022",18,2.14,GBARL2201151
6,1,Foolish Chances Freestyle (Not Foolish),S5218,Sway Burr,/track?id=82220838,https://www.tiktok.com/music/Foolish-Chances-Freestyle-Not-Foolish-7095877721548425218,Sway Burr,"May 8, 2022",57,382K,656K,6,"May 21, 2022",12,0.14,TCAGF2203422
7,4,FWM,S0578,Big Boogie,/track?id=68685144,https://www.tiktok.com/music/FWM-7045161592740120578,CMG,"Dec 22, 2021",52,365K,785K,7,"May 21, 2022",13,0.57,USUG12106598
8,-5,Sunroof,S6594,"Nicky Youre, dazy",/track?id=67502648,https://www.tiktok.com/music/Sunroof-7030869625311086594,Thirty Knots,"Nov 14, 2021",8,325K,3.3M,3,"May 14, 2022",63,-0.71,QM24S2107064
9,10,So Silly! (G-Mix),S1217,"YungManny, Koto.",/track?id=82435183,https://www.tiktok.com/music/So-Silly-GMix-7095919748038281217,3666217 Records DK2,"May 9, 2022",71,309K,503K,8,"May 28, 2022",15,1.43,QZHN92252505
10,-5,so silly !,S6562,Koto.,/track?id=75486459,https://www.tiktok.com/music/so-silly-7072080951102146562,1168634 Records DK,"Mar 5, 2022",45,273K,926K,5,"May 14, 2022",13,-0.71,QZDA82260364
11,-5,Shes Buff,,"Beatdemons, Ssj9k",/track?id=80559385,https://www.tiktok.com/music/null,Beatdemons LLC & Beatstars Publishing by SonyPub,"Apr 23, 2022",28,223K,1.6M,2,"May 7, 2022",13,-0.71,QZHN62253854
12,New,Drowning (feat. Kodak Black),,"A Boogie Wit da Hoodie, Kodak Black",/track?id=15093029,https://www.tiktok.com/music/null,Highbridge The Label,"Aug 22, 2019",101,215K,320K,12,"May 21, 2022",11,,USAT21700435
13,75,Sativa,,"Jhené Aiko, Rae Sremmurd",/track?id=18263399,https://www.tiktok.com/music/null,Def Jam Recordings,"Sep 2, 2019",107,215K,282K,13,"May 21, 2022",5,10.71,USUM71800010
14,25,Detroit Flow,S7106,Liberia Sig,/track?id=64602850,https://www.tiktok.com/music/Detroit-Flow-6982644025459247106,Liberia Sig,"Jul 7, 2021",98,214K,348K,10,"May 28, 2022",11,3.57,QZNMW2106205
15,-5,Look At Me (Freestyle),S4529,Bammbreezy Montana,/track?id=17186935,https://www.tiktok.com/music/Look-At-Me-Freestyle-6889603681725974529,Bammbreezy Montana,"Oct 30, 2020",68,213K,527K,10,"May 14, 2022",12,-0.71,QZ22B1817648
16,-2,Wind,,,,https://www.tiktok.com/music/null,,"May 3, 2022",75,211K,473K,14,"May 14, 2022",5,-0.29,USLZJ2282307
17,47,Sativa,S6112,"Jhené Aiko, Swae Lee",/track?id=16811067,https://www.tiktok.com/music/Sativa-feat-Swae-Lee-277693504695386112,Virgin EMI,"Sep 2, 2019",80,211K,444K,17,"May 21, 2022",5,6.71,USUM71710460
18,-6,Look At Me Freestyle (Salsa Mix),,Hi-Tone,/track?id=20513033,https://www.tiktok.com/music/null,"TFC Music Group, LLC / EMPIRE","Nov 2, 2019",72,198K,499K,12,"May 14, 2022",6,-0.86,USUYG1212939
19,-6,Escupiendo Fuego,S1586,Yulian,/track?id=13988680,https://www.tiktok.com/music/Escupiendo-Fuego-6801592392966211586,yulian,"Nov 22, 2021",77,197K,463K,13,"May 14, 2022",6,-0.86,RUA1H1737361
20,62,Sativa,,"Jhené Aiko, Rae Sremmurd",/track?id=18240514,https://www.tiktok.com/music/null,Universal Music Group,"Sep 2, 2019",109,195K,266K,20,"May 21, 2022",2,8.86,USUM71800009
21,-4,Therapy,,,,https://www.tiktok.com/music/null,,"May 4, 2022",92,182K,391K,17,"May 14, 2022",2,-0.57,QZ8252212723
22,14,We Not Humping - Remix,S1470,"Monaleo, Flo Milli",/track?id=79887756,https://www.tiktok.com/music/We-Not-Humping-Remix-7095938597865671470,Stomp Down,"Mar 22, 2022",105,174K,300K,13,"May 28, 2022",11,2.00,QM4TX2237923
23,-8,Love in This Club (feat. Young Jeezy),S9322,"Usher, Jeezy",/track?id=15484175,https://www.tiktok.com/music/Love-in-This-Club-feat-Jeezy-Young-Jeezy-59322,EMI TV,"Aug 16, 2019",18,174K,2.4M,1,"Apr 23, 2022",14,-1.14,USLF20800001
24,-15,6 Legendary Spoons,,,,https://www.tiktok.com/music/null,,"May 2, 2022",78,172K,461K,9,"May 14, 2022",5,-2.14,QZ8252212566
25,-17,Magnetic,,,,https://www.tiktok.com/music/null,,"May 4, 2022",81,167K,443K,8,"May 14, 2022",10,-2.43,QZ8252212722
26,-3,Beat Efeito Clareza Viral TikTok,,,,https://www.tiktok.com/music/null,,"May 9, 2022",102,159K,315K,23,"May 14, 2022",6,-0.43,ESA012288111
27,-1,WAIT FOR U (feat. Drake & Tems),,"Future, Tems, Drake",/track?id=80526730,https://www.tiktok.com/music/null,Epic/Freebandz,"Apr 28, 2022",93,156K,379K,26,"May 14, 2022",13,-0.14,USSM12203878
28,-4,Wait a Minute!,S0946,WILLOW,/track?id=13904490,https://www.tiktok.com/music/Wait-a-Minute-6740534003704530946,Roc Nation W Smith P&D,"Sep 2, 2019",22,151K,2M,24,"May 14, 2022",22,-0.57,QMJMT1500801
29,93,BACK IT UP,S4306,Kervodolo,/track?id=81472908,https://www.tiktok.com/music/BACK-IT-UP-7094784681282914306,3670212 Records DK,"May 6, 2022",126,150K,198K,29,"May 21, 2022",8,13.29,QZHN92209651
30,147,Me Porto Bonito,S8694,"Bad Bunny, Chencho Corleone",/track?id=81301171,https://www.tiktok.com/music/Me-Porto-Bonito-7094499898527058694,Rimas Entertainment LLC,"May 4, 2022",139,144K,182K,20,"May 28, 2022",20,21.00,QM6MZ2214877
31,123,No Surprises,S1618,Radiohead,/track?id=12536685,https://www.tiktok.com/music/No-Surprises-6751218393644271618,Parlophone,"Oct 23, 2019",65,142K,550K,31,"May 21, 2022",14,17.57,GBAYE9700386
32,134,No Surprises - Remastered,,Radiohead,/track?id=12570623,https://www.tiktok.com/music/null,XL Recordings,"Oct 23, 2019",88,139K,414K,32,"May 21, 2022",10,19.14,GBBKS1700116
33,-11,I Like,S3985,Guy,/track?id=15535958,https://www.tiktok.com/music/I-Like-6917464269244073985,Universal Music Division Barclay,"Sep 2, 2019",10,138K,3M,2,"Apr 16, 2022",15,-1.57,USMC18825792
34,59,Bitter,,,,https://www.tiktok.com/music/null,,"May 11, 2022",129,135K,194K,25,"May 28, 2022",3,8.43,QZ8252213403
35,New,environmenter,,,,https://www.tiktok.com/music/null,,"May 12, 2022",153,134K,138K,22,"May 28, 2022",2,,QZHNA2252588
36,-18,First Class,S0642,Jack Harlow,/track?id=79456616,https://www.tiktok.com/music/First-Class-7084006982138480642,Generation Now/Atlantic,"Apr 6, 2022",29,131K,1.6M,11,"Apr 16, 2022",16,-2.57,USAT22203024
37,151,Say Techno,,,,https://www.tiktok.com/music/null,,"May 12, 2022",143,129K,172K,37,"May 21, 2022",5,21.57,USLZJ2296731
38,34,Raise on Right,,,,https://www.tiktok.com/music/null,,"Apr 10, 2022",31,120K,1.6M,1,"Apr 16, 2022",8,4.86,QZ8252210279
39,-12,Face Beat,S6354,Father Philis,/track?id=76161229,https://www.tiktok.com/music/Face-Beat-7072498537547876354,BimVibes Records,"Mar 6, 2022",58,119K,647K,27,"May 14, 2022",11,-1.71,TCAGC2225124
40,35,"Quandale dingle ""The Race"" Freestyle",S6994,RKsmelly,/track?id=81731324,https://www.tiktok.com/music/Quandale-dingle-The-Race-Freestyle-7095125338027476994,3874058 Records DK,"May 6, 2022",140,116K,182K,31,"May 28, 2022",3,5.00,QZHN92229144
41,-12,Vegas (I Wanna Ride),S8305,Joseline Hernandez,/track?id=69596777,https://www.tiktok.com/music/Vegas-I-Wanna-Ride-7042544889816418305,GS Entertainment Inc,"Dec 16, 2021",50,113K,838K,15,"Apr 30, 2022",11,-1.71,QMVHD2100009
42,New,SESSIONS,,"Wake Wav, CheccChecc",/track?id=64976139,https://www.tiktok.com/music/null,Wake Wav,"Sep 23, 2020",164,111K,114K,42,"May 21, 2022",2,,SE6QE2036905
43,-1,While,,,,https://www.tiktok.com/music/null,,"May 5, 2022",118,110K,223K,42,"May 14, 2022",9,-0.14,USLZJ2283910
44,12,Shake Senora (feat. T-Pain & Sean Paul),S7158,"Pitbull, T-Pain, Sean Paul",/track?id=15441326,https://www.tiktok.com/music/Shake-Senora-feat-T-Pain-Sean-Paul-6948155699897617158,Mr.305/Polo Grounds Music/J Records,"Nov 1, 2021",119,110K,210K,44,"May 21, 2022",3,1.71,USJAY1100093
45,12,Shake Senora (feat. T-Pain & Sean Paul),S7158,"Pitbull, T-Pain, Sean Paul",/track?id=15441326,https://www.tiktok.com/music/Shake-Senora-feat-T-Pain-Sean-Paul-6948155699897617158,Mr.305/Polo Grounds Music/J Records,"Aug 16, 2019",120,109K,209K,27,"May 28, 2022",8,1.71,USJAY1100093
46,5,Hunt,,,,https://www.tiktok.com/music/null,,"May 5, 2022",130,109K,193K,46,"May 21, 2022",6,0.71,USLZJ2283908
47,-19,Bestie,S7169,"DaBaby, YoungBoy Never Broke Again",/track?id=75292748,https://www.tiktok.com/music/Bestie-7070866752007047169,South Coast Music Group / Interscope Records / Atlantic Records,"Mar 2, 2022",14,109K,2.6M,10,"Mar 12, 2022",20,-2.71,USUM72202750
48,10,Shake Senora (feat. T-Pain & Sean Paul),S7158,"Pitbull, T-Pain, Sean Paul",/track?id=15441326,https://www.tiktok.com/music/Shake-Senora-feat-T-Pain-Sean-Paul-6948155699897617158,Mr.305/Polo Grounds Music/J Records,"Aug 16, 2019",121,108K,206K,28,"May 28, 2022",3,1.43,USJAY1100093
49,51,Quandale dingle The Race,S3377,ihymiaa,/track?id=82618531,https://www.tiktok.com/music/Quandale-dingle-The-Race-7096255055111653377,3867736 Records DK,"May 9, 2022",146,108K,163K,30,"May 28, 2022",4,7.29,QZHN92277937
50,64,TWINNEM - Remix,,"Coi Leray, DaBaby",/track?id=66140229,https://www.tiktok.com/music/null,Republic Records,"Nov 8, 2021",26,104K,1.7M,13,"Nov 27, 2021",24,9.14,USUM72121129
51,-6,Snatched,,,,https://www.tiktok.com/music/null,,"Mar 10, 2022",97,101K,362K,45,"May 14, 2022",7,-0.86,USUG12201156
52,0,Monkeys Spinning Monkeys,S9249,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,642414 Records DK2,"Oct 11, 2019",1,99K,10M,10,"Jun 26, 2021",104,0.00,USUAN1400011
53,1,WAIT FOR U (feat. Drake & Tems),,"Future, Tems, Drake",/track?id=80526730,https://www.tiktok.com/music/null,Epic/Freebandz,"May 2, 2022",135,98K,185K,53,"May 21, 2022",6,0.14,USSM12203878
54,-23,Enemy - from the series Arcane League of Legends,S1954,"Imagine Dragons, JID, Arcane, League of Legends",/track?id=65244227,https://www.tiktok.com/music/Enemy-from-the-series-Arcane-League-of-Legends-7023061500537341954,KIDinaKORNER/Interscope Records,"Oct 22, 2021",42,97K,1M,21,"May 7, 2022",15,-3.29,USUM72119916
55,-15,Heaven Can Wait,S1729,Michael Jackson,/track?id=15766907,https://www.tiktok.com/music/Heaven-Can-Wait-If-the-angels-came-for-me-I'd-tell-them-no-7104790222528841729,Legacy Recordings,"Aug 16, 2019",95,97K,370K,19,"May 7, 2022",9,-2.14,USSM10110421
56,45,#nathan #drake - remix,,"TaySkiiii, scykira, Tsantana",/track?id=83171377,https://www.tiktok.com/music/null,3565064 Records DK,"Apr 11, 2022",149,96K,152K,56,"May 21, 2022",2,6.43,QZHN42244906
57,-41,Sweetest Pie,S5713,"Megan Thee Stallion, Dua Lipa",/track?id=75856195,https://www.tiktok.com/music/Sweetest-Pie-7072864389069555713,300 Entertainment,"Mar 7, 2022",84,96K,438K,12,"Jun 25, 2022",17,-5.86,QMCE32200232
58,-23,As It Was,S5374,Harry Styles,/track?id=79012900,https://www.tiktok.com/music/As-It-Was-7081406189908675374,Columbia,"Mar 30, 2022",20,95K,2.2M,4,"Apr 9, 2022",19,-3.29,USSM12200612
59,New,Fullscreen,,,,https://www.tiktok.com/music/null,,"May 4, 2022",165,93K,112K,49,"May 28, 2022",4,,QZ8252212718
60,New,Tek It (Sped Up),,Cafuné,/track?id=80523494,https://www.tiktok.com/music/null,Elektra (NEK),"Apr 27, 2022",160,89K,129K,35,"Jun 11, 2022",14,,USEE12200097
61,-8,Next Song,S3858,DaBaby,/track?id=21929130,https://www.tiktok.com/music/Next-Song-6930523950371833858,"South Coast Music Group LLC, distributed by Interscope Records","Sep 12, 2019",67,89K,535K,53,"May 14, 2022",8,-1.14,USUYG1224768
62,-14,Stir Fry,S0480,Migos,/track?id=17903693,https://www.tiktok.com/music/Stir-Fry-313170513290260480,"Quality Control Music, LLC","Sep 3, 2019",116,85K,249K,48,"May 14, 2022",6,-2.00,USUM71714081
63,67,Sway (Sped Up Version),,Michael Bublé,/track?id=82264817,https://www.tiktok.com/music/null,Reprise,"May 9, 2022",156,85K,131K,63,"May 21, 2022",6,9.57,USRE12200386
64,New,Until I Found You,S8450,Stephen Sanchez,/track?id=58662459,https://www.tiktok.com/music/Until-I-Found-You-7000208808676968450,Republic Records,"Aug 24, 2021",137,83K,184K,64,"May 21, 2022",6,,USUG12103651
65,-19,Gito Nachi Ei Paro,,,,https://www.tiktok.com/music/null,,"Apr 17, 2022",55,80K,740K,10,"Apr 23, 2022",7,-2.71,QZ8252210994
66,New,Up!,,,,https://www.tiktok.com/music/null,,"Mar 28, 2022",150,75K,147K,66,"May 21, 2022",1,,USLZJ2215281
67,-26,Over,S5121,Lucky Daye,/track?id=61321186,https://www.tiktok.com/music/Over-7010846497831045121,Keep Cool/RCA Records,"Sep 21, 2021",37,73K,1.1M,11,"May 7, 2022",15,-3.71,USRC12102179
68,-34,"La Niña Está Triste (En Vivo) (feat. Jesús ""Tuti"" Martínez)",S1541,"Leo Dan, Jesús ""Tuti"" Martínez",/track?id=19173696,https://www.tiktok.com/music/La-Niña-Está-Triste-En-Vivo-6985179435246881541,Columbia,"Aug 16, 2019",125,72K,199K,34,"May 14, 2022",3,-4.86,MXF011800168
69,-32,Grillz,,"Nelly, Paul Wall, Ali & Gipp",/track?id=15900798,https://www.tiktok.com/music/null,Universal Music Ltd.,"Sep 3, 2019",94,72K,373K,34,"May 7, 2022",4,-4.57,USUM70505024
70,-32,Grillz,,"Nelly, Paul Wall, Ali & Gipp",/track?id=15900798,https://www.tiktok.com/music/null,Universal Music Ltd.,"Sep 2, 2019",96,71K,369K,35,"May 7, 2022",4,-4.57,USUM70505024
71,New,Feelings,,,,https://www.tiktok.com/music/null,,"May 5, 2022",171,71K,93K,67,"May 28, 2022",5,,USLZJ2285511
72,New,Reggae & Calypso (Russ Millions x Buni x YV x CH (GMD) x SwitchOTR x Gazo x RoseReal) - Remix,S4273,"Russ Millions, YV, SwitchOTR, Buni, CH (GMD), Gazo, RoseReal",/track?id=78112395,https://www.tiktok.com/music/Reggae-Calypso-Russ-Millions-x-Buni-x-YV-x-CH-GMD-x-SwitchOTR-x-Gazo-x-RoseReal-7077776126001334273,One Of A Kind Music,"Mar 21, 2022",176,70K,81K,38,"Jun 11, 2022",10,,QM4TX2229006
73,-14,Gogo Dance - Special Version,S8818,Squina Digital,/track?id=81376798,https://www.tiktok.com/music/Gogo-Dance-Special-Version-7091953853968418818,3891953 Records DK,"Apr 28, 2022",138,69K,183K,59,"May 14, 2022",5,-2.00,QZHN72265457
74,-41,Oppy friends,S2146,"DreamTeamBallers, Ron Sleeze",/track?id=75270157,https://www.tiktok.com/music/Oppy-friends-7068944239719942146,DreamTeamBallers Records,"Feb 25, 2022",115,66K,250K,33,"May 14, 2022",5,-5.86,QZDA72207553
75,23,F.N.F. (Let's Go),S0619,"Hitkidd, GloRilla",/track?id=81041293,https://www.tiktok.com/music/FNF-Let's-Go-7089140456671480619,Blac Noize!,"May 2, 2022",161,66K,124K,1,"Sep 24, 2022",35,3.29,QZRD92201643
76,-8,Sunshine Day,,,,https://www.tiktok.com/music/null,,"May 4, 2022",154,65K,135K,68,"May 14, 2022",4,-1.14,QZ8252212724
