Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,0,Big Spender (feat. Troof),S5345,"C tha Future, Troof",/track?id=14280122,https://www.tiktok.com/music/Big-Spender-feat-Troof-6751229944891705345,C tha Future,"Oct 23, 2019",17,580K,2M,1,"Jan 8, 2022",5,0.00,TCABS1303835
2,1,Spender 2020 Freestyle,,"Tana2Raw, Omardafat",/track?id=69287515,https://www.tiktok.com/music/null,1407941 Records DK,"May 24, 2020",20,552K,2M,2,"Jan 22, 2022",6,0.14,QZHN42012253
3,-1,Intro,,"Guapo Laced, Killa Cam",/track?id=69287530,https://www.tiktok.com/music/null,Out The Gate Records,"Oct 17, 2019",21,552K,2M,2,"Jan 8, 2022",13,-0.14,QZHN81919647
4,New,No Idea - Sped Up,,,,https://www.tiktok.com/music/null,,"Jan 15, 2022",98,457K,459K,4,"Jan 22, 2022",8,,VNNVK2200015
5,79,pushin P (feat. Young Thug),S2193,"Gunna, Future, Young Thug",/track?id=69230812,https://www.tiktok.com/music/pushin-P-feat-Young-Thug-7052789426485512193,300 Entertainment,"Jan 6, 2022",97,408K,466K,5,"Jan 22, 2022",10,11.29,QMCE32200039
6,1,oui,S4929,Jeremih,/track?id=15935671,https://www.tiktok.com/music/Oui-242507479799164929,Universal Music Group,"Nov 28, 2019",40,390K,1.2M,6,"Jan 22, 2022",23,0.14,USUM71513397
7,-2,Throw It Back,S4802,"TarioP, ShantiiP",/track?id=69292042,https://www.tiktok.com/music/Throw-It-Back-Abow-7050124828033484802,TarioP,"Jan 5, 2022",73,349K,769K,5,"Jan 15, 2022",4,-0.29,QZJG52221275
8,3,Lost in the Fire,S5423,"Gesaffelstein, The Weeknd",/track?id=22260550,https://www.tiktok.com/music/Lost-in-the-Fire-5000000001453895423,Columbia,"Aug 17, 2019",32,341K,1.5M,8,"Jan 22, 2022",22,0.43,USQX91803314
9,-1,Own Brand Freestyle,S2386,"FelixThe1st, Dréya Mac, Finch Fetti",/track?id=64396060,https://www.tiktok.com/music/Own-Brand-Freestyle-7019087686937872386,FelixThe1st,"Nov 18, 2021",10,325K,4.6M,1,"Dec 11, 2021",26,-0.14,QZK6J2144340
10,New,Neon Guts - Sped Up,,,,https://www.tiktok.com/music/null,,"Jan 9, 2022",119,308K,319K,10,"Jan 22, 2022",9,,VNNVK2200009
11,-1,COMMA$,S9202,Curtis Roach,/track?id=65331133,https://www.tiktok.com/music/COMMA-7016196298508339202,Curtis Roach,"Oct 6, 2021",13,303K,3.3M,6,"Feb 5, 2022",17,-0.14,SGB502101619
12,New,Captain,S5653,Nutcase22,/track?id=66437850,https://www.tiktok.com/music/Captain-whistle-7046760557633915653,GRM Daily Records,"Nov 8, 2021",122,303K,312K,3,"Jan 29, 2022",7,,GBAYE2101559
13,New,No Idea,S2901,Don Toliver,/track?id=23658940,https://www.tiktok.com/music/No-Idea-6764115859423152901,Cactus Jack / Atlantic,"Aug 21, 2019",4,301K,7.3M,5,"Jan 29, 2022",11,,USAT21903300
14,-5,Love Grows (Where My Rosemary Goes),S7569,Edison Lighthouse,/track?id=19841060,https://www.tiktok.com/music/Love-Grows-6728858648203757569,Crimson,"Dec 14, 2019",46,282K,1.1M,9,"Jan 15, 2022",8,-0.71,GBBPJ9800675
15,New,Switch A Nigga Out,,Summer Walker,/track?id=65771766,https://www.tiktok.com/music/null,LVRN/Interscope Records,"Nov 2, 2021",115,273K,346K,15,"Jan 22, 2022",3,,USUM72118250
16,1,Breakin' My Heart (Pretty Brown Eyes),S6545,Mint Condition,/track?id=15605754,https://www.tiktok.com/music/BreakinMy-Heart-Pretty-Brown-Eyes-6932073408150636545,Universal Music Mexico S.A. de C.V. (Polystar),"Sep 3, 2019",76,265K,681K,16,"Jan 22, 2022",14,0.14,USPR39104445
