Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,0,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"Aug 23, 2019",38,525K,1.3M,1,"Feb 26, 2022",15,0.00,USA3D0700101
2,8,Wanna Be Startin' Somethin' (Single Version),,Michael Jackson,/track?id=15777208,https://www.tiktok.com/music/null,Epic/Legacy,"Aug 16, 2019",71,358K,600K,2,"Mar 5, 2022",2,1.14,USSM10501508
3,0,Forever,S1617,Labrinth,/track?id=25531325,https://www.tiktok.com/music/Forever-6740248251825391617,Masterworks,"Sep 23, 2019",28,357K,1.6M,3,"Feb 26, 2022",17,0.00,USQX91902499
4,10,556 (Green Tip),S7374,iayze,/track?id=73631011,https://www.tiktok.com/music/556-Green-Tip-7059436057242307374,Simple Stupid Records/Geffen Records,"Feb 7, 2022",69,334K,620K,4,"Mar 5, 2022",7,1.43,USLD91736763
5,New,Big and Chunky,,,,https://www.tiktok.com/music/null,,"Feb 26, 2022",110,311K,312K,5,"Mar 5, 2022",3,,VNTTH2200138
6,-4,Ginseng Strip 2002,S4054,Yung Lean,/track?id=14145576,https://www.tiktok.com/music/Ginseng-Strip-2002-6997999797663714054,YEAR0001,"Aug 30, 2019",8,268K,5.1M,1,"Jan 29, 2022",26,-0.57,SEY491300006
7,25,Rocking A Cardigan in Atlanta,S7746,lil Shordie Scott,/track?id=73011588,https://www.tiktok.com/music/Rocking-A-Cardigan-in-Atlanta-7058463948324767746,Social Currency Enterprises,"Jan 28, 2022",96,249K,420K,6,"Mar 12, 2022",16,3.57,USUYG1411494
8,New,F.B.I.,,"James Julian, Jack Fetti",/track?id=76312564,https://www.tiktok.com/music/null,Beached Whale Records,"Aug 23, 2021",124,240K,249K,8,"Mar 5, 2022",2,,QZMEM2126350
9,-2,From Tha Back,S9106,"lil.eaarl, Huncho Da Rockstar",/track?id=54250665,https://www.tiktok.com/music/From-Tha-Back-7076226083082799106,F.W.M.B,"Jul 21, 2021",9,231K,4.8M,3,"Feb 19, 2022",31,-0.29,QZK6L2175793
10,New,Who's That Chick,,,,https://www.tiktok.com/music/null,,"Feb 25, 2022",130,223K,226K,10,"Mar 5, 2022",1,,VNTTH2200132
11,18,Big And Chunky,S2084,will.i.am,/track?id=15911308,https://www.tiktok.com/music/Big-And-Chunky-145532084,Geffen,"Sep 2, 2019",67,218K,654K,11,"Mar 5, 2022",10,2.57,USUM70840966
12,-8,Wanna Be Startin' Somethin',S6130,Michael Jackson,/track?id=15823676,https://www.tiktok.com/music/Wanna-Be-Startin-Somethin-Album-Version-96130,Epic,"Aug 16, 2019",61,213K,812K,4,"Feb 26, 2022",3,-1.14,USSM19902986
13,2,Cupid (Remix),S7553,2Rare,/track?id=73444636,https://www.tiktok.com/music/Cupid-Remix-7062473716534167553,2Rare,"Feb 7, 2022",74,202K,589K,13,"Mar 5, 2022",11,0.29,QZL382245945
14,-9,Wanna Be Startin' Somethin' (Album Version),,Michael Jackson,/track?id=15811989,https://www.tiktok.com/music/null,Epic,"Aug 16, 2019",62,200K,787K,5,"Feb 26, 2022",3,-1.29,USSM18200005
15,-3,Playboy,S6817,Jx.Zero,/track?id=35791057,https://www.tiktok.com/music/Playboy-6936644952348706817,772428 Records DK,"Mar 5, 2021",49,187K,1M,5,"Feb 19, 2022",8,-0.43,QZDA62175728
16,-10,We Don't Talk About Bruno,S2322,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",/track?id=66986384,https://www.tiktok.com/music/We-Don't-Talk-About-Bruno-7032019094467512322,Walt Disney Records,"Nov 11, 2021",12,177K,2.5M,2,"Feb 5, 2022",18,-1.43,USWD12112915
17,-4,Mount Everest,S9103,Labrinth,/track?id=24136343,https://www.tiktok.com/music/Original-sound-7061411512082189103,Syco Music,"Aug 16, 2019",51,174K,1M,13,"Feb 26, 2022",11,-0.57,GBHMU1800032
18,9,Jaeger,S2081,Diva Wisteria,/track?id=73607871,https://www.tiktok.com/music/Jaeger-7064164211463342081,Diva Wisteria,"Feb 12, 2022",84,171K,497K,16,"Feb 19, 2022",6,1.29,TCJPR2211087
19,New,Who's That Chick? (feat. Rihanna),S2688,Rihanna,/track?id=12334199,https://www.tiktok.com/music/Whos-That-Chick-feat-Rihanna-Who's-That-Chick?-(feat.-Rihanna)-249756172461682688,Parlophone France,"Aug 21, 2019",140,170K,176K,12,"Mar 12, 2022",16,,FRZID1000700
20,-12,Major Bag Alert (feat. Migos),,"DJ Khaled, Migos",/track?id=17631254,https://www.tiktok.com/music/null,Epic/We The Best,"Aug 17, 2019",44,162K,1.2M,4,"Feb 12, 2022",6,-1.71,USSM11705116
21,60,Boys Will Be Bugs,S9030,Cavetown,/track?id=22103603,https://www.tiktok.com/music/boys-will-be-bugs-cavetown-6636985256622689030,Oat Milk,"Jan 24, 2020",76,159K,582K,21,"Mar 5, 2022",5,8.57,USL4Q1849675
22,-5,Dip (#thewoah),S7345,TisaKorean,/track?id=21796167,https://www.tiktok.com/music/Dip-thewoah-6705010360551737345,8jency/Astroknot Sounds,"Aug 20, 2019",26,156K,1.8M,17,"Feb 26, 2022",19,-0.71,USAT21811425
