Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,2,Cash App,S6129,Louie Ray,/track?id=51874909,https://www.tiktok.com/music/Cash-App-6979505394108336129,Still Grinding Entertainment,"Jun 29, 2021",25,1.2M,1.9M,1,"Mar 19, 2022",11,0.29,QZK6P2117585
2,0,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"Aug 23, 2019",11,932K,3M,1,"Feb 26, 2022",15,0.00,USA3D0700101
3,27,Godzilla,S3217,"Eminem, Juice WRLD",/track?id=28213841,https://www.tiktok.com/music/Godzilla-6785597983233673217,Shady/Aftermath/Interscope Records,"Jan 29, 2020",53,732K,1.1M,3,"Mar 19, 2022",6,3.86,USUM72000788
4,23,Sleazy Flow,S4434,SleazyWorld Go,/track?id=64252920,https://www.tiktok.com/music/Sleazy-Flow-7019727257337874434,Island Records,"Oct 15, 2021",65,625K,784K,4,"Mar 19, 2022",8,3.29,QZNWT2199125
5,-4,Lupa Daratan,,,,https://www.tiktok.com/music/null,,"Mar 4, 2022",27,607K,1.6M,1,"Mar 12, 2022",17,-0.57,QZDA82253223
6,5,Thinking with My Dick (feat. Juicy J),S8288,"Kevin Gates, Juicy J",/track?id=15087427,https://www.tiktok.com/music/Thinking-With-My-Dick-feat-Juicy-J-224448124348428288,Bread Winners Association/Atlantic,"Aug 21, 2019",70,423K,718K,6,"Mar 19, 2022",7,0.71,USAT21301783
7,New,La Monica,,,,https://www.tiktok.com/music/null,,"Mar 11, 2022",105,412K,417K,7,"Mar 19, 2022",7,,AUMEV2227664
8,-2,Rocking A Cardigan in Atlanta,S7746,lil Shordie Scott,/track?id=73011588,https://www.tiktok.com/music/Rocking-A-Cardigan-in-Atlanta-7058463948324767746,Social Currency Enterprises,"Jan 28, 2022",46,409K,1.2M,6,"Mar 12, 2022",16,-0.29,USUYG1411494
9,New,Blood Sweat & Tears,S8945,BTS,/track?id=13397048,https://www.tiktok.com/music/Blood-Sweat-Tears-Japanese-ver-6976098489184978945,Bighit Entertainment,"Aug 19, 2019",107,326K,365K,8,"Mar 26, 2022",7,,KRA381601892
10,45,We Not Humping,S3873,Monaleo,/track?id=68078777,https://www.tiktok.com/music/We-Not-Humping-7027210731057743873,Stomp Down,"Nov 4, 2021",92,321K,509K,10,"Mar 19, 2022",6,6.43,QMDA72136655
11,-6,Zou Bisou Bisou,,,,https://www.tiktok.com/music/null,,"Aug 9, 2020",68,291K,731K,5,"Mar 12, 2022",7,-0.86,TCAFA2073845
12,-2,Bestie,S7169,"DaBaby, YoungBoy Never Broke Again",/track?id=75292748,https://www.tiktok.com/music/Bestie-7070866752007047169,South Coast Music Group / Interscope Records / Atlantic Records,"Mar 2, 2022",82,287K,590K,10,"Mar 12, 2022",20,-0.29,USUM72202750
13,-4,Forever,S1617,Labrinth,/track?id=25531325,https://www.tiktok.com/music/Forever-6740248251825391617,Masterworks,"Sep 23, 2019",20,276K,2.2M,3,"Feb 26, 2022",17,-0.57,USQX91902499
14,-10,556 (Green Tip),S7374,iayze,/track?id=73631011,https://www.tiktok.com/music/556-Green-Tip-7059436057242307374,Simple Stupid Records/Geffen Records,"Feb 7, 2022",38,269K,1.4M,4,"Mar 5, 2022",7,-1.43,USLD91736763
15,11,So What - Album Version (Explicit),,"Field Mob, Ciara",/track?id=15901887,https://www.tiktok.com/music/null,Geffen,"Sep 2, 2019",50,254K,1.1M,15,"Mar 19, 2022",16,1.57,USUM70601012
16,-2,Bestie,,"DaBaby, YoungBoy Never Broke Again",/track?id=75334246,https://www.tiktok.com/music/null,South Coast Music Group / Interscope Records / Atlantic Records,"Mar 2, 2022",90,254K,513K,14,"Mar 12, 2022",14,-0.29,USUM72202751
17,169,Cool for the Summer,S3664,Demi Lovato,/track?id=15393958,https://www.tiktok.com/music/Cool-for-the-Summer-252516769129713664,Universal Music,"Sep 3, 2019",86,249K,557K,3,"Mar 26, 2022",15,24.14,USHR11536621
18,-6,Who's That Chick? (feat. Rihanna),S2688,Rihanna,/track?id=12334199,https://www.tiktok.com/music/Whos-That-Chick-feat-Rihanna-Who's-That-Chick?-(feat.-Rihanna)-249756172461682688,Parlophone France,"Aug 21, 2019",73,240K,682K,12,"Mar 12, 2022",16,-0.86,FRZID1000700
19,New,Old Town Road (feat. Billy Ray Cyrus) (Remix),S3830,"Lil Nas X, Billy Ray Cyrus",/track?id=22782681,https://www.tiktok.com/music/Old-Town-Road-feat-Billy-Ray-Cyrus-Remix-6676524241946413830,Columbia,"Aug 16, 2019",121,205K,265K,19,"Mar 19, 2022",10,,USSM11902498
20,61,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",,The Weeknd,/track?id=15895169,https://www.tiktok.com/music/null,Universal-Island Records Ltd.,"Sep 2, 2019",78,204K,626K,20,"Mar 19, 2022",12,8.71,USUG11401951
21,-6,Ginseng Strip 2002,S4054,Yung Lean,/track?id=14145576,https://www.tiktok.com/music/Ginseng-Strip-2002-6997999797663714054,YEAR0001,"Aug 30, 2019",8,201K,5.5M,1,"Jan 29, 2022",26,-0.86,SEY491300006
22,-9,"Wanna Be Startin' Somethin' (ma-ma-say, ma-ma-sah, ma-ma-coo-sah) (Single Version)",,Michael Jackson,/track?id=15777208,https://www.tiktok.com/music/null,Epic/Legacy,"Feb 28, 2022",102,200K,459K,13,"Mar 12, 2022",8,-1.29,USSM10501508
23,-6,emo girl,,,,https://www.tiktok.com/music/null,,"Feb 1, 2022",79,198K,626K,17,"Mar 12, 2022",7,-0.86,USUM72201367
24,40,Reading Rainbow Theme Song,S9857,Reading Rainbow,/track?id=15865293,https://www.tiktok.com/music/Reading-Rainbow-Theme-Song-6764036234105849857,"SCH Music, Inc.","Nov 26, 2019",114,197K,307K,24,"Mar 19, 2022",3,5.71,USTC50884835
25,-2,Jaeger,S2081,Diva Wisteria,/track?id=73607871,https://www.tiktok.com/music/Jaeger-7064164211463342081,Diva Wisteria,"Feb 12, 2022",63,177K,843K,16,"Feb 19, 2022",6,-0.29,TCJPR2211087
26,-2,HOW YOU EOS,S9857,Frosty Dinero,/track?id=75249547,https://www.tiktok.com/music/HOW-YOU-EOS-7133859108217849857,2603792 Records DK,"Feb 25, 2022",93,177K,496K,24,"Mar 12, 2022",11,-0.29,QZDA72212143
27,New,Cmonnn,S3521,"5Star, Lay Bankz",/track?id=76006957,https://www.tiktok.com/music/Cmonnn-Hit-It-One-Time-7081095000565483521,Motown Records,"Mar 10, 2022",141,169K,174K,27,"Mar 19, 2022",8,,USUM72204009
28,111,Carnaval Del Barrio,,"Daphne Rubin-Vega, Stephanie Beatriz, Dascha Polanco, Melissa Barrera, Anthony Ramos, Lin-Manuel Miranda, Corey Hawkins, Gregory Diaz IV, Leslie Grace",/track?id=48685904,https://www.tiktok.com/music/null,Atlantic Records,"Jun 9, 2021",115,166K,293K,28,"Mar 19, 2022",5,15.86,USAT22100948
29,0,Kirk Franklin Revolution (Remix),S4369,"Kirk Franklin, Luey Major",/track?id=75246703,https://www.tiktok.com/music/Kirk-Franklin-Revolution-Remix-7069344129074874369,Kirk Franklin & Luey Major,"Feb 26, 2022",99,165K,461K,29,"Mar 12, 2022",3,0.00,TCAGA2276269
30,4,Monkeys Spinning Monkeys,S9249,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,642414 Records DK2,"Oct 11, 2019",1,164K,9.2M,10,"Jun 26, 2021",104,0.57,USUAN1400011
31,49,Hot In Herre,S7014,Nelly,/track?id=15943907,https://www.tiktok.com/music/Hot-in-Herre-Radio-Edit-5000000001448717014,Universal/Island Def Jam,"Sep 4, 2019",98,161K,475K,31,"Mar 19, 2022",13,7.00,USUR10200371
32,New,Wanna Cool Like Love Me Like You - Little Mix,,,,https://www.tiktok.com/music/null,,"Mar 8, 2022",146,158K,165K,32,"Mar 19, 2022",2,,QZES52214126
33,-26,Old Town Road,,,,https://www.tiktok.com/music/null,,"Mar 4, 2022",72,153K,694K,7,"Mar 12, 2022",3,-3.71,VNTTH2200161
34,43,Sunroof,S6594,"Nicky Youre, dazy",/track?id=67502648,https://www.tiktok.com/music/Sunroof-7030869625311086594,Thirty Knots,"Nov 14, 2021",76,148K,653K,3,"May 14, 2022",63,6.14,QM24S2107064
35,New,Cmonnn,,"5Star, Lay Bankz",/track?id=76747132,https://www.tiktok.com/music/null,Motown Records,"Mar 10, 2022",148,147K,151K,35,"Mar 19, 2022",1,,USUM72204010
36,-16,From Tha Back,S9106,"lil.eaarl, Huncho Da Rockstar",/track?id=54250665,https://www.tiktok.com/music/From-Tha-Back-7076226083082799106,F.W.M.B,"Jul 21, 2021",9,143K,5.1M,3,"Feb 19, 2022",31,-2.29,QZK6L2175793
37,-12,Cupid (Remix),S7553,2Rare,/track?id=73444636,https://www.tiktok.com/music/Cupid-Remix-7062473716534167553,2Rare,"Feb 7, 2022",60,141K,893K,13,"Mar 5, 2022",11,-1.71,QZL382245945
38,-10,We Don't Talk About Bruno,S2322,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",/track?id=66986384,https://www.tiktok.com/music/We-Don't-Talk-About-Bruno-7032019094467512322,Walt Disney Records,"Nov 11, 2021",12,138K,2.8M,2,"Feb 5, 2022",18,-1.43,USWD12112915
39,-17,Mount Everest,S9103,Labrinth,/track?id=24136343,https://www.tiktok.com/music/Original-sound-7061411512082189103,Syco Music,"Aug 16, 2019",43,127K,1.3M,13,"Feb 26, 2022",11,-2.43,GBHMU1800032
40,New,Yes Sir,S3698,Chief Keef,/track?id=68468064,https://www.tiktok.com/music/Yes-Sir-7036188579818653698,RBC Records,"Nov 29, 2021",149,126K,149K,31,"Mar 26, 2022",4,,QMRSZ2102960
41,New,Origin Of Life,,,,https://www.tiktok.com/music/null,,"Mar 6, 2022",156,125K,135K,41,"Mar 19, 2022",1,,QZ8252206430
42,108,Free Cluster,,,,https://www.tiktok.com/music/null,,"Mar 6, 2022",139,124K,177K,42,"Mar 19, 2022",5,15.43,QZ8252206432
43,-22,Big And Chunky,S2084,will.i.am,/track?id=15911308,https://www.tiktok.com/music/Big-And-Chunky-145532084,Geffen,"Sep 2, 2019",58,119K,954K,11,"Mar 5, 2022",10,-3.14,USUM70840966
44,24,Wait a Minute!,S0946,WILLOW,/track?id=13904490,https://www.tiktok.com/music/Wait-a-Minute-6740534003704530946,Roc Nation W Smith P&D,"Sep 2, 2019",69,118K,720K,24,"May 14, 2022",22,3.43,QMJMT1500801
45,-2,Dip (#thewoah),S7345,TisaKorean,/track?id=21796167,https://www.tiktok.com/music/Dip-thewoah-6705010360551737345,8jency/Astroknot Sounds,"Aug 20, 2019",23,109K,2M,17,"Feb 26, 2022",19,-0.29,USAT21811425
46,0,Shake It Off,S7922,Taylor Swift,/track?id=15191529,https://www.tiktok.com/music/Shake-It-Off-6740854545812817922,"Big Machine Records, LLC","Sep 12, 2019",109,107K,352K,46,"Mar 12, 2022",4,0.00,USCJY1431349
47,91,Shake It Off,S7922,Taylor Swift,/track?id=15191529,https://www.tiktok.com/music/Shake-It-Off-6740854545812817922,"Big Machine Records, LLC","Sep 2, 2019",128,107K,227K,47,"Mar 19, 2022",3,,USCJY1431349
48,New,Shake It Off,S7922,Taylor Swift,/track?id=15191529,https://www.tiktok.com/music/Shake-It-Off-6740854545812817922,"Big Machine Records, LLC","Nov 26, 2019",133,107K,207K,48,"Mar 19, 2022",1,,USCJY1431349
49,-16,North Sac Baby,S3873,Chito Rana$,/track?id=25314742,https://www.tiktok.com/music/North-Sac-Baby-6774005852824143873,Mala Records,"Dec 23, 2019",117,102K,273K,33,"Mar 12, 2022",4,-2.29,TCAEK1970713
50,-2,oui,S4929,Jeremih,/track?id=15935671,https://www.tiktok.com/music/Oui-242507479799164929,Universal Music Group,"Nov 28, 2019",13,101K,2.7M,6,"Jan 22, 2022",23,-0.29,USUM71513397
51,New,Crazy,,,,https://www.tiktok.com/music/null,,"Feb 8, 2020",159,100K,125K,36,"Mar 26, 2022",3,,GBSUW1827803
52,-3,Dip (Remix),,MIP,/track?id=73506256,https://www.tiktok.com/music/null,MIPRAPZ,"Mar 24, 2020",62,100K,869K,23,"Feb 26, 2022",12,-0.43,GBSMU7212202
53,-1,THATS WHAT I WANT,S6005,Lil Nas X,/track?id=60290154,https://www.tiktok.com/music/original-sound-7012418685637856005,Columbia,"Sep 16, 2021",18,99K,2.2M,2,"Jan 29, 2022",16,-0.14,USSM12105732
54,New,Can't Get You out of My Head (La La La Remix),,System Society,/track?id=55613302,https://www.tiktok.com/music/null,EDM Anthems,"Nov 11, 2020",171,92K,92K,54,"Mar 19, 2022",1,,AUXN22098357
55,-47,Streets x Blood Sweat & Tears,,,,https://www.tiktok.com/music/null,,"Mar 6, 2022",101,91K,460K,8,"Mar 12, 2022",2,-6.71,VNHNH2200151
56,New,Beautiful girls - Pt 2,S8593,Biggergoat donnyp,/track?id=75348567,https://www.tiktok.com/music/Beautiful-girls-Pt-2-7067288007337838593,3535612 Records DK,"Feb 20, 2022",158,90K,125K,51,"Mar 26, 2022",4,,QZDA52296618
57,5,Right Foot Creep,S4530,YoungBoy Never Broke Again,/track?id=31306340,https://www.tiktok.com/music/Right-Foot-Creep-6871082689080854530,"Never Broke Again, LLC","Sep 10, 2020",35,90K,1.5M,49,"Mar 5, 2022",32,0.71,USAT22005616
58,New,"Nobody Like U - From ""Turning Red""/Chorus",,,,https://www.tiktok.com/music/null,,"Feb 10, 2022",168,87K,104K,21,"Mar 26, 2022",13,,USWD12213873
59,10,Thong Song,S2673,Sisqo,/track?id=15235735,https://www.tiktok.com/music/Thong-Song-Remix-Explicit-6929150679265052673,Virgin EMI,"Sep 2, 2019",140,87K,177K,59,"Mar 19, 2022",4,1.43,USDJ29905218
60,-2,Own Brand Freestyle,S2386,"FelixThe1st, Dréya Mac, Finch Fetti",/track?id=64396060,https://www.tiktok.com/music/Own-Brand-Freestyle-7019087686937872386,FelixThe1st,"Nov 18, 2021",7,87K,5.8M,1,"Dec 11, 2021",26,-0.29,QZK6J2144340
61,New,Just a Cloud Away,S2577,Pharrell Williams,/track?id=15610750,https://www.tiktok.com/music/Just-a-Cloud-Away-6795407744489752577,Back Lot Music,"Feb 19, 2020",172,84K,86K,1,"Mar 26, 2022",12,,USQ4E1300685
62,-8,Beat His Ass,S5250,BigMoneyHundun,/track?id=56197850,https://www.tiktok.com/music/Beat-His-Ass-6810289195660085250,1617467 Records DK,"Mar 30, 2020",88,83K,546K,39,"Mar 5, 2022",11,-1.14,QZDA52053949
63,-7,Dans le vide,S9522,funzfbk,/track?id=73569084,https://www.tiktok.com/music/Dans-le-vide-7063705509820139522,Singo.io,"Feb 11, 2022",91,83K,512K,38,"Mar 5, 2022",13,-1.00,DE1CV2201529
64,New,Return,,,,https://www.tiktok.com/music/null,,"Mar 1, 2022",169,82K,102K,64,"Mar 19, 2022",3,,QZ5FN2281517
