Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,0,Big Spender (feat. Troof),S5345,"C tha Future, Troof",/track?id=14280122,https://www.tiktok.com/music/Big-Spender-feat-Troof-6751229944891705345,C tha Future,"Oct 23, 2019",34,781K,1.4M,1,"Jan 8, 2022",5,0.00,TCABS1303835
2,0,Intro,,"Guapo Laced, Killa Cam",/track?id=69287530,https://www.tiktok.com/music/null,Out The Gate Records,"Oct 17, 2019",36,757K,1.4M,2,"Jan 8, 2022",13,0.00,QZHN81919647
3,0,Spender 2020 Freestyle,,"Tana2Raw, Omardafat",/track?id=69287515,https://www.tiktok.com/music/null,1407941 Records DK,"May 24, 2020",37,756K,1.4M,2,"Jan 22, 2022",6,0.00,QZHN42012253
4,4,Something About You (feat. Dent May),S2418,"Eyedress, Dent May",/track?id=46968655,https://www.tiktok.com/music/Something-About-You-feat-Dent-May-6962068142092732418,Lex Records,"May 13, 2021",28,434K,1.6M,4,"Jan 15, 2022",24,0.57,GBMYF2000174
5,New,Throw It Back,S4802,"TarioP, ShantiiP",/track?id=69292042,https://www.tiktok.com/music/Throw-It-Back-Abow-7050124828033484802,TarioP,"Jan 5, 2022",100,409K,420K,5,"Jan 15, 2022",4,,QZJG52221275
6,New,Jenny (I Wanna Ruin Our Friendship),S4629,Studio Killers,/track?id=13113316,https://www.tiktok.com/music/Jenny-Hearteye-Speed-Mix-7037203934725114629,Universal Music Oy,"Dec 3, 2020",44,404K,1.2M,6,"Jan 15, 2022",2,,GBX2M1300001
7,3,oui,S4929,Jeremih,/track?id=15935671,https://www.tiktok.com/music/Oui-242507479799164929,Universal Music Group,"Nov 28, 2019",66,392K,851K,6,"Jan 22, 2022",23,0.43,USUM71513397
8,-4,Own Brand Freestyle,S2386,"FelixThe1st, Dréya Mac, Finch Fetti",/track?id=64396060,https://www.tiktok.com/music/Own-Brand-Freestyle-7019087686937872386,FelixThe1st,"Nov 18, 2021",9,381K,4.3M,1,"Dec 11, 2021",26,-0.57,QZK6J2144340
9,6,Love Grows (Where My Rosemary Goes),S7569,Edison Lighthouse,/track?id=19841060,https://www.tiktok.com/music/Love-Grows-6728858648203757569,Crimson,"Dec 14, 2019",70,320K,805K,9,"Jan 15, 2022",8,0.86,GBBPJ9800675
10,-3,COMMA$,S9202,Curtis Roach,/track?id=65331133,https://www.tiktok.com/music/COMMA-7016196298508339202,Curtis Roach,"Oct 6, 2021",12,315K,3M,6,"Feb 5, 2022",17,-0.43,SGB502101619
11,77,Lost in the Fire,S5423,"Gesaffelstein, The Weeknd",/track?id=22260550,https://www.tiktok.com/music/Lost-in-the-Fire-5000000001453895423,Columbia,"Aug 17, 2019",46,246K,1.2M,8,"Jan 22, 2022",22,11.00,USQX91803314
12,9,These Days,S3937,Nico,/track?id=15309762,https://www.tiktok.com/music/These-Days-6929763762322343937,Universal Music Special Imports,"Sep 2, 2019",99,241K,427K,12,"Jan 15, 2022",3,1.29,USF096625390
13,-8,Half On a Sack,,Three 6 Mafia,/track?id=15777995,https://www.tiktok.com/music/null,Hypnotize Minds/Sony Urban Music/Columbia,"Aug 16, 2019",69,236K,836K,5,"Jan 8, 2022",6,-1.14,USSM10504869
14,5,We Don't Talk About Bruno,S2322,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",/track?id=66986384,https://www.tiktok.com/music/We-Don't-Talk-About-Bruno-7032019094467512322,Walt Disney Records,"Nov 11, 2021",85,227K,578K,2,"Feb 5, 2022",18,0.71,USWD12112915
15,-6,Giddy Up Let's Ride,S3921,Kinsu,/track?id=15889163,https://www.tiktok.com/music/Giddy-Up-Let's-Ride-6914959998422353921,Blunt Recordings,"Jan 6, 2021",73,217K,783K,9,"Jan 8, 2022",9,-0.86,USTV19700304
16,29,Town,S9090,"Kblast, Mighty Bay",/track?id=69235391,https://www.tiktok.com/music/Town-7047650922994649090,Astroknot Sounds,"Dec 30, 2021",120,203K,318K,16,"Jan 15, 2022",6,4.14,QZTGW2100693
17,0,Breakin' My Heart (Pretty Brown Eyes),S6545,Mint Condition,/track?id=15605754,https://www.tiktok.com/music/BreakinMy-Heart-Pretty-Brown-Eyes-6932073408150636545,Universal Music Mexico S.A. de C.V. (Polystar),"Sep 3, 2019",101,202K,416K,16,"Jan 22, 2022",14,0.00,USPR39104445
18,New,B.E.D. - Remix,S7520,"Jacquees, Ty Dolla $ign, Quavo",/track?id=15194539,https://www.tiktok.com/music/BED-Remix-270070141902827520,Cash Money,"Sep 2, 2019",130,194K,265K,18,"Jan 15, 2022",12,,USCM51700296
19,New,B.E.D. - Remix,,"Jacquees, Ty Dolla $ign, Quavo",/track?id=15194540,https://www.tiktok.com/music/null,Cash Money,"Sep 2, 2019",131,194K,264K,19,"Jan 15, 2022",12,,USCM51700297
20,5,TO THE MOON,S1921,"Jnr Choi, Sam Tompkins",/track?id=65782871,https://www.tiktok.com/music/TO-THE-MOON-7025056274156881921,Independent,"Oct 30, 2021",83,189K,623K,20,"Jan 15, 2022",5,0.71,QZNWW2131527
21,-5,Frontin' (feat. Jay-Z) (Club Mix),,"Pharrell Williams, JAY-Z",/track?id=15049196,https://www.tiktok.com/music/null,Arista,"Aug 16, 2019",25,181K,1.7M,2,"Dec 18, 2021",11,-0.71,USAR10300553
22,-11,Bussy Butts,S4913,"Ree Ree KappAlot, Ken Kelle",/track?id=38866458,https://www.tiktok.com/music/Bussy-Butts-6778593417954854913,Ree Ree KappAlot & Ken Kelle,"Jan 4, 2020",48,176K,1.2M,6,"Jan 1, 2022",12,-1.57,TCAEH1957648
23,10,My Little Love,S2306,Adele,/track?id=66909696,https://www.tiktok.com/music/My-Little-Love-7032029299402082306,Columbia,"Nov 17, 2021",78,159K,728K,23,"Jan 15, 2022",17,1.43,USSM12105971
24,3,Material Girl,S9633,Saucy Santana,/track?id=26906168,https://www.tiktok.com/music/Material-Girl-Bass-Boosted-7026792865289029633,Saucy Santana / StreamCut,"Jan 6, 2020",35,154K,1.4M,20,"Nov 20, 2021",21,0.43,QZ5FA1950664
25,14,Freakum Dress (Album Version),S4145,Beyoncé,/track?id=15779564,https://www.tiktok.com/music/Freakum-Dress-Album-Version-6696420346582534145,Sony Urban Music/Columbia,"Aug 16, 2019",103,153K,407K,25,"Jan 15, 2022",7,2.00,USSM10603615
