Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,New,Disco Edit - Extended Mix,,,,https://www.tiktok.com/music/null,,"Nov 22, 2022",82,557K,562K,1,"Dec 3, 2022",13,,QZTB22288276
2,0,Baby Got Back,S4401,Sir Mix-A-Lot,/track?id=15815307,https://www.tiktok.com/music/Baby-Got-Back-7029297802328934401,American Recordings,"Sep 2, 2019",4,449K,9M,1,"Sep 4, 2021",44,0.00,USSM19100221
3,0,6000 Degrees (AH HA),S6187,$hyfromdatre,/track?id=94305158,https://www.tiktok.com/music/6000-degrees-x-Shyfromdatre-7143416796954086187,$hyfromdatre,"Oct 18, 2022",20,401K,2.9M,1,"Nov 12, 2022",16,0.00,QZNMX2254862
4,5,Beat it,S1722,"Brock, 2rare, Bril, JMoney",/track?id=91000883,https://www.tiktok.com/music/Beat-it-7144098326881831722,1xentertainment,"Aug 28, 2022",57,385K,988K,4,"Dec 3, 2022",9,0.71,QZNWT2253480
5,3,Beat it,S1722,"Brock, 2rare, Bril, JMoney",/track?id=91000883,https://www.tiktok.com/music/Beat-it-7144098326881831722,1xentertainment,"Aug 27, 2022",53,378K,1.1M,5,"Dec 3, 2022",10,0.43,QZNWT2253480
6,-2,Here With Me,S3233,d4vd,/track?id=85215303,https://www.tiktok.com/music/Here-With-Me-7138509752509663233,3519830 Records DK,"Sep 22, 2022",39,339K,1.4M,4,"Nov 26, 2022",25,-0.29,QZMEM2209263
7,7,Rich Flex,S0610,"Drake, 21 Savage",/track?id=95124968,https://www.tiktok.com/music/Rich-Flex-7162017080122820610,OVO / Republic Records,"Nov 3, 2022",47,298K,1.2M,7,"Dec 3, 2022",12,1.00,USUG12208598
8,-1,L$d,S4433,Luclover,/track?id=80001990,https://www.tiktok.com/music/Ld-7085791307943954433,independent,"Apr 11, 2022",1,280K,14M,1,"Jul 23, 2022",39,-0.14,QZHN42243265
9,12,Rich Flex,,"Drake, 21 Savage",/track?id=95127815,https://www.tiktok.com/music/null,OVO/Republic,"Nov 3, 2022",67,244K,816K,9,"Dec 3, 2022",12,1.71,USUG12208614
10,18,All I Want for Christmas Is You,S3553,Mariah Carey,/track?id=15816657,https://www.tiktok.com/music/All-I-Want-For-Christmas-Is-You-6741350408557463553,Columbia,"Aug 17, 2019",8,238K,6.9M,2,"Dec 25, 2021",19,2.57,USSM19400325
