Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,0,Just a Cloud Away,S2577,Pharrell Williams,/track?id=15610750,https://www.tiktok.com/music/Just-a-Cloud-Away-6795407744489752577,Back Lot Music,"Feb 19, 2020",19,1.2M,2.1M,1,"Mar 26, 2022",12,0.00,USQ4E1300685
2,New,subway trend,,,,https://www.tiktok.com/music/null,,"Mar 27, 2022",76,645K,645K,2,"Apr 2, 2022",6,,QZES82257152
3,-1,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"Aug 23, 2019",8,604K,4.3M,1,"Feb 26, 2022",15,-0.14,USA3D0700101
4,New,Alright,S6538,Nardo Wick,/track?id=68087949,https://www.tiktok.com/music/Alright-7078923689189706538,Flawless Ent./RCA Records,"Dec 2, 2021",89,447K,476K,4,"Apr 2, 2022",6,,USRC12103524
5,-2,Cool for the Summer,S3664,Demi Lovato,/track?id=15393958,https://www.tiktok.com/music/Cool-for-the-Summer-252516769129713664,Universal Music,"Sep 3, 2019",34,370K,1.5M,3,"Mar 26, 2022",15,-0.29,USHR11536621
6,New,Not that deep,S7058,Lil Damn,/track?id=78048238,https://www.tiktok.com/music/Not-that-deep-7078126631159597058,1558287 Records DK,"Mar 22, 2022",108,328K,332K,6,"Apr 2, 2022",5,,QZES72264299
7,94,My Name Is,S9778,D Billions,/track?id=32290489,https://www.tiktok.com/music/My-Name-Is-6896221138586699778,MediaCube Music,"Nov 16, 2020",95,322K,393K,7,"Apr 2, 2022",11,13.43,AEA0D2053268
8,New,I Like,S3985,Guy,/track?id=15535958,https://www.tiktok.com/music/I-Like-6917464269244073985,Universal Music Division Barclay,"Sep 2, 2019",115,274K,287K,2,"Apr 16, 2022",15,,USMC18825792
9,New,Big Girls Don't Cry (Personal),S1712,Fergie,/track?id=15903719,https://www.tiktok.com/music/Big-Girls-Dont-Cry-Personal-5000000001444411712,will.i.am music group/A&M,"Sep 5, 2019",116,263K,284K,9,"Apr 2, 2022",4,,USUM70609115
10,-6,Cash App,S6129,Louie Ray,/track?id=51874909,https://www.tiktok.com/music/Cash-App-6979505394108336129,Still Grinding Entertainment,"Jun 29, 2021",11,260K,2.7M,1,"Mar 19, 2022",11,-0.86,QZK6P2117585
11,-6,Rackz got më,S8658,"Yeat, Gunna",/track?id=73613628,https://www.tiktok.com/music/Rackz-got-më-7063659154514118658,Field Trip Recordings/Geffen Records,"Feb 11, 2022",68,256K,717K,5,"Mar 26, 2022",8,-0.86,USUM72202185
12,0,Bestie,S7169,"DaBaby, YoungBoy Never Broke Again",/track?id=75292748,https://www.tiktok.com/music/Bestie-7070866752007047169,South Coast Music Group / Interscope Records / Atlantic Records,"Mar 2, 2022",47,238K,1.1M,10,"Mar 12, 2022",20,0.00,USUM72202750
13,-5,Blood Sweat & Tears,S8945,BTS,/track?id=13397048,https://www.tiktok.com/music/Blood-Sweat-Tears-Japanese-ver-6976098489184978945,Bighit Entertainment,"Aug 19, 2019",58,236K,944K,8,"Mar 26, 2022",7,-0.71,KRA381601892
14,New,I Like,S3985,Guy,/track?id=15535958,https://www.tiktok.com/music/I-Like-6917464269244073985,Universal Music Division Barclay,"Sep 2, 2019",126,235K,237K,5,"Apr 9, 2022",4,,USMC18825792
15,New,I Like,S3985,Guy,/track?id=15535958,https://www.tiktok.com/music/I-Like-6917464269244073985,Universal Music Division Barclay,"Sep 5, 2019",125,234K,239K,3,"Apr 23, 2022",10,,USMC18825792
16,11,Sunroof,S6594,"Nicky Youre, dazy",/track?id=67502648,https://www.tiktok.com/music/Sunroof-7030869625311086594,Thirty Knots,"Nov 14, 2021",51,232K,1M,3,"May 14, 2022",63,1.57,QM24S2107064
17,-11,Rackz got më,S7281,"Yeat, Gunna",/track?id=75299626,https://www.tiktok.com/music/Rackz-got-më-7080677547440097281,Field Trip Recordings/Geffen Records,"Mar 2, 2022",73,231K,671K,6,"Mar 26, 2022",3,-1.57,USUM72203361
18,New,Back In Town,,,,https://www.tiktok.com/music/null,,"Mar 24, 2022",130,222K,227K,18,"Apr 2, 2022",3,,QZ8252208506
19,7,Until The End Of Time (with Beyoncé),S6258,"Justin Timberlake, Beyoncé",/track?id=15447081,https://www.tiktok.com/music/Until-The-End-Of-Time-with-Beyoncé-7008604549921376258,Jive,"Sep 15, 2021",92,215K,456K,19,"Apr 2, 2022",7,1.00,USJI10700679
20,-5,Bestie,,"DaBaby, YoungBoy Never Broke Again",/track?id=75334246,https://www.tiktok.com/music/null,South Coast Music Group / Interscope Records / Atlantic Records,"Mar 2, 2022",56,212K,963K,14,"Mar 12, 2022",14,-0.71,USUM72202751
21,-14,Cash App,,Louie Ray,/track?id=77589043,https://www.tiktok.com/music/null,Still Grinding,"Mar 19, 2022",85,211K,554K,7,"Mar 26, 2022",7,-2.00,QM4TX2233969
