Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/cayladiane94,https://www.tiktok.com/cayladiane94/video/6917372597252459781,Drink - Extended Dirty,"Lil Jon, LMFAO",/track?id=15948927,https://www.tiktok.com/music/Drink-Dirty-Extended-6706174049652836353,73M,0,6.2M,68.5K,1,"Jan 14, 2021",,95,USUS11200008
2,New,https://www.tiktok.com/iammarcohall,https://www.tiktok.com/iammarcohall/video/6917370506932964613,Monkeys Spinning Monkeys,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,23M,0,4.9M,56.5K,2,"Jan 14, 2021",,60,USUAN1400011
3,-2,https://www.tiktok.com/timothytancre,https://www.tiktok.com/timothytancre/video/6916898497690144006,Snowman,Sia,/track?id=17652389,https://www.tiktok.com/music/Snowman-6675654006678866694,57.9M,0,3M,39.1K,1,"Jan 13, 2021",,89,USAT21704212
4,249,https://www.tiktok.com/vividsandbalayage,https://www.tiktok.com/vividsandbalayage/video/6916700324698885382,I'm Legit,"Nicki Minaj, Ciara",/track?id=15193950,https://www.tiktok.com/music/I'm-Legit-273868876789010432,17.3M,0,3M,16.1K,4,"Jan 14, 2021",,5,USCM51200745
5,New,https://www.tiktok.com/evswizzle,https://www.tiktok.com/evswizzle/video/6917426236994178309,Wind - Howling Nighttime Wind,Nature Sounds,/track?id=19593191,https://www.tiktok.com/music/Wind-Howling-Nighttime-Wind-6764035056781494273,11.3M,0,2.5M,26K,5,"Jan 14, 2021",,69,TCABH1264130
6,New,https://www.tiktok.com/evswizzle,https://www.tiktok.com/evswizzle/video/6917426236994178309,Wind - Howling Nighttime Wind,Nature Sounds,/track?id=19593191,https://www.tiktok.com/music/Wind-Howling-Nighttime-Wind-6764035056781494273,9.8M,0,2.2M,23.3K,5,"Jan 14, 2021",,69,TCABH1264130
7,New,https://www.tiktok.com/addisonre,https://www.tiktok.com/addisonre/video/6917373103869791494,Real Shit (with benny blanco),"Juice WRLD, benny blanco",/track?id=32139940,https://www.tiktok.com/music/Real-Shit-6902275466942482434,13.9M,0,2.5M,59.1K,7,"Jan 14, 2021",,69,USUG12002600
8,New,https://www.tiktok.com/evswizzle,https://www.tiktok.com/evswizzle/video/6917426236994178309,Wind - Howling Nighttime Wind,Nature Sounds,/track?id=19593191,https://www.tiktok.com/music/Wind-Howling-Nighttime-Wind-6764035056781494273,11.3M,0,2.5M,26K,5,"Jan 14, 2021",,69,TCABH1264130
9,New,https://www.tiktok.com/dixiedamelio,https://www.tiktok.com/dixiedamelio/video/6917390049772391685,One Whole Day (feat. Wiz Khalifa),"Dixie, Wiz Khalifa",/track?id=32149747,https://www.tiktok.com/music/One-Whole-Day-feat-Wiz-Khalifa-6902540802321287169,8.5M,0,2M,37.5K,9,"Jan 14, 2021",,103,ZZOPM2003863
10,New,https://www.tiktok.com/charlidamelio,https://www.tiktok.com/charlidamelio/video/6917370508136779014,One Whole Day (feat. Wiz Khalifa),"Dixie, Wiz Khalifa",/track?id=32149747,https://www.tiktok.com/music/One-Whole-Day-feat-Wiz-Khalifa-6902540802321287169,9.4M,0,2M,128.2K,10,"Jan 14, 2021",,85,ZZOPM2003863
