Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/kikakiim,https://www.tiktok.com/kikakiim/video/7036726574145621250,Shine Like Diamonds (Instrumental),,,https://www.tiktok.com/music/Shine-Like-Diamonds-Instrumental-7032491162758580226,21.2M,0,119.5K,1.4K,1,"Dec 2, 2021",,5,
2,98,https://www.tiktok.com/pilotpatrick,https://www.tiktok.com/pilotpatrick/video/7034888662311652613,Shining,,,https://www.tiktok.com/music/Shining-7023576304469411842,16.2M,0,147.9K,996,2,"Dec 2, 2021",,2,
3,New,https://www.tiktok.com/emilesam,https://www.tiktok.com/emilesam/video/7036002922328509702,Spotify Wrapped 2021,,,https://www.tiktok.com/music/Spotify-Wrapped-2021-Spotify-Wrapped-2021-7026930564875683842,9.4M,0,25.5K,548,3,"Dec 2, 2021",,4,
4,New,https://www.tiktok.com/itsjustnifee,https://www.tiktok.com/itsjustnifee/video/7036326035121507590,Spotify Wrapped 2021,,,https://www.tiktok.com/music/Spotify-Wrapped-2021-Spotify-Wrapped-2021-7026930564875683842,9.5M,0,38K,942,4,"Dec 2, 2021",,4,
5,New,https://www.tiktok.com/fahadbadar2,https://www.tiktok.com/fahadbadar2/video/7036847774322773249,"Long, Long Time Ago",Javier Navarrete,/track?id=14659346,"https://www.tiktok.com/music/Long-Long-Time-Ago-Long,-Long-Time-Ago-238996131563794432",9.1M,0,411K,3.1K,5,"Dec 2, 2021",,42,US5940510518
6,New,https://www.tiktok.com/sonyakisa8,https://www.tiktok.com/sonyakisa8/video/7036497216332254466,Infinity,Jaymes Young,/track?id=15093243,https://www.tiktok.com/music/Infinity-7033036433606773506,27.1M,0,5.5M,37.3K,6,"Dec 2, 2021",,68,USAT21700859
7,New,https://www.tiktok.com/kawiiika,https://www.tiktok.com/kawiiika/video/7036195532544478470,Infinity,Jaymes Young,/track?id=15093243,https://www.tiktok.com/music/Infinity-7033036433606773506,34.9M,0,4.1M,17.6K,7,"Dec 2, 2021",,33,USAT21700859
8,New,https://www.tiktok.com/paigelayle,https://www.tiktok.com/paigelayle/video/7036850228670090501,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet",/track?id=15759583,https://www.tiktok.com/music/Let-It-Snow-Let-It-Snow-6715995005141387266,8.1M,0,982.3K,3.2K,8,"Dec 2, 2021",,24,USSM10018232
9,-3,https://www.tiktok.com/hittrends,https://www.tiktok.com/hittrends/video/7021140110544489733,I Love You So,The Walters,/track?id=14312336,https://www.tiktok.com/music/I-Love-You-So-6780888735685806081,106.3M,0,5.1M,35.3K,6,"Dec 1, 2021",,26,TCACC1438995
10,New,https://www.tiktok.com/gabeadams,https://www.tiktok.com/gabeadams/video/7036787143200623878,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",/track?id=60333954,https://www.tiktok.com/music/SAD-GIRLZ-LUV-MONEY-Remix-7007785041036101634,9.8M,0,859.1K,18.1K,10,"Dec 2, 2021",,7,US23A1540104
