Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/willsmith,https://www.tiktok.com/willsmith/video/6948450170279333126,I''m Just A Kid,Simple Plan,/track?id=15073090,https://www.tiktok.com/music/I'm-Just-a-Kid-5000000001355149519,53.4M,0,11.2M,78.5K,1,"Apr 8, 2021",,122,USAT20111234
2,New,https://www.tiktok.com/lilnasx,https://www.tiktok.com/lilnasx/video/6948559118550650118,MONTERO (Call Me By Your Name),Lil Nas X,/track?id=33735279,https://www.tiktok.com/music/MONTERO-BY-LIL-NAS-X-AND-RENIX-6948512364547508998,20.2M,0,3.3M,130K,2,"Apr 8, 2021",,24,USSM12100531
3,New,https://www.tiktok.com/angryreactions,https://www.tiktok.com/angryreactions/video/6948493687852698886,MONTERO (Call Me By Your Name),Lil Nas X,/track?id=33735279,https://www.tiktok.com/music/MONTERO-Call-Me-By-Your-Name-6942551356402042881,22.1M,0,3.9M,11.5K,3,"Apr 8, 2021",,65,USSM12100531
4,New,https://www.tiktok.com/coileray,https://www.tiktok.com/coileray/video/6948547245906218245,BIG PURR (Prrdd) (feat. Pooh Shiesty),"Coi Leray, Pooh Shiesty",/track?id=33738945,https://www.tiktok.com/music/BIG-PURR-Prrdd-6941206457735972866,14.1M,0,2.6M,107.5K,4,"Apr 8, 2021",,27,USUM72104150
5,New,https://www.tiktok.com/xiaomi.italia,https://www.tiktok.com/xiaomi.italia/video/6946485132878466310,Xiaomi Challenge Accepted,,,https://www.tiktok.com/music/Xiaomi-Challenge-Accepted-6945765811608881154,17.7M,0,62K,328,5,"Apr 8, 2021",,2,
6,New,https://www.tiktok.com/lobeeston,https://www.tiktok.com/lobeeston/video/6948562799274626309,Monkeys Spinning Monkeys,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,9.8M,0,1.2M,19.4K,6,"Apr 8, 2021",,19,USUAN1400011
7,New,https://www.tiktok.com/maycineeley,https://www.tiktok.com/maycineeley/video/6948575421596192005,Bongo Cha Cha Cha,Caterina Valente,/track?id=22930135,https://www.tiktok.com/music/Bongo-cha-cha-cha-Remastered-6927076140512135170,9.2M,0,1.3M,9.9K,7,"Apr 8, 2021",,7,ITAA11003059
8,New,https://www.tiktok.com/alfamartku,https://www.tiktok.com/alfamartku/video/6948328833439337729,Colorful World,Shayna Rose,/track?id=14295924,https://www.tiktok.com/music/COLORFUL-WORLD-6944957181594699778,14.2M,0,63.3K,148,1,"Apr 9, 2021",,2,TCABX1467834
9,New,https://www.tiktok.com/sethvideoz,https://www.tiktok.com/sethvideoz/video/6948500167616236806,Sunny Day,Matteo Rossanese,/track?id=45984770,https://www.tiktok.com/music/Sunny-Day-6773851609840486402,14.1M,0,2.8M,37.4K,9,"Apr 8, 2021",,29,QZHN92130190
10,-9,https://www.tiktok.com/krysandkareem,https://www.tiktok.com/krysandkareem/video/6948059880607485189,Monster,"LUM!X, Gabry Ponte",/track?id=22858728,https://www.tiktok.com/music/Monster-6764388127734761473,36.5M,0,4.5M,24.9K,1,"Apr 7, 2021",,116,ITV951900009
11,New,https://www.tiktok.com/caine0024,https://www.tiktok.com/caine0024/video/6948553388321819909,morgen meditation - guidet meditation,,,https://www.tiktok.com/music/morgen-meditation-guidet-meditation-6820238050967177989,9.9M,0,2.3M,51K,11,"Apr 8, 2021",,9,
12,New,https://www.tiktok.com/tridente_shop,https://www.tiktok.com/tridente_shop/video/6948076739948023046,Dale Don Dale,Don Omar,/track?id=15898488,https://www.tiktok.com/music/Dale-Don-Dale-6804356952424974338,30.4M,0,482.2K,1.9K,9,"Apr 9, 2021",,93,USUL10401660
13,-7,https://www.tiktok.com/xfinds,https://www.tiktok.com/xfinds/video/6947660626458103046,LudovicoEinaudi(Perfect Mix),,,https://www.tiktok.com/music/LudovicoEinaudi-Perfect-Mix-6876473390434093064,49.8M,0,2.4M,11.5K,1,"Apr 6, 2021",,53,
14,New,https://www.tiktok.com/boltandbanksy,https://www.tiktok.com/boltandbanksy/video/6948618373810916610,Bongo Cha Cha Cha,Caterina Valente,/track?id=22930135,https://www.tiktok.com/music/Bongo-cha-cha-cha-Remastered-6927076140512135170,7.3M,0,1.4M,6.4K,14,"Apr 8, 2021",,24,ITAA11003059
15,New,https://www.tiktok.com/joshnasar,https://www.tiktok.com/joshnasar/video/6948540307113921797,Walking On The Sun,The Hit Crew,/track?id=14560761,https://www.tiktok.com/music/Walking-On-The-Sun-6728879758823655425,7.8M,0,1.4M,4.5K,15,"Apr 8, 2021",,39,US2Y30738966
16,New,https://www.tiktok.com/realgavinmayo,https://www.tiktok.com/realgavinmayo/video/6948465083156598022,MONTERO (Call Me By Your Name),Lil Nas X,/track?id=33735279,https://www.tiktok.com/music/MONTERO-Call-Me-By-Your-Name-6942551356402042881,7.8M,0,509.7K,1.2K,16,"Apr 8, 2021",,2,USSM12100531
