Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,New,Fury,,,,https://www.tiktok.com/music/null,,"May 21, 2022",41,1.1M,1.1M,1,"May 28, 2022",8,,QZ8252214389
2,0,Go Around,S6369,Saino Freedoni,/track?id=82917870,https://www.tiktok.com/music/Go-Around-7094705776740026369,Saino Freedoni,"May 5, 2022",33,909K,1.5M,2,"May 21, 2022",8,0.00,SE6I32293794
3,-2,About Damn Time,S1762,Lizzo,/track?id=79572011,https://www.tiktok.com/music/About-Damn-Time-7086201843973621762,Nice Life/Atlantic,"Apr 12, 2022",11,740K,3.3M,1,"May 14, 2022",18,-0.29,USAT22202139
4,1,Jiggle Jiggle,S0294,"Duke & Jones, Louis Theroux",/track?id=82257926,https://www.tiktok.com/music/Jiggle-Jiggle-7075729123557100294,Robots & Humans,"May 11, 2022",44,476K,1.1M,4,"May 28, 2022",18,0.14,GBARL2201151
5,-2,Gogo Dance,S1557,"El Alfa, Chael Produciendo",/track?id=79457193,https://www.tiktok.com/music/Gogo-Dance-7087744357444471557,EL JEFE RECORDS,"Apr 4, 2022",37,421K,1.3M,3,"May 21, 2022",14,-0.29,QM4TX2261587
6,2,Sunroof,S6594,"Nicky Youre, dazy",/track?id=67502648,https://www.tiktok.com/music/Sunroof-7030869625311086594,Thirty Knots,"Nov 14, 2021",9,374K,3.7M,3,"May 14, 2022",63,0.29,QM24S2107064
7,0,FWM,S0578,Big Boogie,/track?id=68685144,https://www.tiktok.com/music/FWM-7045161592740120578,CMG,"Dec 22, 2021",39,372K,1.2M,7,"May 21, 2022",13,0.00,USUG12106598
8,1,So Silly! (G-Mix),S1217,"YungManny, Koto.",/track?id=82435183,https://www.tiktok.com/music/So-Silly-GMix-7095919748038281217,3666217 Records DK2,"May 9, 2022",51,363K,867K,8,"May 28, 2022",15,0.14,QZHN92252505
9,-3,Foolish Chances Freestyle (Not Foolish),S5218,Sway Burr,/track?id=82220838,https://www.tiktok.com/music/Foolish-Chances-Freestyle-Not-Foolish-7095877721548425218,Sway Burr,"May 8, 2022",47,321K,977K,6,"May 21, 2022",12,-0.43,TCAGF2203422
10,4,Detroit Flow,S7106,Liberia Sig,/track?id=64602850,https://www.tiktok.com/music/Detroit-Flow-6982644025459247106,Liberia Sig,"Jul 7, 2021",59,306K,654K,10,"May 28, 2022",11,0.57,QZNMW2106205
11,New,Tony Hawk’s,,,,https://www.tiktok.com/music/null,,"May 19, 2022",109,276K,287K,11,"May 28, 2022",3,,QZHNB2248440
12,0,Drowning (feat. Kodak Black),,"A Boogie Wit da Hoodie, Kodak Black",/track?id=15093029,https://www.tiktok.com/music/null,Highbridge The Label,"Aug 22, 2019",68,253K,573K,12,"May 21, 2022",11,0.00,USAT21700435
13,9,We Not Humping - Remix,S1470,"Monaleo, Flo Milli",/track?id=79887756,https://www.tiktok.com/music/We-Not-Humping-Remix-7095938597865671470,Stomp Down,"Mar 22, 2022",71,249K,549K,13,"May 28, 2022",11,1.29,QM4TX2237923
14,-3,Shes Buff,,"Beatdemons, Ssj9k",/track?id=80559385,https://www.tiktok.com/music/null,Beatdemons LLC & Beatstars Publishing by SonyPub,"Apr 23, 2022",26,232K,1.8M,2,"May 7, 2022",13,-0.43,QZHN62253854
15,-5,so silly !,S6562,Koto.,/track?id=75486459,https://www.tiktok.com/music/so-silly-7072080951102146562,1168634 Records DK,"Mar 5, 2022",40,209K,1.1M,5,"May 14, 2022",13,-0.71,QZDA82260364
16,New,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"May 11, 2022",131,204K,205K,2,"Jun 11, 2022",46,,USA3D0700101
17,New,"EU JA SOFRI POR AMOR MAS NÃO SOFRO MAIS, AGORA O 212 VIP EXALA",S0865,"burberryboi, DN BRAZAO",/track?id=83106032,https://www.tiktok.com/music/EU-JA-SOFRI-POR-AMOR-MAS-NÃO-SOFRO-MAIS-AGORA-O-212-VIP-EXALA-7099657831439140865,3918602 Records DK,"May 19, 2022",132,201K,201K,17,"May 28, 2022",2,,QZHNB2281442
18,New,Come Over (Sped Up - TikTok Version),,Jhacari,/track?id=83241474,https://www.tiktok.com/music/null,"Under Exclusive License to Arena Music Productions, LLC","May 22, 2022",134,200K,200K,18,"May 28, 2022",9,,QZ5FA2250080
19,98,so silly !,,Koto.,/track?id=83339970,https://www.tiktok.com/music/null,3951578 Records DK,"May 17, 2022",129,161K,207K,19,"May 28, 2022",3,14.00,QZHNB2236652
20,10,Me Porto Bonito,S8694,"Bad Bunny, Chencho Corleone",/track?id=81301171,https://www.tiktok.com/music/Me-Porto-Bonito-7094499898527058694,Rimas Entertainment LLC,"May 4, 2022",93,159K,341K,20,"May 28, 2022",20,1.43,QM6MZ2214877
21,2,Love in This Club (feat. Young Jeezy),S9322,"Usher, Jeezy",/track?id=15484175,https://www.tiktok.com/music/Love-in-This-Club-feat-Jeezy-Young-Jeezy-59322,EMI TV,"Aug 16, 2019",17,146K,2.5M,1,"Apr 23, 2022",14,0.29,USLF20800001
22,13,environmenter,,,,https://www.tiktok.com/music/null,,"May 12, 2022",110,146K,284K,22,"May 28, 2022",2,1.86,QZHNA2252588
23,New,Foolish Chances Freestyle (Not Foolish),S5218,Sway Burr,/track?id=82220838,https://www.tiktok.com/music/Foolish-Chances-Freestyle-Not-Foolish-7095877721548425218,Sway Burr,"May 19, 2022",100,144K,322K,16,"Jun 4, 2022",10,,TCAGF2203422
24,New,United In Grief,S8401,Kendrick Lamar,/track?id=82295568,https://www.tiktok.com/music/United-In-Grief-7101801022569318401,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,"May 12, 2022",151,134K,137K,24,"May 28, 2022",2,,USUM72208961
25,9,Bitter,,,,https://www.tiktok.com/music/null,,"May 11, 2022",99,130K,324K,25,"May 28, 2022",3,1.29,QZ8252213403
26,2,Wait a Minute!,S0946,WILLOW,/track?id=13904490,https://www.tiktok.com/music/Wait-a-Minute-6740534003704530946,Roc Nation W Smith P&D,"Sep 2, 2019",22,125K,2.1M,24,"May 14, 2022",22,0.29,QMJMT1500801
27,18,Shake Senora (feat. T-Pain & Sean Paul),S7158,"Pitbull, T-Pain, Sean Paul",/track?id=15441326,https://www.tiktok.com/music/Shake-Senora-feat-T-Pain-Sean-Paul-6948155699897617158,Mr.305/Polo Grounds Music/J Records,"Aug 16, 2019",96,125K,333K,27,"May 28, 2022",8,2.57,USJAY1100093
28,20,Shake Senora (feat. T-Pain & Sean Paul),S7158,"Pitbull, T-Pain, Sean Paul",/track?id=15441326,https://www.tiktok.com/music/Shake-Senora-feat-T-Pain-Sean-Paul-6948155699897617158,Mr.305/Polo Grounds Music/J Records,"Aug 16, 2019",97,123K,329K,28,"May 28, 2022",3,2.86,USJAY1100093
29,New,Other Father Song,S7329,They Might Be Giants,/track?id=16583709,https://www.tiktok.com/music/Other-Father-Song-57329,eOne Music,"Aug 12, 2020",142,120K,167K,29,"May 28, 2022",3,,USKO10900199
30,19,Quandale dingle The Race,S3377,ihymiaa,/track?id=82618531,https://www.tiktok.com/music/Quandale-dingle-The-Race-7096255055111653377,3867736 Records DK,"May 9, 2022",111,119K,283K,30,"May 28, 2022",4,2.71,QZHN92277937
31,9,"Quandale dingle ""The Race"" Freestyle cover",S6994,RKsmelly,/track?id=81731324,https://www.tiktok.com/music/Quandale-dingle-The-Race-Freestyle-7095125338027476994,3874058 Records DK,"May 6, 2022",108,118K,300K,31,"May 28, 2022",3,1.29,QZHN92229144
32,-28,Love You So,S5713,The King Khan & BBQ Show,/track?id=14911275,https://www.tiktok.com/music/Love-You-So-6728562975734515713,In The Red,"Aug 23, 2019",3,117K,8.2M,1,"Feb 26, 2022",15,-4.00,USA3D0700101
33,62,Hug Me,S1326,"Pharrell Williams, Trey Parker",/track?id=15611409,https://www.tiktok.com/music/Hug-Me-7101540683290561326,i am OTHER/Columbia,"Aug 16, 2019",72,117K,549K,4,"Jun 18, 2022",20,8.86,USQ4E1702974
34,-7,WAIT FOR U (feat. Drake & Tems),,"Future, Tems, Drake",/track?id=80526730,https://www.tiktok.com/music/null,Epic/Freebandz,"Apr 28, 2022",78,117K,495K,26,"May 14, 2022",13,-1.00,USSM12203878
35,-2,I Like,S3985,Guy,/track?id=15535958,https://www.tiktok.com/music/I-Like-6917464269244073985,Universal Music Division Barclay,"Sep 2, 2019",12,116K,3.2M,2,"Apr 16, 2022",15,-0.29,USMC18825792
