Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,New,https://www.tiktok.com/joshplaysdrums,https://www.tiktok.com/joshplaysdrums/video/7018624794438405381,Squid Game,,,https://www.tiktok.com/music/Squid-Game-7012032012362745857,18.7M,0,2.6M,4.2K,1,"Oct 14, 2021",,14,
2,New,https://www.tiktok.com/sawitri_nopela,https://www.tiktok.com/sawitri_nopela/video/7018731913313586459,Monkeys Spinning Monkeys,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,10.4M,0,891.2K,2.7K,2,"Oct 14, 2021",,1,USUAN1400011
3,New,https://www.tiktok.com/camilo,https://www.tiktok.com/camilo/video/7017970217812856069,Índigo,"Camilo, Evaluna Montaner",/track?id=63841833,https://www.tiktok.com/music/Índigo-7016825081682724865,20.6M,0,2.2M,10.4K,3,"Oct 14, 2021",,92,USSD12100733
4,New,https://www.tiktok.com/aurora.pixie.moon,https://www.tiktok.com/aurora.pixie.moon/video/7018617053074459910,Space Girl,Frances Forever,/track?id=29194827,https://www.tiktok.com/music/Space-Girl-6805761702466947073,12.8M,0,4.2M,10.1K,4,"Oct 14, 2021",,42,QZFZ72019335
5,New,https://www.tiktok.com/sydsmithtattoo,https://www.tiktok.com/sydsmithtattoo/video/7018721171931680006,Praise God,Kanye West,/track?id=58410694,https://www.tiktok.com/music/Praise-God-7001960007587596290,7.8M,0,1.1M,8.4K,5,"Oct 14, 2021",,3,USUM72116287
6,New,https://www.tiktok.com/mimisskate,https://www.tiktok.com/mimisskate/video/7018575427077754114,Said Sum (feat. City Girls & DaBaby) - Remix,"Moneybagg Yo, City Girls, DaBaby",/track?id=31380700,https://www.tiktok.com/music/Said-Sum-Remix-6875609779822168838,12.1M,0,1.8M,9.1K,6,"Oct 14, 2021",,1,USUM72017281
7,New,https://www.tiktok.com/xoteam,https://www.tiktok.com/xoteam/video/7018550387724848386,Sweet but Psycho,Ava Max,/track?id=20400198,https://www.tiktok.com/music/Sweet-but-Psycho-6590960794924484614,11.6M,0,1.2M,6.2K,7,"Oct 14, 2021",,55,USAT21802011
8,New,https://www.tiktok.com/cotton3611,https://www.tiktok.com/cotton3611/video/7018714711705292038,Gangsta's Paradise,"Coolio, L.V.",/track?id=15858008,https://www.tiktok.com/music/Gangsta's-Paradise-feat-LV-222673211245604864,7.5M,0,561.3K,9.5K,8,"Oct 14, 2021",,63,USTB10400128
9,New,https://www.tiktok.com/stepzahyoutube,https://www.tiktok.com/stepzahyoutube/video/7018718398850813190,Tiptoe Through the Tulips Type Beat,Ne Skazhu,/track?id=36155698,https://www.tiktok.com/music/Tiptoe-Through-the-Tulips-Type-Beat-6778600652865013762,7M,0,843K,19.2K,9,"Oct 14, 2021",,13,QZFYW2039621
10,New,https://www.tiktok.com/apidchulo,https://www.tiktok.com/apidchulo/video/7018485872081243419,Day 'N' Nite - Crookers Remix,"Kid Cudi, Crookers",/track?id=15913376,https://www.tiktok.com/music/Day-N-Nite-Crookers-Remix-Day-'N'-Nite---Crookers-Remix-6930969321153759234,12.6M,0,2M,19K,10,"Oct 14, 2021",,7,USUM70957532
11,New,https://www.tiktok.com/janofahchiny,https://www.tiktok.com/janofahchiny/video/7018374849844333851,Happy Cute & Playful,Yevhen Lokhmatov,/track?id=43046624,https://www.tiktok.com/music/Happy-Cute-Playful-6942558046610524162,5.8M,0,304.4K,20.4K,11,"Oct 14, 2021",,1,GBSMU9768549
12,29,https://www.tiktok.com/izzyandmarysdad,https://www.tiktok.com/izzyandmarysdad/video/7015451171871640837,Pink Soldiers,23,/track?id=61266966,https://www.tiktok.com/music/Pink-Soldiers-7011006288477816834,52.4M,0,2.5M,70.6K,12,"Oct 14, 2021",,28,KRA492100881
13,New,https://www.tiktok.com/bugworkout,https://www.tiktok.com/bugworkout/video/7018669359556005121,Passarinho Que Som É Esse,"DJ TOPO, Mc Cyclope, MC PR",/track?id=56130227,https://www.tiktok.com/music/Passarinho-Que-Som-É-Esse-6987176360137640709,5.7M,0,125.8K,253,13,"Oct 14, 2021",,21,QZMZ92150555
14,-8,https://www.tiktok.com/king.science,https://www.tiktok.com/king.science/video/7017901630469180677,TWINNEM,Coi Leray,/track?id=60930880,https://www.tiktok.com/music/TWINNEM-7010104873886698246,24M,0,3.3M,23.9K,2,"Oct 12, 2021",,75,USUM72115284
15,New,https://www.tiktok.com/nykolasteles,https://www.tiktok.com/nykolasteles/video/7018330411004742918,Venom - Music From The Motion Picture,Eminem,/track?id=20492274,https://www.tiktok.com/music/Venom-Music-From-The-Motion-Picture-6917526009721931778,15.3M,0,2.4M,74.5K,15,"Oct 14, 2021",,28,USUM71813345
