Rank,Change,User Link,Video Link,Track,Artists,Internal Link,External Link,Views,7-Day View change,Likes,Number of Comments,Peak Position,Peak Date,7-Day Velocity,Days on Chart,ISRC
1,1,https://www.tiktok.com/samsung,https://www.tiktok.com/samsung/video/6995823308654660865,Butter,BTS,/track?id=43532726,https://www.tiktok.com/music/Butter-6988019431607633922,67.2M,0,230.8K,10.5K,1,"Aug 19, 2021",,18,QM6MZ2156864
2,-1,https://www.tiktok.com/devonrodriguezart,https://www.tiktok.com/devonrodriguezart/video/6997439205169220869,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",/track?id=52404165,https://www.tiktok.com/music/STAY-6981869640796342274,75.6M,0,12.1M,45.9K,1,"Aug 18, 2021",,129,USSM12103949
3,New,https://www.tiktok.com/itsevantan,https://www.tiktok.com/itsevantan/video/6997670643311349018,チェリーボンボン,Kyary Pamyu Pamyu,/track?id=13383353,https://www.tiktok.com/music/Cherrybonbon-222769664530288640,32.8M,0,5.7M,194.6K,3,"Aug 19, 2021",,68,JPWP01170631
4,New,https://www.tiktok.com/thetortoisewhisperer,https://www.tiktok.com/thetortoisewhisperer/video/6997927576509402374,Taste It,Ikson,/track?id=24688152,https://www.tiktok.com/music/Taste-It-6810180997917722626,10.1M,0,1.6M,10.7K,4,"Aug 19, 2021",,44,SE6HN1910642
5,New,https://www.tiktok.com/jbalvin,https://www.tiktok.com/jbalvin/video/6997797347178581254,In Da Getto,"J Balvin, Skrillex",/track?id=51828056,https://www.tiktok.com/music/In-Da-Getto-6977562309870749697,20M,0,2.9M,13.8K,5,"Aug 19, 2021",,87,QZM5U2100095
6,New,https://www.tiktok.com/thekalimuscle,https://www.tiktok.com/thekalimuscle/video/6997833301247495426,Lazy Sunday,,,https://www.tiktok.com/music/Lazy-Sunday-6756879114637967368,10.4M,0,978.2K,16.3K,6,"Aug 19, 2021",,79,
7,New,https://www.tiktok.com/audreyakingofthejungle,https://www.tiktok.com/audreyakingofthejungle/video/6997758784361827610,Amityville Horror - Scary Halloween Sound Effects,Halloween Sound Effects,/track?id=14219275,https://www.tiktok.com/music/Amityville-Horror-Scary-Halloween-Sound-Effects-6780285433650612226,10.7M,0,585.7K,4.2K,7,"Aug 19, 2021",,8,TCABB1156001
8,271,https://www.tiktok.com/totouchanemu,https://www.tiktok.com/totouchanemu/video/6990181852803894533,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",/track?id=52404165,https://www.tiktok.com/music/STAY-6981869640796342274,203.2M,0,34.5M,236.9K,2,"Aug 5, 2021",-0.71,139,USSM12103949
9,New,https://www.tiktok.com/mazanik_aliona,https://www.tiktok.com/mazanik_aliona/video/6997690401054313730,INFERNO,"Sub Urban, Bella Poarch",/track?id=56778784,https://www.tiktok.com/music/INFERNO-6990565655460218881,14.8M,0,365.5K,22.7K,9,"Aug 19, 2021",,1,USWB12101521
10,New,https://www.tiktok.com/keemokazi,https://www.tiktok.com/keemokazi/video/6997916483456191750,Monkeys Spinning Monkeys,"Kevin MacLeod, Kevin",/track?id=17158836,https://www.tiktok.com/music/Monkeys-Spinning-Monkeys-6746993352891189249,7.4M,0,785.5K,3.5K,10,"Aug 19, 2021",,2,USUAN1400011
11,New,https://www.tiktok.com/wren.eleanor,https://www.tiktok.com/wren.eleanor/video/6997904477961456902,The Magic Bomb,Hoàng Read,/track?id=46912439,https://www.tiktok.com/music/The-Magic-Bomb-Questions-I-Get-Asked-6939813781522369282,8.2M,0,1M,4.9K,11,"Aug 19, 2021",,7,NLZ542100934
12,New,https://www.tiktok.com/iamjonathanpeter,https://www.tiktok.com/iamjonathanpeter/video/6997795826575691013,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,/track?id=27528385,https://www.tiktok.com/music/All-I-Want-6865122194381342721,9M,0,2.6M,21K,12,"Aug 19, 2021",,51,USWD11995182
13,New,https://www.tiktok.com/thesingfamily,https://www.tiktok.com/thesingfamily/video/6997901238637497606,Over The Top (feat. Drake),"Smiley, Drake",/track?id=54178244,https://www.tiktok.com/music/Over-The-Top-feat-Drake-6986963034833733634,7.6M,0,2M,9.1K,13,"Aug 19, 2021",,24,USWB12102367
14,78,https://www.tiktok.com/lunakitttystar,https://www.tiktok.com/lunakitttystar/video/6995827251568839942,"Theme from Twilight (Bella's Lullaby) - From ""Twilight""",Movie Sounds Unlimited,/track?id=13950561,https://www.tiktok.com/music/Theme-from-Twilight-Bella's-Lullaby-227596209518166016,45.5M,0,5.9M,82.8K,14,"Aug 19, 2021",,82,QMVRR1530257
