Rank,Change,Track,Song ID,Artists,Internal Link,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position,Peak Date,Weeks on Chart,7-Day Velocity,ISRC
1,91,Thotiana (Remix),,"Blueface, YG, Cardi B",/track?id=22455250,https://www.tiktok.com/music/null,Fifth Amendment Entertainment/eOne Music,"Jul 6, 2020",62,758K,885K,1,"Nov 26, 2022",3,13.00,USKO11900097
2,-1,Baby Got Back,S4401,Sir Mix-A-Lot,/track?id=15815307,https://www.tiktok.com/music/Baby-Got-Back-7029297802328934401,American Recordings,"Sep 2, 2019",3,726K,8.5M,1,"Sep 4, 2021",44,-0.14,USSM19100221
3,-1,6000 Degrees (AH HA),S6187,$hyfromdatre,/track?id=94305158,https://www.tiktok.com/music/6000-degrees-x-Shyfromdatre-7143416796954086187,$hyfromdatre,"Oct 18, 2022",20,701K,2.5M,1,"Nov 12, 2022",16,-0.14,QZNMX2254862
4,56,Here With Me,S3233,d4vd,/track?id=85215303,https://www.tiktok.com/music/Here-With-Me-7138509752509663233,3519830 Records DK,"Sep 22, 2022",57,619K,1M,4,"Nov 26, 2022",25,8.00,QZMEM2209263
5,-2,Furious,,,,https://www.tiktok.com/music/null,,"Nov 7, 2022",53,574K,1.1M,3,"Nov 19, 2022",3,-0.29,DGA062235412
6,151,Bound 2,S4273,Kanye West,/track?id=15927278,https://www.tiktok.com/music/Bound-2-6928634453870774273,Rock The World/IDJ/Kanye/LP6,"Sep 2, 2019",21,530K,2.4M,4,"Sep 10, 2022",15,,USUM71307523
7,4,L$d,S4433,Luclover,/track?id=80001990,https://www.tiktok.com/music/Ld-7085791307943954433,independent,"Apr 11, 2022",1,399K,14M,1,"Jul 23, 2022",39,0.57,QZHN42243265
8,28,Beat it,S1722,"Brock, 2rare, Bril, JMoney",/track?id=91000883,https://www.tiktok.com/music/Beat-it-7144098326881831722,1xentertainment,"Aug 27, 2022",72,373K,703K,5,"Dec 3, 2022",10,4.00,QZNWT2253480
9,28,Beat it,S1722,"Brock, 2rare, Bril, JMoney",/track?id=91000883,https://www.tiktok.com/music/Beat-it-7144098326881831722,1xentertainment,"Aug 28, 2022",80,372K,603K,4,"Dec 3, 2022",9,4.00,QZNWT2253480
10,47,No Kizzy,S6274,Rob49,/track?id=31034329,https://www.tiktok.com/music/No-Kizzy-7159022067042486274,Jay Rebel Music,"Feb 2, 2021",96,358K,456K,10,"Nov 26, 2022",11,6.71,QZES72081012
11,New,known,,,,https://www.tiktok.com/music/null,,"Nov 16, 2022",109,355K,369K,11,"Nov 26, 2022",17,,DGA062294578
12,-8,Magic Fingers,,,,https://www.tiktok.com/music/null,,"Oct 31, 2022",44,350K,1.2M,3,"Nov 12, 2022",7,-1.14,DGA062201467
13,-8,Bad Habit,S0450,Steve Lacy,/track?id=84088250,https://www.tiktok.com/music/Bad-Habit-7152997794909800450,L-M Records/RCA Records,"Jun 26, 2022",6,347K,7.1M,2,"Aug 6, 2022",31,-1.14,USRC12201440
14,-4,Rich Flex,S0610,"Drake, 21 Savage",/track?id=95124968,https://www.tiktok.com/music/Rich-Flex-7162017080122820610,OVO / Republic Records,"Nov 3, 2022",60,343K,899K,7,"Dec 3, 2022",12,-0.57,USUG12208598
15,-7,TON1GHT - Jersey Club,S7483,KilSoSouth,/track?id=95714161,https://www.tiktok.com/music/TON1GHT-jersey-club-7163102205384477483,Independent Artist,"Nov 10, 2022",76,325K,668K,8,"Nov 19, 2022",8,-1.00,QZTAY2236253
16,New,Side By Side,,,,https://www.tiktok.com/music/null,,"Nov 17, 2022",122,297K,299K,16,"Nov 26, 2022",4,,ARQIW2208478
17,-4,Just Dance,S0401,"Lady Gaga, Colby O'Donis",/track?id=15908989,https://www.tiktok.com/music/Just-Dance-6917743207947110401,Interscope,"Sep 2, 2019",24,292K,1.9M,13,"Nov 19, 2022",25,-0.57,USUM70807646
18,-4,Stay,,,,https://www.tiktok.com/music/null,,"Nov 7, 2022",86,290K,544K,14,"Nov 19, 2022",6,-0.57,ARQIW2208156
19,New,Flaming Youth,,,,https://www.tiktok.com/music/null,,"Nov 18, 2022",123,280K,284K,19,"Nov 26, 2022",4,,QZTB22229195
20,New,Doves In The Wind,S6806,SZA,/track?id=15679076,https://www.tiktok.com/music/doves-in-the-wind-6894896827783596806,Top Dawg Entertainment/RCA Records,"Aug 17, 2019",81,277K,593K,20,"Nov 26, 2022",5,,USRC11701112
21,1,Rich Flex,,"Drake, 21 Savage",/track?id=95127815,https://www.tiktok.com/music/null,OVO/Republic,"Nov 3, 2022",83,271K,573K,9,"Dec 3, 2022",12,0.14,USUG12208614
22,-15,Lollipop,S7758,"Lil Wayne, Static Major",/track?id=15193367,https://www.tiktok.com/music/Lollipop-145167758,CM/Republic,"Sep 2, 2019",39,261K,1.3M,7,"Nov 12, 2022",7,-2.14,USCM50800556
23,172,My Happy Song,S1765,Super Simple Songs,/track?id=31421396,https://www.tiktok.com/music/My-Happy-Song-7159248233885141765,Super Simple Songs - Arts Music,"Sep 14, 2020",117,260K,330K,23,"Nov 26, 2022",8,24.57,USWB12001604
24,-12,Stand up,,,,https://www.tiktok.com/music/null,,"Nov 7, 2022",87,239K,540K,12,"Nov 19, 2022",9,-1.71,QZTAX2251550
25,New,More M’s,S9090,"Drake, 21 Savage",/track?id=95124773,https://www.tiktok.com/music/More-M’s-7162017081238489090,OVO / Republic Records,"Nov 3, 2022",134,229K,237K,15,"Dec 3, 2022",8,,USUG12208611
26,New,More M’s,,"Drake, 21 Savage",/track?id=95136258,https://www.tiktok.com/music/null,OVO/Republic,"Nov 3, 2022",135,229K,235K,16,"Dec 3, 2022",8,,USUG12208627
