Rank,Change,Country,Artist,Monthly Listeners,Weekly Listeners Change,Internal Link,Peak Position,Peak Date,Weeks on Chart,Current Weekly Streak
1,0,Korea,BLACKPINK,23M,4104942,/artist?id=206548,1,"Aug 25, 2022",23,1
2,-1,Spain,ROSALÍA,43M,3042799,/artist?id=612801,1,"Aug 18, 2022",40,5
3,1,United States,Nicki Minaj,47M,2823351,/artist?id=3442,1,"Mar 5, 2020",35,2
4,-2,United States,benny blanco,18M,2273445,/artist?id=1118101,1,"Nov 12, 2020",20,3
5,6,Puerto Rico,Luar La L,6.9M,2182634,/artist?id=1395396,5,"Aug 25, 2022",10,3
6,2,Armenia,Rosa Linn,20M,2084155,/artist?id=7024208,6,"Aug 25, 2022",11,9
7,-4,United States,Snoop Dogg,30M,1796557,/artist?id=60,2,"Aug 11, 2022",54,3
8,0,Unknown,Mario Mc,399K,1746781,/artist?id=9373059,8,"Aug 25, 2022",1,1
9,-4,United Kingdom,Central Cee,23M,1674593,/artist?id=403699,1,"Aug 4, 2022",37,5
10,-4,United States,DJ Khaled,26M,1596322,/artist?id=2602,2,"May 6, 2021",37,3
11,-1,Puerto Rico,Brray,13M,1590276,/artist?id=219440,10,"Aug 18, 2022",38,4
12,0,Unknown,DJ Cashi,914K,1530073,/artist?id=9347413,12,"Aug 25, 2022",1,1
13,5,Colombia,Manuel Turizo,37M,1518798,/artist?id=289729,13,"Aug 25, 2022",54,11
14,3,Puerto Rico,Lyanno,14M,1420527,/artist?id=643560,14,"Aug 25, 2022",35,4
15,6,Korea,NewJeans,20M,1366834,/artist?id=9527296,15,"Aug 25, 2022",3,3
16,945,United States,BEAUZ,1.9M,1319636,/artist?id=164390,16,"Aug 25, 2022",2,2
17,-8,United States,Lil Baby,31M,1304235,/artist?id=731530,1,"Sep 9, 2021",55,4
18,0,Denmark,Lukas Graham,12M,1260167,/artist?id=4170,18,"Aug 25, 2022",38,1
19,-12,Spain,Rels B,17M,1221737,/artist?id=149609,7,"Aug 18, 2022",37,3
20,0,United States,Missy Elliott,11M,1113675,/artist?id=1041,20,"Aug 25, 2022",25,1
21,10,Sweden,Ghost,8.9M,1110490,/artist?id=95892,21,"Aug 25, 2022",16,6
22,-3,United States,Jhené Aiko,11M,1080350,/artist?id=99401,9,"Oct 29, 2020",30,2
23,188,Mexico,Danna Paola,11M,1064639,/artist?id=206517,23,"Aug 25, 2022",46,2
24,-10,United Kingdom,Rex Orange County,16M,1057917,/artist?id=213819,14,"Aug 18, 2022",41,11
25,0,United States,Maren Morris,14M,1050454,/artist?id=5467,9,"Apr 15, 2021",35,1
26,-10,United States,Steve Lacy,28M,1041567,/artist?id=490494,5,"Aug 4, 2022",40,11
27,18,United Kingdom,Seafret,13M,1035543,/artist?id=4945,27,"Aug 25, 2022",16,12
28,-6,United States,Beyoncé,50M,930890,/artist?id=2838,2,"May 7, 2020",41,4
29,279,Brazil,Anitta,23M,914139,/artist?id=4520,1,"Mar 31, 2022",50,2
30,0,Germany,Zedd,16M,913408,/artist?id=3777,30,"Aug 25, 2022",29,1
31,0,Mexico,Peso Pluma,29M,913017,/artist?id=4251908,31,"Aug 25, 2022",6,1
32,-7,United States,Chris Brown,52M,900353,/artist?id=2249,19,"Sep 30, 2021",55,4
33,0,United States,Jax,4.4M,867899,/artist?id=519426,33,"Aug 25, 2022",22,6
34,-21,United States,Sofia Carson,5M,857466,/artist?id=5329,13,"Aug 18, 2022",20,4
35,0,Unknown,Eftalya Yağcı,1.5M,848050,/artist?id=8831913,35,"Aug 25, 2022",1,1
36,-6,Dominican Republic,Tokischa,7.1M,840652,/artist?id=1134110,15,"Sep 16, 2021",15,4
37,6,United Kingdom,Miggy Dela Rosa,11M,770200,/artist?id=802564,18,"Aug 11, 2022",18,9
38,18,United States,Offset,15M,761099,/artist?id=308891,8,"Aug 4, 2022",23,4
39,0,United States,Gigamesh,4M,749115,/artist?id=80792,39,"Aug 25, 2022",12,1
40,0,United States,Demi Lovato,30M,743199,/artist?id=3167,3,"Sep 17, 2020",42,1
41,66,Germany,Nina Chuba,5.5M,741300,/artist?id=1341586,41,"Aug 25, 2022",11,2
42,-19,Jamaica,Shenseea,3.3M,731572,/artist?id=420357,8,"Aug 11, 2022",21,3
43,61,Unknown,Nardo Wick,7.5M,731530,/artist?id=3999431,24,"Oct 14, 2021",22,5
44,214,India,Lijo George-Dj Chetas,2.8M,723281,/artist?id=1386211,44,"Aug 25, 2022",6,2
45,4,Korea,Girls' Generation,3M,721160,/artist?id=34907,45,"Aug 25, 2022",3,3
46,40,United States,Pop Smoke,24M,720757,/artist?id=1401297,2,"Jul 16, 2020",49,2
47,-19,United States,Rod Wave,7.3M,713765,/artist?id=1009958,14,"Jul 23, 2020",43,4
48,-24,Australia,Olivia Newton-John,9.3M,696840,/artist?id=212551,24,"Aug 18, 2022",28,3
49,407,Unknown,Andi Rianto,3.5M,691979,/artist?id=525670,49,"Aug 25, 2022",7,2
50,91,Argentina,Paulo Londra,14M,679882,/artist?id=665663,2,"Mar 31, 2022",26,2
51,18,Canada,NAV,9.1M,662268,/artist?id=476687,6,"Apr 2, 2020",20,4
52,33,United States,Khalid,53M,654938,/artist?id=209693,10,"Apr 1, 2021",47,3
53,-17,United States,Hailee Steinfeld,13M,638979,/artist?id=4904,19,"Aug 4, 2022",24,4
54,39,Korea,BTS,37M,634041,/artist?id=206557,2,"Jun 10, 2021",54,3
55,0,United States,Yung Gravy,7.2M,623831,/artist?id=271148,10,"Jul 14, 2022",33,11
56,5,United Kingdom,Arctic Monkeys,42M,606095,/artist?id=2289,56,"Aug 25, 2022",63,6
57,260,United Kingdom,Coldplay,64M,594740,/artist?id=439,1,"Sep 30, 2021",61,4
58,-24,United States,Anderson .Paak,21M,592446,/artist?id=4911,1,"Mar 11, 2021",45,4
59,6,United States,OneRepublic,48M,586105,/artist?id=2796,3,"May 28, 2020",62,15
60,358,United Kingdom,Tom Odell,27M,572576,/artist?id=4348,21,"Apr 7, 2022",44,6
61,16,Unknown,dazy,14M,554839,/artist?id=8099351,10,"Jun 23, 2022",28,20
62,63,United States,Armani White,8M,554718,/artist?id=420432,62,"Aug 25, 2022",12,6
63,53,Puerto Rico,Noriel,8.5M,551909,/artist?id=276203,63,"Aug 25, 2022",22,3
64,4,Brazil,Dj Darge,2.3M,542356,/artist?id=3523886,64,"Aug 25, 2022",7,4
65,33,Colombia,Maluma,35M,526113,/artist?id=4679,8,"Nov 12, 2020",55,2
66,0,United Kingdom,Aitch,8.3M,523537,/artist?id=828207,66,"Aug 25, 2022",31,1
67,210,India,Sukh-E Muzical Doctorz,2.7M,520778,/artist?id=67606,50,"Feb 13, 2020",11,2
68,0,Unknown,Farel Prayoga,461K,519589,/artist?id=9438398,68,"Aug 25, 2022",2,1
69,-9,United States,Lana Del Rey,43M,518464,/artist?id=3986,12,"Oct 22, 2020",57,5
70,2,Unknown,Eliza Rose,6.7M,516932,/artist?id=3733653,70,"Aug 25, 2022",7,7
71,0,Unknown,Stars Music Chile,2.3M,516569,/artist?id=7809440,71,"Aug 25, 2022",1,1
72,652,United States,Red Hot Chili Peppers,29M,516060,/artist?id=802,24,"Feb 10, 2022",55,3
73,15,Unknown,Kordhell,14M,515621,/artist?id=4341739,73,"Aug 25, 2022",15,11
74,-4,United States,d4vd,31M,512550,/artist?id=8429799,53,"Aug 11, 2022",4,4
75,0,Unknown,ShaSings,23K,499147,/artist?id=9391687,75,"Aug 25, 2022",2,1
76,0,Unknown,Thejas Krishna,318K,497530,/artist?id=9110423,76,"Aug 25, 2022",1,1
77,25,United States,Nicky Youre,16M,497112,/artist?id=3731621,14,"Jun 23, 2022",33,22
78,-14,Unknown,Mc Paiva ZS,8.3M,492947,/artist?id=4167660,64,"Aug 18, 2022",13,11
79,13,United States,Future,48M,489539,/artist?id=3870,2,"Jan 16, 2020",52,4
80,-18,United Kingdom,Fred again..,13M,488186,/artist?id=1431422,33,"Aug 4, 2022",36,8
81,-15,United States,Key Glock,10M,487651,/artist?id=491635,66,"Aug 18, 2022",41,2
82,-36,United Kingdom,James Hype,13M,486454,/artist?id=631487,23,"Jul 28, 2022",33,22
83,-32,Netherlands,Benny Sings,3.8M,469297,/artist?id=311666,51,"Aug 18, 2022",12,3
84,-11,United States,Wheatus,4.3M,469280,/artist?id=323,73,"Aug 18, 2022",6,3
85,-14,France,Julien Marchal,5.3M,464810,/artist?id=210880,44,"Aug 11, 2022",5,4
86,41,Sweden,Swedish House Mafia,22M,462659,/artist?id=3643,2,"Nov 4, 2021",41,4
87,19,Japan,Ado,4.6M,461352,/artist?id=3918457,87,"Aug 25, 2022",13,3
88,-5,United States,Kenny Mason,2.4M,451717,/artist?id=894953,61,"Apr 14, 2022",12,2
89,14,Chile,Martinwhite,1.6M,450537,/artist?id=8667840,89,"Aug 25, 2022",4,4
90,-33,Spain,Kaydy Cain,1.9M,447386,/artist?id=392791,57,"Aug 18, 2022",6,2
91,-37,United Kingdom,Interplanetary Criminal,6.4M,443630,/artist?id=578985,54,"Aug 18, 2022",7,7
92,-54,Brazil,Luísa Sonza,9M,441550,/artist?id=647232,35,"Jul 29, 2021",53,5
93,0,Unknown,HXI,1.5M,439553,/artist?id=9310221,93,"Aug 25, 2022",1,1
94,40,India,Jaani,5.5M,436734,/artist?id=746940,94,"Aug 25, 2022",11,2
95,77,United States,Tyga,24M,435925,/artist?id=3184,5,"Apr 2, 2020",37,2
96,342,United States,Stephen Sanchez,34M,428912,/artist?id=3763237,5,"Jun 16, 2022",26,6
97,18,Colombia,Piso 21,16M,428480,/artist?id=207061,97,"Aug 25, 2022",31,6
98,-54,Brazil,Mc Jacaré,5.8M,427029,/artist?id=1677080,27,"Aug 4, 2022",28,6
99,-70,United Kingdom,KSI,4.3M,425633,/artist?id=5308,21,"Jul 22, 2021",43,3
100,-88,Spain,Quevedo,0,423538,/artist?id=4004432,2,"Aug 4, 2022",22,7
101,94,Mexico,Grupo Marca Registrada,14M,423282,/artist?id=111759,46,"Aug 4, 2022",22,15
102,700,Unknown,TALK,1.7M,420463,/artist?id=1020696,102,"Aug 25, 2022",2,2
103,143,United States,Vansire,7.2M,415100,/artist?id=488416,103,"Aug 25, 2022",6,4
104,19,Mexico,Junior H,20M,414273,/artist?id=1407665,96,"Aug 11, 2022",47,5
105,-65,United States,Summer Walker,20M,410688,/artist?id=924777,7,"May 19, 2022",43,3
106,0,United States,Windser,729K,406280,/artist?id=3835720,87,"Nov 4, 2021",5,1
107,235,United States,Knox,603K,405090,/artist?id=4230653,107,"Aug 25, 2022",2,2
