Rank,Change,Country,Artist,Monthly Listeners,Weekly Listeners Change,Internal Link,Peak Position,Peak Date,Weeks on Chart,Current Weekly Streak
1,153,Colombia,Carolina Gaitán - La Gaita,3.8M,2432490,/artist?id=644506,1,"Jan 6, 2022",4,4
2,180,Colombia,Encanto - Cast,4.4M,2296477,/artist?id=8027516,2,"Jan 6, 2022",6,6
3,63,United States,GAYLE,11M,2248388,/artist?id=3540881,2,"Dec 16, 2021",11,9
4,135,United States,Lin-Manuel Miranda,12M,2161647,/artist?id=548287,4,"Jan 6, 2022",17,7
5,187,Unknown,Stephanie Beatriz,4.8M,2144986,/artist?id=1400762,5,"Jan 6, 2022",13,6
6,188,United States,ACRAZE,11M,2130181,/artist?id=800088,6,"Jan 6, 2022",19,19
7,196,United States,Adassa,3.4M,2108160,/artist?id=479258,7,"Jan 6, 2022",6,6
8,192,Unknown,Diane Guerrero,3.8M,2102620,/artist?id=8034773,8,"Jan 6, 2022",4,4
9,49,Nigeria,Fireboy DML,8.1M,2084883,/artist?id=1359817,9,"Jan 6, 2022",13,6
10,202,Unknown,Rhenzy Feliz,3.3M,2081224,/artist?id=8034772,10,"Jan 6, 2022",4,4
11,127,Colombia,Mauro Castillo,3.9M,1993603,/artist?id=201416,11,"Jan 6, 2022",6,6
12,0,Sweden,Alesso,20M,1897004,/artist?id=3894,12,"Jan 6, 2022",26,1
13,0,United States,Black Eyed Peas,40M,1867586,/artist?id=728,5,"Jan 7, 2021",37,1
14,617,Netherlands,Tiësto,45M,1766585,/artist?id=2094,14,"Jan 6, 2022",53,3
15,102,Sweden,ABBA,26M,1707837,/artist?id=227,12,"Jan 7, 2021",45,3
16,111,United States,Macklemore & Ryan Lewis,20M,1695020,/artist?id=4828,16,"Jan 6, 2022",33,4
17,61,United States,Jaymes Young,12M,1690061,/artist?id=4660,17,"Jan 6, 2022",45,6
18,105,Brazil,Gustah,2.3M,1676818,/artist?id=1123177,18,"Jan 6, 2022",8,5
19,0,Australia,PNAU,22M,1669968,/artist?id=211811,6,"Aug 19, 2021",26,1
20,82,United States,Katy Perry,53M,1659653,/artist?id=2482,5,"May 21, 2020",51,5
21,0,Unknown,Dopamine,5.5M,1530771,/artist?id=4185412,7,"Mar 18, 2021",18,1
22,0,United Kingdom,Riton,9.2M,1498144,/artist?id=1747,10,"Mar 25, 2021",32,1
23,0,United Kingdom,Dua Lipa,62M,1494521,/artist?id=5381,10,"Feb 13, 2020",57,1
24,0,United Kingdom,Nightcrawlers,6.5M,1458240,/artist?id=111436,7,"Mar 25, 2021",23,1
25,0,Cuba,Pitbull,33M,1454846,/artist?id=1896,24,"Jan 7, 2021",47,1
26,0,United States,Flo Rida,26M,1444052,/artist?id=2967,26,"Jan 6, 2022",51,1
27,0,Puerto Rico,Farruko,34M,1437872,/artist?id=3928,7,"Aug 19, 2021",44,1
28,257,Unknown,Jessica Darrow,2.7M,1332636,/artist?id=8027517,28,"Jan 6, 2022",4,4
29,0,France,David Guetta,70M,1288523,/artist?id=1006,10,"Feb 18, 2021",52,1
30,0,Unknown,Lars Martin,174K,1287463,/artist?id=4378856,30,"Jan 6, 2022",1,1
31,0,United Kingdom,Majestic,6.1M,1230736,/artist?id=173276,13,"Apr 29, 2021",24,1
32,0,Barbados,Rihanna,76M,1202150,/artist?id=2316,2,"Apr 2, 2020",44,1
33,77,United States,Emmy Meli,1.8M,1199969,/artist?id=3813505,33,"Jan 6, 2022",7,7
34,165,Unknown,Arcane,16M,1118889,/artist?id=7901040,2,"Nov 25, 2021",8,8
35,114,South Africa,Neo Beats,7.6M,1108563,/artist?id=217311,35,"Jan 6, 2022",19,3
36,691,United Kingdom,Edison Lighthouse,3M,1080088,/artist?id=92508,36,"Jan 6, 2022",2,2
37,0,Canada,The Weeknd,110M,1078895,/artist?id=3852,2,"Mar 26, 2020",55,1
38,130,United States,League of Legends,19M,1026332,/artist?id=208048,7,"Nov 25, 2021",27,10
39,125,Brazil,Xamã,10M,1023091,/artist?id=526350,39,"Jan 6, 2022",26,3
40,72,United States,Sniper Gang,2.3M,1018077,/artist?id=812296,40,"Jan 6, 2022",9,9
41,444,United States,Olga Merediz,2.2M,1011490,/artist?id=468372,41,"Jan 6, 2022",11,2
42,0,United Kingdom,Glass Animals,24M,1010032,/artist?id=3656,3,"Sep 16, 2021",65,1
43,0,Sweden,Avicii,35M,1007847,/artist?id=3401,20,"Feb 6, 2020",35,1
44,53,Korea,SUGA,2.3M,996129,/artist?id=1391283,11,"Dec 16, 2021",24,4
45,789,United Kingdom,Bee Gees,23M,995987,/artist?id=251,34,"Jan 7, 2021",41,2
46,62,United States,Whitney Houston,23M,984450,/artist?id=247,46,"Jan 6, 2022",39,6
47,166,United States,Imagine Dragons,60M,977504,/artist?id=4132,6,"Mar 18, 2021",50,11
48,0,United States,"Earth, Wind & Fire",16M,933884,/artist?id=1558,30,"Jan 7, 2021",40,1
49,0,Colombia,Shakira,79M,919308,/artist?id=308,4,"Feb 13, 2020",38,1
50,554,Jamaica,Sean Paul,30M,912138,/artist?id=1207,29,"Apr 29, 2021",49,5
51,168,Korea,BTS,37M,911948,/artist?id=206557,2,"Jun 10, 2021",44,4
52,0,United Kingdom,Calvin Harris,64M,907875,/artist?id=2134,6,"Jun 10, 2021",42,1
53,0,Australia,Shouse,11M,907818,/artist?id=161124,8,"Aug 12, 2021",24,1
54,0,United Kingdom,Joel Corry,17M,907679,/artist?id=519774,12,"Jul 30, 2020",63,1
55,45,United Kingdom,FKA twigs,2.8M,904537,/artist?id=4473,9,"Jul 16, 2020",12,3
56,13,United States,Ava Max,30M,904264,/artist?id=717113,8,"Jan 9, 2020",52,10
57,0,United States,Jason Derulo,32M,899910,/artist?id=3502,1,"Jul 16, 2020",36,1
58,204,United States,Michael Jackson,36M,897597,/artist?id=178,3,"Nov 4, 2021",46,2
