Rank,Change,Country,Artist,Monthly Listeners,Weekly Listeners Change,Internal Link,Peak Position,Peak Date,Weeks on Chart,Current Weekly Streak
1,12,United States,Zendaya,12M,3679848,/artist?id=4051,1,"Mar 10, 2022",21,9
2,0,Puerto Rico,Residente,3.3M,3482602,/artist?id=213188,2,"Mar 10, 2022",11,1
3,-2,United States,Dove Cameron,12M,2667243,/artist?id=4898,1,"Mar 3, 2022",21,4
4,6,United Kingdom,Labrinth,25M,2509907,/artist?id=3696,4,"Mar 10, 2022",38,9
5,-3,United States,Becky G,29M,2281258,/artist?id=4236,2,"Mar 3, 2022",49,4
6,0,Cuba,Camila Cabello,40M,2254682,/artist?id=454302,4,"Jul 29, 2021",23,1
7,0,Nigeria,Omah Lay,7M,2168268,/artist?id=3578130,7,"Mar 10, 2022",6,1
8,10,United States,Kimbra,9.5M,2139286,/artist?id=422193,8,"Mar 10, 2022",3,2
9,-5,Colombia,KAROL G,56M,1699018,/artist?id=206809,4,"Mar 3, 2022",50,4
10,41,Chile,Cris Mj,19M,1551870,/artist?id=3626425,10,"Mar 10, 2022",11,3
11,-2,United States,Tyga,24M,1521498,/artist?id=3184,5,"Apr 2, 2020",32,3
12,0,Argentina,Bizarrap,50M,1396831,/artist?id=648982,11,"Aug 6, 2020",39,1
13,-7,United States,iann dior,14M,1287676,/artist?id=1416285,1,"Oct 8, 2020",42,2
14,-2,United States,Elley Duhé,26M,1276629,/artist?id=215318,12,"Mar 3, 2022",25,17
15,-12,United States,DNCE,11M,1269219,/artist?id=5332,3,"Mar 3, 2022",19,2
16,599,United States,Lil Wayne,33M,1203484,/artist?id=1465,3,"Jan 13, 2022",48,4
17,5,Korea,TREASURE,4.2M,1177303,/artist?id=3858573,17,"Mar 10, 2022",13,3
18,0,Brazil,Mc Phe Cachorrera,1.6M,1122252,/artist?id=29517,18,"Mar 10, 2022",1,1
19,0,United Kingdom,Ed Sheeran,83M,1106325,/artist?id=3648,2,"Jul 8, 2021",42,1
20,4,United Kingdom,Cat Burns,7.6M,1044180,/artist?id=524443,20,"Mar 10, 2022",8,7
21,503,United States,Dominic Fike,11M,1010817,/artist?id=831744,20,"Apr 1, 2021",35,9
22,0,Colombia,MC Kapela,1.9M,966305,/artist?id=153659,22,"Mar 10, 2022",1,1
23,-16,Brazil,Mc Pedrinho,5.6M,965685,/artist?id=110199,7,"Mar 3, 2022",15,5
24,0,Brazil,Gaab,5.7M,882928,/artist?id=175932,24,"Mar 10, 2022",3,1
25,-10,Korea,Jung Kook,14M,875026,/artist?id=8467662,15,"Mar 3, 2022",2,2
26,0,United States,Nirvana,27M,861618,/artist?id=19,2,"Feb 6, 2020",48,1
27,0,United States,Missy Elliott,11M,856189,/artist?id=1041,27,"Mar 10, 2022",23,1
28,0,Belgium,Stromae,11M,844340,/artist?id=3593,14,"Oct 21, 2021",34,1
29,0,Norway,Torine,617K,830550,/artist?id=1457595,29,"Mar 10, 2022",9,1
30,223,United States,Diplo,29M,817268,/artist?id=1964,30,"Mar 10, 2022",43,5
31,383,Norway,Alan Walker,25M,815492,/artist?id=5451,13,"Jan 9, 2020",43,3
32,-5,Mexico,Eden Muñoz,10M,813259,/artist?id=3905187,27,"Mar 3, 2022",4,4
33,47,Korea,NMIXX,5M,811251,/artist?id=8433383,33,"Mar 10, 2022",2,2
34,-9,Spain,Quevedo,0,802298,/artist?id=4004432,21,"Feb 24, 2022",7,7
35,-4,Brazil,WEY,1.1M,801882,/artist?id=1379203,31,"Mar 3, 2022",4,2
36,17,Unknown,La Pantera,2.7M,789690,/artist?id=4143293,19,"Feb 24, 2022",7,7
37,13,Brazil,Vulgo FK,4.5M,771740,/artist?id=1329989,37,"Mar 10, 2022",6,2
38,2,Puerto Rico,Zion & Lennox,20M,740240,/artist?id=1983,38,"Mar 10, 2022",39,5
39,-25,United States,Em Beihold,26M,731957,/artist?id=3667396,13,"Feb 24, 2022",10,6
40,7,Unknown,Elenko Music,21K,731258,/artist?id=8376948,40,"Mar 10, 2022",3,2
41,-8,United Kingdom,Dakota,3.3M,712233,/artist?id=193810,33,"Mar 3, 2022",2,2
42,480,Brazil,MC Menor da VG,3.3M,707394,/artist?id=32875,42,"Mar 10, 2022",8,7
43,-8,Unknown,Juseph,3.1M,693760,/artist?id=4270537,24,"Feb 17, 2022",7,7
