Rank,Change,Country,Artist,Monthly Listeners,Weekly Listeners Change,Internal Link,Peak Position,Peak Date,Weeks on Chart,Current Weekly Streak
1,0,United Kingdom,Harry Styles,66M,5620583,/artist?id=558681,1,"Apr 7, 2022",40,1
2,1,United States,Disney,22M,2583232,/artist?id=303089,2,"Apr 7, 2022",22,2
3,-1,Argentina,Paulo Londra,14M,2352231,/artist?id=665663,2,"Mar 31, 2022",17,8
4,-3,Brazil,Anitta,23M,2205276,/artist?id=4520,1,"Mar 31, 2022",42,5
5,0,Canada,Shawn Mendes,46M,2020886,/artist?id=4934,1,"Oct 15, 2020",28,1
6,0,United States,Kehlani,14M,1805431,/artist?id=4817,6,"Apr 7, 2022",45,1
7,24,Unknown,Topher Ngo,1.8M,1446802,/artist?id=4980397,7,"Apr 7, 2022",5,5
8,2,Puerto Rico,ROBI,4.1M,1417260,/artist?id=3586667,8,"Apr 7, 2022",3,3
9,2,Puerto Rico,Alejo,6.8M,1416086,/artist?id=3744848,9,"Apr 7, 2022",3,3
10,2,Chile,Cris Mj,19M,1377764,/artist?id=3626425,3,"Mar 17, 2022",15,7
11,0,United States,Yahritza Y Su Esencia,3.2M,1323419,/artist?id=8875296,11,"Apr 7, 2022",1,1
12,0,United States,Sheck Wes,6.4M,1304973,/artist?id=743316,12,"Apr 7, 2022",11,1
13,12,United States,Josh Levi,1.9M,1257634,/artist?id=442861,13,"Apr 7, 2022",6,6
14,-8,Puerto Rico,Daddy Yankee,50M,1215135,/artist?id=1802,6,"Mar 31, 2022",44,9
15,0,United States,Dreamville,8.2M,1187531,/artist?id=1610170,15,"Apr 7, 2022",10,1
16,1,Germany,AnnenMayKantereit,6M,1125402,/artist?id=4750,7,"Mar 24, 2022",14,6
17,3,United States,Finneas O'Connell,2.2M,1114599,/artist?id=3489278,16,"Mar 24, 2022",5,5
18,-4,Germany,Giant Rooks,4.5M,1113230,/artist?id=214634,8,"Mar 24, 2022",13,6
19,4,Canada,4*TOWN (From Disney and Pixar’s Turning Red),1.8M,1101312,/artist?id=8553318,18,"Mar 24, 2022",4,4
20,0,United States,De La Ghetto,19M,1087024,/artist?id=3570,20,"Apr 7, 2022",25,1
21,13,United Kingdom,Tom Odell,27M,1080410,/artist?id=4348,21,"Apr 7, 2022",33,6
22,10,Unknown,Grayson Villanueva,1.8M,1078243,/artist?id=8553319,12,"Mar 24, 2022",5,5
23,3,United States,Jordan Fisher,2.6M,1066359,/artist?id=208539,17,"Mar 24, 2022",7,6
24,4,United States,Pharrell Williams,24M,1042432,/artist?id=2143,10,"Jul 1, 2021",44,3
25,-20,Colombia,J Balvin,51M,1031105,/artist?id=3883,4,"Nov 12, 2020",42,2
26,0,United States,Lil Tjay,19M,994639,/artist?id=1349373,2,"Feb 25, 2021",43,1
27,0,United States,Gryffin,10M,990058,/artist?id=5153,27,"Apr 7, 2022",42,1
28,514,Unknown,offwire,25,979347,/artist?id=8625599,28,"Apr 7, 2022",4,4
29,0,United States,A$AP ANT,2.3M,978285,/artist?id=315600,29,"Apr 7, 2022",1,1
30,-8,United States,Demi Lovato,30M,901988,/artist?id=3167,3,"Sep 17, 2020",38,3
31,-10,United Kingdom,Dave,8.8M,831193,/artist?id=206742,10,"Jul 29, 2021",21,5
32,1,Colombia,Feid,39M,812150,/artist?id=152776,27,"Apr 30, 2020",48,3
33,70,Venezuela,Danny Ocean,19M,786247,/artist?id=214292,33,"Apr 7, 2022",38,8
34,5,United States,Bryson Tiller,17M,782231,/artist?id=5315,9,"Mar 24, 2022",30,3
35,-19,Brazil,Davi Kneip,2.5M,768250,/artist?id=1595539,13,"Mar 24, 2022",6,6
36,6,United States,Latto,11M,765213,/artist?id=241165,36,"Apr 7, 2022",49,4
37,114,United States,Mariah Carey,23M,757437,/artist?id=33,1,"Dec 30, 2021",55,2
38,-3,Colombia,Ovy On The Drums,19M,742231,/artist?id=1366884,20,"Mar 24, 2022",43,3
39,-20,Brazil,Dj Gabriel do Borel,2.6M,738453,/artist?id=1408159,15,"Mar 24, 2022",9,6
40,-32,United States,Foo Fighters,19M,719602,/artist?id=59,8,"Mar 31, 2022",36,5
41,714,United States,Thomas Rhett,10M,717000,/artist?id=4222,10,"Jun 4, 2020",34,3
42,-6,Brazil,Mc Frog,2.2M,714944,/artist?id=1022868,30,"Mar 24, 2022",23,6
43,-28,United States,Nirvana,27M,677349,/artist?id=19,2,"Feb 6, 2020",52,5
44,-26,United States,Megan Thee Stallion,24M,674786,/artist?id=788785,2,"Mar 17, 2022",52,4
45,-7,Korea,Red Velvet,7.5M,672950,/artist?id=4938,37,"Jan 9, 2020",18,3
46,-33,United States,blackbear,19M,665133,/artist?id=169796,13,"Mar 31, 2022",37,3
47,-40,Cuba,Camila Cabello,40M,662082,/artist?id=454302,1,"Mar 17, 2022",27,5
48,-8,United States,Elley Duhé,26M,644203,/artist?id=215318,9,"Mar 17, 2022",29,21
49,-40,United States,Nile Rodgers,3.9M,638169,/artist?id=212474,9,"Mar 31, 2022",13,2
50,6,United States,Lucky Daye,7.6M,613709,/artist?id=1331649,50,"Apr 7, 2022",33,4
51,0,Dominican Republic,Yailin la Mas Viral,1.6M,604576,/artist?id=3721768,51,"Apr 7, 2022",6,1
52,-48,United Kingdom,Ed Sheeran,83M,573074,/artist?id=3648,2,"Jul 8, 2021",45,3
53,33,United States,Red Hot Chili Peppers,29M,569310,/artist?id=802,24,"Feb 10, 2022",46,3
54,0,United States,Caroline Polachek,2.7M,563669,/artist?id=364281,37,"Nov 11, 2021",12,1
55,8,Unknown,Liilz,1.1M,553564,/artist?id=8463579,55,"Apr 7, 2022",4,4
56,82,United States,Olivia Rodrigo,36M,549494,/artist?id=260477,1,"Jun 10, 2021",39,2
57,466,India,Rahul Sipligunj,5.5M,548858,/artist?id=86083,57,"Apr 7, 2022",8,2
58,0,Uganda,Cozz,1.3M,544448,/artist?id=426333,58,"Apr 7, 2022",4,1
59,0,United States,Omen,732K,543286,/artist?id=470464,59,"Apr 7, 2022",1,1
60,39,United States,Dylan Conrique,1.9M,542580,/artist?id=1026452,60,"Apr 7, 2022",9,9
61,0,United States,Jon Batiste,5M,535008,/artist?id=46978,61,"Apr 7, 2022",8,1
62,2,Netherlands,ZieZie,1.2M,533361,/artist?id=711858,62,"Apr 7, 2022",6,4
63,0,United Kingdom,Bastille,19M,532469,/artist?id=3924,54,"Jan 20, 2022",30,1
64,-16,United States,Kevin Gates,6.1M,528938,/artist?id=3342,31,"Mar 24, 2022",33,5
65,6,France,Daft Punk,20M,523860,/artist?id=170,5,"Mar 4, 2021",34,7
66,0,Unknown,Never Broke Again,437K,514712,/artist?id=4067640,66,"Apr 7, 2022",2,1
67,73,Unknown,Mc Gabzin,3.3M,514424,/artist?id=4711046,67,"Apr 7, 2022",6,3
68,76,United States,Miley Cyrus,83M,511729,/artist?id=2619,5,"Aug 27, 2020",40,2
69,363,United States,JID,20M,498717,/artist?id=197670,12,"Nov 25, 2021",38,2
70,195,India,M. M. Keeravani,7.4M,498388,/artist?id=44241,70,"Apr 7, 2022",9,2
71,-4,Mexico,Eden Muñoz,10M,496024,/artist?id=3905187,24,"Mar 17, 2022",8,8
72,0,Unknown,P Yungin,167K,492459,/artist?id=3962061,72,"Apr 7, 2022",2,1
73,49,United States,Vitamin String Quartet,1.8M,491985,/artist?id=3280,59,"Jan 14, 2021",7,2
74,154,Puerto Rico,Zion,8.4M,475037,/artist?id=120819,40,"Jun 4, 2020",31,3
75,0,United States,G Perico,789K,468114,/artist?id=317157,75,"Apr 7, 2022",1,1
76,-19,United States,Cast of High School Musical: The Musical: The Series,2.9M,467331,/artist?id=3359775,57,"Mar 31, 2022",7,2
77,0,United States,Young Nudy,7.7M,466278,/artist?id=495560,77,"Apr 7, 2022",24,1
78,288,Unknown,Steve Horner,437K,464385,/artist?id=5123535,78,"Apr 7, 2022",2,2
79,-36,United States,"Tyler, The Creator",26M,464301,/artist?id=2498,4,"Jul 8, 2021",33,4
80,0,Netherlands,Mesto,1.1M,463646,/artist?id=469966,80,"Apr 7, 2022",15,1
81,-44,Spain,ROSALÍA,43M,462783,/artist?id=612801,2,"Jan 28, 2021",34,3
82,-30,United Kingdom,Tion Wayne,8.2M,458453,/artist?id=514346,10,"May 20, 2021",34,5
83,114,United States,Kris Bowers,716K,454146,/artist?id=190305,83,"Apr 7, 2022",5,2
84,0,Unknown,Speed Radio,11M,450304,/artist?id=8870459,84,"Apr 7, 2022",1,1
85,291,Unknown,Duomo,703K,449897,/artist?id=1504848,85,"Apr 7, 2022",7,2
86,-27,United Kingdom,A1 x J1,3.5M,449604,/artist?id=4226786,59,"Mar 31, 2022",21,5
87,114,Unknown,Midnite String Quartet,395K,445814,/artist?id=468934,87,"Apr 7, 2022",2,2
88,-11,Unknown,Strecci,0,431522,/artist?id=8628038,56,"Mar 24, 2022",3,3
89,-45,United Kingdom,Glass Animals,24M,427277,/artist?id=3656,3,"Sep 16, 2021",74,3
90,155,Unknown,Pailita,10M,422417,/artist?id=3765579,90,"Apr 7, 2022",15,5
91,-40,United States,WILLOW,15M,418906,/artist?id=213393,14,"Jun 17, 2021",48,2
92,2,United States,Ashanti,6.4M,416704,/artist?id=1233,22,"Sep 30, 2021",15,4
93,-11,United States,Ktlyn,1.7M,416247,/artist?id=3598083,40,"Mar 24, 2022",3,3
94,-47,Nigeria,Rema,39M,400510,/artist?id=1426518,38,"Mar 24, 2022",26,4
95,78,India,Vishal Mishra,9.5M,398802,/artist?id=1205460,95,"Apr 7, 2022",11,4
