Rank,Change,Country,Artist,Monthly Listeners,Weekly Listeners Change,Internal Link,Peak Position,Peak Date,Weeks on Chart,Current Weekly Streak
1,0,Korea,BLACKPINK,23M,4602653,/artist?id=206548,1,"Sep 1, 2022",24,2
2,0,United States,Britney Spears,32M,3923870,/artist?id=199,2,"Sep 1, 2022",63,1
3,0,Unknown,Maldy,9.1M,3641910,/artist?id=318532,3,"Sep 1, 2022",1,1
4,6,United States,DJ Khaled,26M,2974983,/artist?id=2602,2,"May 6, 2021",38,4
5,0,United Kingdom,Elton John,48M,2506130,/artist?id=87,2,"Sep 23, 2021",67,1
6,0,United States,Bebe Rexha,47M,2420146,/artist?id=4429,6,"Sep 1, 2022",30,1
7,0,Unknown,Fridayy,3.5M,2251394,/artist?id=5930233,7,"Sep 1, 2022",1,1
8,-3,Puerto Rico,Luar La L,6.9M,2062500,/artist?id=1395396,5,"Aug 25, 2022",11,4
9,542,United States,John Legend,23M,1978808,/artist?id=2053,9,"Sep 1, 2022",62,4
10,209,Nigeria,Rema,39M,1865556,/artist?id=1426518,10,"Sep 1, 2022",43,16
11,0,United States,SZA,67M,1844332,/artist?id=4515,3,"May 6, 2021",41,1
12,3,Korea,NewJeans,20M,1771054,/artist?id=9527296,12,"Sep 1, 2022",4,4
13,-9,United States,benny blanco,18M,1721266,/artist?id=1118101,1,"Nov 12, 2020",21,4
14,-11,United States,Nicki Minaj,47M,1687067,/artist?id=3442,1,"Mar 5, 2020",36,3
15,422,United States,Selena Gomez,59M,1682182,/artist?id=3168,3,"Feb 11, 2021",43,2
16,-10,Armenia,Rosa Linn,20M,1623495,/artist?id=7024208,6,"Aug 25, 2022",12,10
17,-15,Spain,ROSALÍA,43M,1609323,/artist?id=612801,1,"Aug 18, 2022",41,6
18,3,Sweden,Ghost,8.9M,1544704,/artist?id=95892,18,"Sep 1, 2022",17,7
19,-12,United States,Snoop Dogg,30M,1449062,/artist?id=60,2,"Aug 11, 2022",55,4
20,-7,Colombia,Manuel Turizo,37M,1415021,/artist?id=289729,13,"Aug 25, 2022",55,12
21,58,United States,Future,48M,1357724,/artist?id=3870,2,"Jan 16, 2020",53,5
22,418,United States,Lil Wayne,33M,1283372,/artist?id=1465,3,"Jan 13, 2022",57,3
23,20,Unknown,Nardo Wick,7.5M,1274410,/artist?id=3999431,23,"Sep 1, 2022",23,6
24,0,United States,Rick Ross,12M,1264222,/artist?id=2600,11,"Sep 9, 2021",34,1
25,602,United States,JAY-Z,35M,1171270,/artist?id=58,1,"Dec 24, 2020",64,5
26,-10,United States,BEAUZ,1.9M,1131739,/artist?id=164390,16,"Aug 25, 2022",3,3
27,905,United States,JVKE,28M,1070201,/artist?id=3891033,23,"Jan 14, 2021",42,2
28,29,United Kingdom,Coldplay,64M,1024066,/artist?id=439,1,"Sep 30, 2021",62,5
29,0,United Kingdom,Katie Gregson-MacLeod,941K,1005933,/artist?id=3811199,29,"Sep 1, 2022",1,1
30,-11,Spain,Rels B,17M,997681,/artist?id=149609,7,"Aug 18, 2022",38,4
31,-20,Puerto Rico,Brray,13M,958026,/artist?id=219440,10,"Aug 18, 2022",39,5
32,28,United Kingdom,Tom Odell,27M,919766,/artist?id=4348,21,"Apr 7, 2022",45,7
33,-9,United Kingdom,Rex Orange County,16M,914286,/artist?id=213819,14,"Aug 18, 2022",42,12
34,-3,Mexico,Peso Pluma,29M,910340,/artist?id=4251908,31,"Aug 25, 2022",7,2
35,0,United States,City Girls,4.7M,899587,/artist?id=240399,35,"Sep 1, 2022",6,1
36,0,United States,Papoose,171K,896625,/artist?id=55276,36,"Sep 1, 2022",3,1
37,-23,Puerto Rico,Lyanno,14M,889089,/artist?id=643560,14,"Aug 25, 2022",36,5
38,35,Unknown,Kordhell,14M,870111,/artist?id=4341739,38,"Sep 1, 2022",16,12
