Rank,Change,Country,Artist,Monthly Listeners,Weekly Listeners Change,Internal Link,Peak Position,Peak Date,Weeks on Chart,Current Weekly Streak
39,-7,United States,Chris Brown,52M,866459,/artist?id=2249,19,"Sep 30, 2021",56,5
40,-14,United States,Steve Lacy,28M,862772,/artist?id=490494,5,"Aug 4, 2022",41,12
41,-24,United States,Lil Baby,31M,858010,/artist?id=731530,1,"Sep 9, 2021",56,5
42,183,Brazil,Enzo Cello,2.2M,835933,/artist?id=1721206,42,"Sep 1, 2022",2,2
43,0,France,David Guetta,70M,821210,/artist?id=1006,10,"Feb 18, 2021",73,1
44,-5,United States,Gigamesh,4M,816626,/artist?id=80792,39,"Aug 25, 2022",13,2
45,837,Korea,IVE,7.7M,814461,/artist?id=8157684,36,"Apr 21, 2022",14,2
46,644,United States,Latto,11M,803792,/artist?id=241165,26,"Jun 2, 2022",61,2
47,44,United Kingdom,Interplanetary Criminal,6.4M,798659,/artist?id=578985,47,"Sep 1, 2022",8,8
48,0,United Kingdom,Big Narstie,332K,790978,/artist?id=318318,48,"Sep 1, 2022",1,1
49,-22,United Kingdom,Seafret,13M,790973,/artist?id=4945,27,"Aug 25, 2022",17,13
50,183,United States,Takeoff,9.7M,790362,/artist?id=491984,39,"Jun 2, 2022",19,5
51,0,Jamaica,Buju Banton,1.2M,773150,/artist?id=530,51,"Sep 1, 2022",9,1
52,84,Brazil,Kweller,2.4M,757504,/artist?id=1006521,52,"Sep 1, 2022",3,3
53,-23,Germany,Zedd,16M,756747,/artist?id=3777,30,"Aug 25, 2022",30,2
54,0,Korea,BTS,37M,748574,/artist?id=206557,2,"Jun 10, 2021",55,4
55,-30,United States,Maren Morris,14M,747094,/artist?id=5467,9,"Apr 15, 2021",36,2
56,-33,Mexico,Danna Paola,11M,739545,/artist?id=206517,23,"Aug 25, 2022",47,3
57,13,Unknown,Eliza Rose,6.7M,739522,/artist?id=3733653,57,"Sep 1, 2022",8,8
58,0,Jamaica,Capleton,949K,730502,/artist?id=911,58,"Sep 1, 2022",4,1
59,0,Jamaica,Bounty Killer,487K,728628,/artist?id=1210,59,"Sep 1, 2022",2,1
60,63,Unknown,Kotim,7.2M,725785,/artist?id=5422207,60,"Sep 1, 2022",3,2
61,0,Jamaica,Sizzla,795K,723691,/artist?id=952,61,"Sep 1, 2022",1,1
62,1,Puerto Rico,Noriel,8.5M,720977,/artist?id=276203,62,"Sep 1, 2022",23,4
63,323,Unknown,Skillibeng,1.7M,712636,/artist?id=3424727,57,"May 20, 2021",11,2
64,-31,United States,Jax,4.4M,703679,/artist?id=519426,33,"Aug 25, 2022",23,7
65,68,Dominican Republic,El Alfa,17M,687837,/artist?id=181977,29,"May 14, 2020",56,4
66,-29,United Kingdom,Miggy Dela Rosa,11M,683940,/artist?id=802564,18,"Aug 11, 2022",19,10
67,-49,Denmark,Lukas Graham,12M,673836,/artist?id=4170,18,"Aug 25, 2022",39,2
68,-4,Brazil,Dj Darge,2.3M,663262,/artist?id=3523886,64,"Aug 25, 2022",8,5
69,-28,Germany,Nina Chuba,5.5M,643536,/artist?id=1341586,41,"Aug 25, 2022",12,3
70,7,United States,Nicky Youre,16M,633893,/artist?id=3731621,14,"Jun 23, 2022",34,23
71,272,United States,Quavo,16M,629726,/artist?id=38780,37,"Apr 30, 2020",36,2
72,-27,Korea,Girls' Generation,3M,628222,/artist?id=34907,45,"Aug 25, 2022",4,4
73,-65,Unknown,Mario Mc,399K,623986,/artist?id=9373059,8,"Aug 25, 2022",2,2
74,28,Unknown,TALK,1.7M,623714,/artist?id=1020696,74,"Sep 1, 2022",3,3
75,714,United States,The National,5M,623355,/artist?id=1681,6,"Dec 17, 2020",9,2
76,-2,United States,d4vd,31M,616108,/artist?id=8429799,53,"Aug 11, 2022",5,5
77,0,United States,Lil Tjay,19M,586366,/artist?id=1349373,2,"Feb 25, 2021",48,1
78,-42,Dominican Republic,Tokischa,7.1M,585554,/artist?id=1134110,15,"Sep 16, 2021",16,5
79,-50,Brazil,Anitta,23M,583087,/artist?id=4520,1,"Mar 31, 2022",51,3
80,-25,United States,Yung Gravy,7.2M,568841,/artist?id=271148,10,"Jul 14, 2022",34,12
81,54,Belgium,Makar,2M,565323,/artist?id=1395495,81,"Sep 1, 2022",3,3
82,-23,United States,OneRepublic,48M,554620,/artist?id=2796,3,"May 28, 2020",63,16
83,0,United Kingdom,Scarlxrd,3M,554259,/artist?id=714398,83,"Sep 1, 2022",3,1
84,-22,United States,Armani White,8M,550163,/artist?id=420432,62,"Aug 25, 2022",13,7
85,-33,United States,Khalid,53M,549873,/artist?id=209693,10,"Apr 1, 2021",48,4
86,-8,Unknown,Mc Paiva ZS,8.3M,544835,/artist?id=4167660,64,"Aug 18, 2022",14,12
87,0,Spain,Lola Indigo,6.8M,542815,/artist?id=1123831,39,"Sep 10, 2020",29,1
88,762,Korea,TWICE,12M,537977,/artist?id=206883,17,"Nov 5, 2020",30,2
89,0,United States,Don Toliver,28M,524876,/artist?id=838183,2,"May 5, 2022",46,1
90,-9,United States,Key Glock,10M,518494,/artist?id=491635,66,"Aug 18, 2022",42,3
91,-3,United States,Kenny Mason,2.4M,501762,/artist?id=894953,61,"Apr 14, 2022",13,3
92,0,United States,Birdman,2.3M,501231,/artist?id=2266,92,"Sep 1, 2022",12,1
93,-51,Jamaica,Shenseea,3.3M,499153,/artist?id=420357,8,"Aug 11, 2022",22,4
94,0,United States,Russell Dickerson,5.3M,493886,/artist?id=4294,49,"Feb 20, 2020",28,1
95,-46,Unknown,Andi Rianto,3.5M,492207,/artist?id=525670,49,"Aug 25, 2022",8,3
96,4,Spain,Quevedo,0,492006,/artist?id=4004432,2,"Aug 4, 2022",23,8
97,-15,United Kingdom,James Hype,13M,485692,/artist?id=631487,23,"Jul 28, 2022",34,23
98,-78,United States,Missy Elliott,11M,480536,/artist?id=1041,20,"Aug 25, 2022",26,2
99,0,United States,Vory,1.5M,479529,/artist?id=714434,18,"Apr 14, 2022",9,1
100,41,United Kingdom,LF SYSTEM,5.4M,478262,/artist?id=3561120,33,"Jul 7, 2022",14,14
101,-17,United States,Wheatus,4.3M,469755,/artist?id=323,73,"Aug 18, 2022",7,4
102,-58,India,Lijo George-Dj Chetas,2.8M,461863,/artist?id=1386211,44,"Aug 25, 2022",7,3
103,27,Unknown,Tazzy,10M,461746,/artist?id=8006667,103,"Sep 1, 2022",17,15
104,-56,Australia,Olivia Newton-John,9.3M,461664,/artist?id=212551,24,"Aug 18, 2022",29,4
105,-49,United Kingdom,Arctic Monkeys,42M,456014,/artist?id=2289,56,"Aug 25, 2022",64,7
106,0,Dominican Republic,Axel Rulay,286K,455254,/artist?id=1338043,106,"Sep 1, 2022",2,1
107,-24,Netherlands,Benny Sings,3.8M,455010,/artist?id=311666,51,"Aug 18, 2022",13,4
108,0,United States,Lil Durk,20M,445068,/artist?id=4449,2,"Aug 20, 2020",47,1
109,56,Japan,Fujii Kaze,10M,436574,/artist?id=3416450,109,"Sep 1, 2022",10,3
110,-43,India,Sukh-E Muzical Doctorz,2.7M,435397,/artist?id=67606,50,"Feb 13, 2020",12,3
111,0,Unknown,DJ AK BR,1.9M,433354,/artist?id=9461923,111,"Sep 1, 2022",1,1
112,-23,Chile,Martinwhite,1.6M,432907,/artist?id=8667840,89,"Aug 25, 2022",5,5
113,-14,United Kingdom,KSI,4.3M,432168,/artist?id=5308,21,"Jul 22, 2021",44,4
114,-79,Unknown,Eftalya Yağcı,1.5M,432037,/artist?id=8831913,35,"Aug 25, 2022",2,2
115,529,Brazil,MC Bruna Alves,1.2M,431443,/artist?id=1739088,115,"Sep 1, 2022",9,3
116,11,Unknown,IluvUso,172K,428412,/artist?id=9020378,116,"Sep 1, 2022",2,2
117,0,United States,Jadakiss,2.2M,425074,/artist?id=197920,94,"Nov 11, 2021",18,1
118,20,Venezuela,Lasso,8.8M,424952,/artist?id=290803,14,"Jul 21, 2022",19,11
119,0,Unknown,love shayla,60K,424003,/artist?id=4092851,119,"Sep 1, 2022",6,1
120,0,Colombia,KAROL G,56M,421957,/artist?id=206809,4,"Mar 3, 2022",59,1
121,-5,Argentina,Bizarrap,50M,418189,/artist?id=648982,4,"Jul 28, 2022",57,11
122,37,United States,Akon,22M,414558,/artist?id=2007,21,"Jun 3, 2021",43,4
123,0,United Kingdom,Muse,13M,410950,/artist?id=471,36,"Jan 20, 2022",30,1
124,0,Unknown,Mau P,3.9M,397999,/artist?id=9580779,124,"Sep 1, 2022",1,1
125,0,United States,Kodak Black,24M,395089,/artist?id=205962,11,"May 19, 2022",45,1
126,19,United Kingdom,Sam Smith,62M,393732,/artist?id=3176,7,"Feb 20, 2020",52,4
127,-93,United States,Sofia Carson,5M,391721,/artist?id=5329,13,"Aug 18, 2022",21,5
128,109,Colombia,Camilo,19M,387069,/artist?id=1355995,10,"Jul 22, 2021",52,2
129,-120,United Kingdom,Central Cee,23M,386708,/artist?id=403699,1,"Aug 4, 2022",38,6
130,-17,Canada,Jonita Gandhi,11M,383757,/artist?id=6649,74,"Aug 18, 2022",38,3
131,0,United States,CORPSE,3.5M,381501,/artist?id=3598001,30,"Mar 18, 2021",22,1
132,-64,Unknown,Farel Prayoga,461K,375497,/artist?id=9438398,68,"Aug 25, 2022",3,2
133,-30,United States,Vansire,7.2M,374500,/artist?id=488416,103,"Aug 25, 2022",7,5
134,151,United States,Beach Weather,11M,372778,/artist?id=515660,54,"Jul 14, 2022",11,3
135,-7,India,Dhanush,7.2M,368070,/artist?id=146268,128,"Aug 25, 2022",9,5
136,-71,Colombia,Maluma,35M,367043,/artist?id=4679,8,"Nov 12, 2020",56,3
137,-43,India,Jaani,5.5M,366077,/artist?id=746940,94,"Aug 25, 2022",12,3
138,200,Unknown,ONIMXRU,4.3M,363105,/artist?id=9268742,138,"Sep 1, 2022",2,2
139,-42,Colombia,Piso 21,16M,362356,/artist?id=207061,97,"Aug 25, 2022",32,7
140,0,United States,Benjamin Gibbard,633K,359666,/artist?id=308823,140,"Sep 1, 2022",4,1
141,38,India,A.R. Rahman,26M,359380,/artist?id=117789,78,"Aug 18, 2022",71,7
142,82,Unknown,Just Lowkey,1.2M,358874,/artist?id=9427581,142,"Sep 1, 2022",3,3
143,-37,United States,Windser,729K,358845,/artist?id=3835720,87,"Nov 4, 2021",6,2
144,13,Mexico,Grupo Firme,15M,358755,/artist?id=808782,124,"Dec 16, 2021",57,2
145,-58,Japan,Ado,4.6M,357972,/artist?id=3918457,87,"Aug 25, 2022",14,4
146,95,Nigeria,Oxlade,6M,357886,/artist?id=1373421,146,"Sep 1, 2022",8,6
147,-55,Brazil,Luísa Sonza,9M,357526,/artist?id=647232,35,"Jul 29, 2021",54,6
148,0,United States,Ari Lennox,4.4M,355440,/artist?id=126793,63,"Nov 11, 2021",26,1
149,-127,United States,Jhené Aiko,11M,351948,/artist?id=99401,9,"Oct 29, 2020",31,3
150,51,Mexico,Luis R Conriquez,15M,351924,/artist?id=890339,136,"Mar 17, 2022",34,6
151,-66,France,Julien Marchal,5.3M,349077,/artist?id=210880,44,"Aug 11, 2022",6,5
152,0,United States,Cheat Codes,10M,347113,/artist?id=206343,91,"Feb 6, 2020",37,1
153,97,Unknown,574,67K,346009,/artist?id=3329845,153,"Sep 1, 2022",4,3
154,-35,Unknown,Xantesha,4.1M,344188,/artist?id=9331094,119,"Aug 25, 2022",6,6
155,48,Unknown,SLOWYMANE,417K,342417,/artist?id=8638439,155,"Sep 1, 2022",2,2
156,41,Brazil,MC Ryan SP,14M,341489,/artist?id=1139029,67,"Jul 1, 2021",31,5
157,-52,United States,Summer Walker,20M,340003,/artist?id=924777,7,"May 19, 2022",44,4
158,63,Indonesia,Lyodra,6.1M,335758,/artist?id=3534217,132,"Aug 5, 2021",25,2
159,0,Unknown,TOPIC42,924K,335204,/artist?id=4122234,70,"Sep 30, 2021",6,1
160,-94,United Kingdom,Aitch,8.3M,333906,/artist?id=828207,66,"Aug 25, 2022",32,2
161,-90,Unknown,Stars Music Chile,2.3M,333120,/artist?id=7809440,71,"Aug 25, 2022",2,2
162,0,United States,Moneybagg Yo,11M,332096,/artist?id=601328,20,"Apr 8, 2021",53,1
163,-116,United States,Rod Wave,7.3M,327240,/artist?id=1009958,14,"Jul 23, 2020",44,5
164,-17,Turkey,Jako,1.3M,326100,/artist?id=1596930,147,"Aug 25, 2022",2,2
165,-75,Spain,Kaydy Cain,1.9M,319120,/artist?id=392791,57,"Aug 18, 2022",7,3
166,-23,United States,why mona,1.5M,316722,/artist?id=726044,143,"Aug 25, 2022",5,5
167,-41,Indonesia,NIKI,9.7M,316090,/artist?id=711786,43,"Jan 27, 2022",43,4
168,-26,Colombia,Nanpa Básico,5M,314116,/artist?id=107780,63,"Aug 18, 2022",13,3
169,14,United Kingdom,James Arthur,34M,313520,/artist?id=4361,23,"Sep 24, 2020",41,5
170,-33,India,Vishal Chandrashekhar,4.7M,312237,/artist?id=60043,137,"Aug 25, 2022",7,4
171,0,Unknown,Real Boston Richey,1.5M,312011,/artist?id=8109281,171,"Sep 1, 2022",5,1
172,70,India,Mahati Swara Sagar,1.4M,310169,/artist?id=864782,172,"Sep 1, 2022",3,2
173,0,United States,Lainey Wilson,5.9M,309902,/artist?id=924861,173,"Sep 1, 2022",20,1
174,-113,Unknown,dazy,14M,309481,/artist?id=8099351,10,"Jun 23, 2022",29,21
175,-51,Brazil,DJ Zullu,827K,308339,/artist?id=1358031,124,"Aug 25, 2022",8,4
176,-136,United States,Demi Lovato,30M,308212,/artist?id=3167,3,"Sep 17, 2020",43,2
177,-67,Indonesia,Soegi Bornean,4.1M,307486,/artist?id=1693488,108,"Aug 4, 2022",6,6
178,-30,United Kingdom,Tom Grennan,9.4M,306240,/artist?id=210335,7,"Jun 10, 2021",46,4
179,-28,Germany,FAST BOY,11M,302582,/artist?id=4262925,14,"Aug 4, 2022",20,6
180,0,Mexico,Kevin Kaarl,7.4M,301328,/artist?id=1384740,58,"Apr 21, 2022",31,1
181,-56,Unknown,Prashant Katheriya,1.8M,301325,/artist?id=6396183,81,"Aug 18, 2022",11,10
182,-70,Colombia,Feid,39M,300797,/artist?id=152776,21,"Apr 14, 2022",67,14
183,0,United States,Snow Tha Product,3.8M,299958,/artist?id=208529,22,"May 6, 2021",17,1
184,-18,United States,Lil Tecca,13M,299424,/artist?id=1014878,27,"Apr 1, 2021",42,4
185,0,Korea,THE BOYZ,1.4M,298004,/artist?id=800582,185,"Sep 1, 2022",8,1
186,-117,United States,Lana Del Rey,43M,296892,/artist?id=3986,12,"Oct 22, 2020",58,6
187,0,United States,LANY,8.9M,294001,/artist?id=5377,29,"Jun 17, 2021",31,1
188,280,Unknown,Henry Moodie,3.7M,293492,/artist?id=9487806,188,"Sep 1, 2022",5,5
189,1,Unknown,MoonDeity,5.7M,292663,/artist?id=8292304,159,"Jun 23, 2022",13,13
190,-144,United States,Pop Smoke,24M,292523,/artist?id=1401297,2,"Jul 16, 2020",50,3
191,-119,United States,Red Hot Chili Peppers,29M,292485,/artist?id=802,24,"Feb 10, 2022",56,4
192,54,Germany,makko,3.2M,287529,/artist?id=1748365,190,"Aug 4, 2022",8,8
193,0,Unknown,İndira Elemes,0,286100,/artist?id=8240481,193,"Sep 1, 2022",2,1
194,-30,United States,Maddie & Tae,4.2M,285490,/artist?id=199486,164,"Aug 25, 2022",26,2
195,0,Italy,The Cube Guys,231K,281184,/artist?id=182440,195,"Sep 1, 2022",1,1
196,92,Peru,Nicole Zignago,413K,279341,/artist?id=885729,151,"Aug 27, 2020",7,2
197,0,Puerto Rico,Jay Wheeler,15M,278674,/artist?id=1405996,15,"Jul 16, 2020",63,1
198,0,Unknown,Sunmoon,874K,278521,/artist?id=4202142,198,"Sep 1, 2022",2,1
199,36,India,Anirudh Ravichander,13M,273478,/artist?id=148042,133,"Mar 17, 2022",35,3
200,84,Unknown,chyxz,315K,272399,/artist?id=9078064,200,"Sep 1, 2022",2,2
201,164,India,Santhosh Narayanan,7.6M,272022,/artist?id=401914,201,"Sep 1, 2022",9,3
202,127,Puerto Rico,Myke Towers,33M,269644,/artist?id=493823,4,"Oct 1, 2020",61,7
203,75,Unknown,Dxrk ダーク,7.2M,269008,/artist?id=6405704,43,"May 5, 2022",18,6
204,0,United States,Sanjoy,3.6M,268712,/artist?id=202161,204,"Sep 1, 2022",3,1
205,257,Colombia,Blessd,9.9M,267449,/artist?id=1776209,28,"Jun 10, 2021",36,2
206,197,Mexico,Reik,19M,267139,/artist?id=64141,54,"Jun 10, 2021",39,3
207,0,Panama,Sech,23M,266774,/artist?id=299477,2,"Jan 23, 2020",49,1
208,119,Unknown,sped up songs,3.8M,266073,/artist?id=9002682,208,"Sep 1, 2022",11,4
209,0,Australia,Amy Shark,1.9M,264799,/artist?id=144603,69,"Jun 16, 2022",16,1
210,0,United States,A$AP Ferg,11M,262213,/artist?id=4016,11,"Aug 13, 2020",34,1
211,0,Brazil,Murilo Huff,5.9M,261966,/artist?id=1103173,182,"Jun 18, 2020",29,1
212,-49,Korea,DPR IAN,2M,261723,/artist?id=3737128,163,"Aug 25, 2022",11,5
213,-98,United States,Fousheé,3.6M,260868,/artist?id=810286,4,"Jun 11, 2020",20,3
214,2,United States,Endo,974K,260796,/artist?id=306667,214,"Sep 1, 2022",3,2
215,611,Unknown,INTERWORLD,9.9M,259262,/artist?id=6518970,215,"Sep 1, 2022",4,2
216,-108,United States,44phantom,650K,255891,/artist?id=1676905,108,"Aug 25, 2022",2,2
217,420,Unknown,offwire,25,254047,/artist?id=8625599,28,"Apr 7, 2022",9,2
218,-7,France,Gesaffelstein,18M,251708,/artist?id=208032,47,"Aug 4, 2022",36,16
219,-65,Canada,Drake,69M,250863,/artist?id=3380,1,"Sep 16, 2021",59,4
220,-98,United Kingdom,James Carter,11M,250697,/artist?id=572007,21,"Aug 4, 2022",24,6
221,315,Puerto Rico,Mora,19M,250443,/artist?id=815149,7,"Jul 15, 2021",53,2
222,-34,Puerto Rico,Cauty,2.3M,249720,/artist?id=810107,188,"Aug 25, 2022",19,3
223,0,Monaco,DJ YUKI,316K,248965,/artist?id=4359498,223,"Sep 1, 2022",1,1
224,0,Unknown,Kushagra Krishnatrey,25,245608,/artist?id=5556715,224,"Sep 1, 2022",1,1
225,87,Chile,Standly,13M,243682,/artist?id=3744643,112,"Mar 17, 2022",22,2
226,-57,United States,2Rare,3.2M,243444,/artist?id=1479672,169,"Aug 25, 2022",5,2
227,-71,United Kingdom,Sam Gellaitry,1.6M,243189,/artist?id=5003,39,"Aug 18, 2022",5,3
228,0,United States,EARTHGANG,3.6M,239888,/artist?id=197672,59,"Jul 9, 2020",27,1
229,0,Nigeria,CKay,13M,239521,/artist?id=919695,1,"Oct 14, 2021",14,1
230,-70,India,Shreya Ghoshal,24M,239181,/artist?id=23385,144,"Aug 26, 2021",44,4
231,-124,United States,Knox,603K,238000,/artist?id=4230653,107,"Aug 25, 2022",3,3
232,109,India,Benny Dayal,9.4M,236303,/artist?id=87597,232,"Sep 1, 2022",22,2
233,166,Unknown,Rashmi Virag,7.7M,235833,/artist?id=5564704,69,"Nov 25, 2021",13,3
234,0,United States,Kameron Marlowe,3.3M,233806,/artist?id=1622883,234,"Sep 1, 2022",19,1
235,-61,Dominican Republic,Fuego,6.7M,232829,/artist?id=208528,69,"Nov 18, 2021",32,2
236,0,France,Mau,207K,232442,/artist?id=3513575,236,"Sep 1, 2022",5,1
237,-56,Unknown,sped up + reverb tazzy,3.7M,232170,/artist?id=9002681,181,"Aug 25, 2022",12,4
238,-129,Spain,Khaled,1.2M,230653,/artist?id=749956,84,"Aug 18, 2022",7,7
239,0,Brazil,João Neto & Frederico,1.3M,229687,/artist?id=147098,239,"Sep 1, 2022",8,1
240,-40,India,Arijit Singh,30M,229520,/artist?id=303406,35,"Aug 18, 2022",82,18
241,0,France,Karim Naas,65K,228284,/artist?id=3533582,236,"May 14, 2020",5,1
242,-44,India,S.P.Charan,4.2M,228117,/artist?id=80291,198,"Aug 25, 2022",4,3
243,-193,Argentina,Paulo Londra,14M,227856,/artist?id=665663,2,"Mar 31, 2022",27,3
244,-18,Unknown,Øneheart,6.3M,227715,/artist?id=3578846,226,"Aug 25, 2022",8,8
245,-147,Brazil,Mc Jacaré,5.8M,226245,/artist?id=1677080,27,"Aug 4, 2022",29,7
246,14,Italy,DJs From Mars,1.1M,225915,/artist?id=120945,246,"Sep 1, 2022",6,2
247,0,United States,DDG,4.2M,224872,/artist?id=38708,28,"Nov 12, 2020",31,1
248,21,Brazil,Paulo e Nathan,3.2M,223979,/artist?id=1088462,143,"Apr 14, 2022",17,6
249,-91,Indonesia,Yura Yunita,5.7M,222533,/artist?id=8230,158,"Aug 25, 2022",17,5
250,50,India,Vishal Bhardwaj,1.7M,222444,/artist?id=88630,250,"Sep 1, 2022",4,4
251,74,Canada,Fran C,3.9M,222064,/artist?id=815175,251,"Sep 1, 2022",3,2
252,-156,United States,Stephen Sanchez,34M,221147,/artist?id=3763237,5,"Jun 16, 2022",27,7
253,0,United Kingdom,YUNGBLUD,7.1M,220794,/artist?id=558951,20,"Mar 18, 2021",33,1
254,43,United States,EMELINE,3.2M,220442,/artist?id=563639,254,"Sep 1, 2022",18,3
255,-116,United States,David Morris,1.3M,220048,/artist?id=736982,139,"Aug 25, 2022",6,6
256,-81,United Kingdom,Maisie Peters,4.3M,219920,/artist?id=727522,100,"May 13, 2021",28,4
257,49,United States,SYML,13M,219064,/artist?id=207436,104,"Mar 10, 2022",31,4
258,0,France,Tayc,5.9M,218221,/artist?id=718668,190,"Mar 25, 2021",27,1
259,-127,Unknown,Dabzee,743K,218179,/artist?id=4219432,132,"Aug 25, 2022",3,3
260,-75,Unknown,Nateki,4M,216054,/artist?id=8470403,79,"Jun 9, 2022",8,6
261,40,United States,Grupo Frontera,19M,214236,/artist?id=8795738,229,"Jul 28, 2022",8,8
262,-142,United States,50 Cent,32M,213393,/artist?id=907,10,"Feb 24, 2022",47,4
263,-57,Mexico,Julión Álvarez y su Norteño Banda,11M,213309,/artist?id=106933,8,"Jun 30, 2022",8,2
264,-91,Italy,Benny Benassi,7.9M,211988,/artist?id=1692,58,"Aug 18, 2022",33,3
265,0,Nigeria,Alpha P,211K,211140,/artist?id=3317009,265,"Sep 1, 2022",1,1
266,106,Puerto Rico,DJ Nelson,12M,210150,/artist?id=192383,16,"Jul 16, 2020",47,2
267,251,Brazil,Guilherme & Benuto,9.8M,210052,/artist?id=1423874,101,"Apr 28, 2022",41,3
268,-139,Unknown,charlieonnafriday,4.3M,209080,/artist?id=3923533,97,"Aug 18, 2022",13,4
269,0,Unknown,DJ LG PROD,416K,208930,/artist?id=5869500,269,"Sep 1, 2022",1,1
270,45,Unknown,PLAYAMANE,3.9M,208553,/artist?id=8471746,132,"Jun 23, 2022",13,6
271,-31,Colombia,Nicky Jam,24M,208503,/artist?id=1948,8,"Jul 8, 2021",48,4
272,-50,India,Lisa Mishra,1.1M,208324,/artist?id=1147019,186,"Aug 18, 2022",11,3
273,0,United States,Madison Beer,12M,208014,/artist?id=4655,23,"Apr 9, 2020",36,1
274,-140,Unknown,Ici c'est Paris,63K,206914,/artist?id=9539790,134,"Aug 25, 2022",2,2
275,-98,Unknown,Judge & Jury,693K,206713,/artist?id=4622554,177,"Aug 25, 2022",2,2
276,0,Dominican Republic,Maffio,1.9M,205370,/artist?id=210450,164,"Feb 25, 2021",14,1
277,0,United States,Brent Faiyaz,18M,205281,/artist?id=207300,5,"Jul 8, 2021",45,1
278,5,Unknown,Marissa,649K,205226,/artist?id=8017555,247,"May 5, 2022",5,2
279,284,United States,Stephen Dawes,3.8M,205072,/artist?id=3361061,279,"Sep 1, 2022",2,2
280,2,Australia,Sia,48M,205017,/artist?id=1702,2,"Feb 27, 2020",51,3
281,0,United Kingdom,Marconi Union,727K,204914,/artist?id=213969,60,"Jan 14, 2021",7,1
