Rank,Change,Country,Artist,Monthly Listeners,Weekly Listeners Change,Internal Link,Peak Position,Peak Date,Weeks on Chart,Current Weekly Streak
1,0,Colombia,Bomba Estéreo,17M,7115360,/artist?id=3490,1,"May 12, 2022",10,1
2,0,United States,Tony Dize,12M,5904505,/artist?id=211998,2,"May 12, 2022",14,1
3,0,Puerto Rico,Buscabulla,4.5M,5407886,/artist?id=29165,3,"May 12, 2022",7,1
4,0,United States,The Marías,8.5M,5169164,/artist?id=653847,4,"May 12, 2022",14,1
5,3,United States,Lizzo,24M,4612138,/artist?id=210712,2,"Aug 26, 2021",21,4
6,110,Puerto Rico,Bad Bunny,65M,3932857,/artist?id=214945,3,"Mar 12, 2020",50,2
7,418,Puerto Rico,Chencho Corleone,29M,3883094,/artist?id=469886,7,"May 12, 2022",48,4
8,-5,Nigeria,Tems,14M,2868481,/artist?id=1345060,3,"May 5, 2022",16,2
9,-7,United States,Don Toliver,28M,2703020,/artist?id=838183,2,"May 5, 2022",43,3
10,0,France,Stardust,2.6M,1981494,/artist?id=1633104,10,"May 12, 2022",4,1
11,-4,Korea,PSY,5.9M,1941793,/artist?id=3301,7,"May 5, 2022",5,2
12,-7,United States,Future,48M,1937170,/artist?id=3870,2,"Jan 16, 2020",45,2
13,0,Puerto Rico,Jhay Cortez,1M,1893693,/artist?id=731962,1,"Nov 19, 2020",32,1
14,0,Puerto Rico,Rauw Alejandro,49M,1865281,/artist?id=224838,2,"Feb 11, 2021",64,1
15,9,Colombia,Shakira,79M,1707704,/artist?id=308,4,"Feb 13, 2020",51,5
16,-10,United States,Jack Harlow,30M,1593452,/artist?id=152627,1,"Aug 19, 2021",56,5
17,6,Korea,Jimin,15M,1552491,/artist?id=9091402,17,"May 12, 2022",2,2
18,-14,United Kingdom,Harry Styles,66M,1462037,/artist?id=558681,1,"Apr 28, 2022",45,6
19,255,United States,Kendrick Lamar,43M,1424314,/artist?id=3768,14,"Sep 16, 2021",46,4
20,32,Colombia,KAROL G,56M,1397832,/artist?id=206809,4,"Mar 3, 2022",53,2
21,-7,Unknown,Benson Boone,11M,1373692,/artist?id=7623714,8,"Nov 11, 2021",11,2
22,141,United States,Pharrell Williams,24M,1349834,/artist?id=2143,10,"Jul 1, 2021",49,8
23,-10,United States,Jessi,3M,1346118,/artist?id=452089,13,"May 5, 2022",21,4
24,121,United States,Lady Gaga,57M,1247078,/artist?id=3188,1,"Jun 4, 2020",40,5
25,-16,United States,Lil Baby,31M,1227312,/artist?id=731530,1,"Sep 9, 2021",50,5
26,5,Unknown,Pailita,10M,1185880,/artist?id=3765579,26,"May 12, 2022",20,10
27,507,Canada,Drake,69M,1184212,/artist?id=3380,1,"Sep 16, 2021",47,2
28,-2,United States,Leah Kate,3.3M,1167722,/artist?id=1049816,26,"May 5, 2022",22,7
29,8,Chile,Polimá Westcoast,0,1131065,/artist?id=1015422,29,"May 12, 2022",17,9
30,539,United States,Justin Timberlake,30M,1079044,/artist?id=1450,10,"Mar 5, 2020",44,5
31,-4,United Kingdom,Connie Constance,3.3M,1033388,/artist?id=381648,12,"Apr 28, 2022",4,4
