Rank,Change,Country,Artist,Monthly Listeners,Weekly Listeners Change,Internal Link,Peak Position,Peak Date,Weeks on Chart,Current Weekly Streak
1,0,Germany,Kim Petras,35M,8338815,/artist?id=717311,1,"Sep 29, 2022",29,1
2,32,United Kingdom,Sam Smith,62M,5625207,/artist?id=3176,2,"Sep 29, 2022",56,8
3,0,United States,Bebe Rexha,47M,2672972,/artist?id=4429,1,"Sep 15, 2022",34,5
4,7,France,David Guetta,70M,1915817,/artist?id=1006,4,"Sep 29, 2022",77,5
5,-1,United Kingdom,Lewis Capaldi,33M,1888952,/artist?id=550208,4,"Sep 22, 2022",23,3
6,15,United States,Omar Apollo,10M,1868918,/artist?id=665527,6,"Sep 29, 2022",34,3
7,188,United Kingdom,Aitch,8.3M,1851082,/artist?id=828207,7,"Sep 29, 2022",36,6
8,0,Unknown,Eliza Rose,6.7M,1833711,/artist?id=3733653,8,"Sep 29, 2022",12,12
9,3,United Kingdom,Interplanetary Criminal,6.4M,1797843,/artist?id=578985,9,"Sep 29, 2022",12,12
10,0,United States,d4vd,31M,1763463,/artist?id=8429799,10,"Sep 29, 2022",9,9
11,0,Unknown,N.I.N.A,2.9M,1552175,/artist?id=3823136,11,"Sep 29, 2022",1,1
12,0,United States,Lil Nas X,35M,1503234,/artist?id=1366172,1,"Apr 22, 2021",39,1
13,11,United States,Montell Fish,7.7M,1452165,/artist?id=468869,13,"Sep 29, 2022",26,4
14,-1,United States,Armani White,8M,1416686,/artist?id=420432,13,"Sep 22, 2022",17,11
15,36,United States,BIA,9M,1372373,/artist?id=473107,15,"Sep 29, 2022",36,3
16,0,Unknown,Oruam,7.1M,1250098,/artist?id=8068797,16,"Sep 29, 2022",7,1
17,46,Canada,Fran C,3.9M,1240568,/artist?id=815175,17,"Sep 29, 2022",7,6
18,56,Unknown,Pablo Pesadilla,2.8M,1222697,/artist?id=1392183,18,"Sep 29, 2022",5,4
19,0,Unknown,Hatsune Miku,1.4M,1177259,/artist?id=9363735,19,"Sep 29, 2022",1,1
20,69,Chile,Nickoog Clk,4.6M,1165340,/artist?id=4127288,20,"Sep 29, 2022",5,2
21,4,Mexico,La Adictiva,0,1080720,/artist?id=1031530,21,"Sep 29, 2022",3,3
22,0,Brazil,Tz da Coronel,5.6M,1031739,/artist?id=4121824,22,"Sep 29, 2022",10,1
23,0,Unknown,Chefin,5.2M,981560,/artist?id=7125447,18,"Jan 27, 2022",8,1
24,0,Puerto Rico,Baby Rasta,9.5M,978249,/artist?id=22917,24,"Sep 29, 2022",1,1
25,21,Sri Lanka,Yohani,7.2M,952990,/artist?id=3946757,25,"Sep 29, 2022",8,2
26,-7,Japan,Fujii Kaze,10M,950223,/artist?id=3416450,19,"Sep 22, 2022",14,7
27,-9,Nigeria,Oxlade,6M,912876,/artist?id=1373421,18,"Sep 22, 2022",12,10
28,0,Brazil,Chris MC,4.6M,907136,/artist?id=607865,28,"Sep 29, 2022",12,1
29,-22,Nigeria,Rema,39M,878885,/artist?id=1426518,2,"Sep 15, 2022",47,20
