Rank,Change,Country,Artist,Monthly Listeners,Weekly Listeners Change,Internal Link,Peak Position,Peak Date,Weeks on Chart,Current Weekly Streak
1,5,Cuba,Camila Cabello,40M,2631254,/artist?id=454302,1,"Mar 17, 2022",24,2
2,0,United States,Megan Thee Stallion,24M,2297160,/artist?id=788785,2,"Mar 17, 2022",49,1
3,7,Chile,Cris Mj,19M,1919229,/artist?id=3626425,3,"Mar 17, 2022",12,4
4,-2,Puerto Rico,Residente,3.3M,1859766,/artist?id=213188,2,"Mar 10, 2022",12,2
5,21,United States,Nirvana,27M,1829917,/artist?id=19,2,"Feb 6, 2020",49,2
6,2,United States,Kimbra,9.5M,1792116,/artist?id=422193,6,"Mar 17, 2022",4,3
7,-6,United States,Zendaya,12M,1734260,/artist?id=4051,1,"Mar 10, 2022",22,10
8,-4,United Kingdom,Labrinth,25M,1520410,/artist?id=3696,4,"Mar 10, 2022",39,10
9,5,United States,Elley Duhé,26M,1502869,/artist?id=215318,9,"Mar 17, 2022",26,18
10,-3,Nigeria,Omah Lay,7M,1440196,/artist?id=3578130,7,"Mar 10, 2022",7,2
11,-8,United States,Dove Cameron,12M,1409171,/artist?id=4898,1,"Mar 3, 2022",22,5
12,66,Brazil,Anitta,23M,1348041,/artist?id=4520,12,"Mar 17, 2022",39,2
13,96,United Kingdom,Dave,8.8M,1187642,/artist?id=206742,10,"Jul 29, 2021",18,2
14,-5,Colombia,KAROL G,56M,1167001,/artist?id=206809,4,"Mar 3, 2022",51,5
15,-10,United States,Becky G,29M,1112504,/artist?id=4236,2,"Mar 3, 2022",50,5
16,0,United Kingdom,Dua Lipa,62M,1104736,/artist?id=5381,10,"Feb 13, 2020",61,1
17,0,Korea,TREASURE,4.2M,1073708,/artist?id=3858573,17,"Mar 17, 2022",14,4
18,-3,United States,DNCE,11M,1044266,/artist?id=5332,3,"Mar 3, 2022",20,3
19,21,Unknown,Elenko Music,21K,1008002,/artist?id=8376948,19,"Mar 17, 2022",4,3
20,-7,United States,iann dior,14M,1003623,/artist?id=1416285,1,"Oct 8, 2020",43,3
21,10,Norway,Alan Walker,25M,989804,/artist?id=5451,13,"Jan 9, 2020",44,4
22,13,Brazil,WEY,1.1M,964495,/artist?id=1379203,22,"Mar 17, 2022",5,3
23,-11,Argentina,Bizarrap,50M,963355,/artist?id=648982,11,"Aug 6, 2020",40,2
24,8,Mexico,Eden Muñoz,10M,957480,/artist?id=3905187,24,"Mar 17, 2022",5,5
25,-14,United States,Tyga,24M,935798,/artist?id=3184,5,"Apr 2, 2020",33,4
26,0,United States,"Tyler, The Creator",26M,897189,/artist?id=2498,4,"Jul 8, 2021",30,1
27,0,United Kingdom,Rex Orange County,16M,896203,/artist?id=213819,27,"Mar 17, 2022",30,1
28,177,Germany,Giant Rooks,4.5M,890878,/artist?id=214634,28,"Mar 17, 2022",10,3
29,-9,United Kingdom,Cat Burns,7.6M,889537,/artist?id=524443,20,"Mar 10, 2022",9,8
30,-7,Brazil,Mc Pedrinho,5.6M,858390,/artist?id=110199,7,"Mar 3, 2022",16,6
31,44,Indonesia,Tulus,8.2M,855594,/artist?id=175814,31,"Mar 17, 2022",10,2
32,491,United States,Kevin Gates,6.1M,846707,/artist?id=3342,32,"Mar 17, 2022",30,2
33,70,United Kingdom,Florence + The Machine,15M,820253,/artist?id=3129,32,"Mar 3, 2022",28,3
34,0,Canada,Simon Ward,385K,808310,/artist?id=1096682,34,"Mar 17, 2022",1,1
35,0,Unknown,A2 Anti,1.1M,803857,/artist?id=5049213,35,"Mar 17, 2022",1,1
36,25,Norway,Kygo,28M,803288,/artist?id=4761,10,"May 28, 2020",41,3
37,-19,Brazil,Mc Phe Cachorrera,1.6M,778920,/artist?id=29517,18,"Mar 10, 2022",2,2
38,163,Germany,AnnenMayKantereit,6M,763578,/artist?id=4750,38,"Mar 17, 2022",11,3
39,-2,Brazil,Vulgo FK,4.5M,749178,/artist?id=1329989,37,"Mar 10, 2022",7,3
40,0,United States,Latto,11M,744495,/artist?id=241165,40,"Mar 17, 2022",46,1
41,-19,Colombia,MC Kapela,1.9M,709993,/artist?id=153659,22,"Mar 10, 2022",2,2
42,-4,Puerto Rico,Zion & Lennox,20M,708232,/artist?id=1983,38,"Mar 10, 2022",40,6
43,34,Unknown,TAYA,4.7M,698247,/artist?id=3661100,43,"Mar 17, 2022",3,2
44,-11,Korea,NMIXX,5M,689508,/artist?id=8433383,33,"Mar 10, 2022",3,3
45,0,United States,Imagine Dragons,60M,683772,/artist?id=4132,6,"Mar 18, 2021",58,1
46,-22,Brazil,Gaab,5.7M,674359,/artist?id=175932,24,"Mar 10, 2022",4,2
47,18,Colombia,Ryan Castro,13M,673264,/artist?id=1045417,28,"Feb 3, 2022",31,23
48,8,Unknown,lil Shordie Scott,796K,664337,/artist?id=8390897,48,"Mar 17, 2022",3,3
49,32,Unknown,Fabio Asher,4.5M,651468,/artist?id=8429887,49,"Mar 17, 2022",3,3
50,404,United States,Josh Levi,1.9M,638960,/artist?id=442861,50,"Mar 17, 2022",3,3
51,0,United States,Ashanti,6.4M,632933,/artist?id=1233,22,"Sep 30, 2021",12,1
52,460,United States,Jordan Fisher,2.6M,624844,/artist?id=208539,52,"Mar 17, 2022",4,3
53,-4,Netherlands,R3HAB,21M,616324,/artist?id=3455,41,"Apr 16, 2020",44,2
54,-25,Norway,Torine,617K,598168,/artist?id=1457595,29,"Mar 10, 2022",10,2
55,96,United Kingdom,Tom Odell,27M,591209,/artist?id=4348,43,"Apr 29, 2021",30,3
56,-35,United States,Dominic Fike,11M,589048,/artist?id=831744,20,"Apr 1, 2021",36,10
57,30,Canada,Nelly Furtado,19M,577471,/artist?id=831,55,"Nov 5, 2020",52,6
58,-19,United States,Em Beihold,26M,568760,/artist?id=3667396,13,"Feb 24, 2022",11,7
59,-17,Brazil,MC Menor da VG,3.3M,549662,/artist?id=32875,42,"Mar 10, 2022",9,8
60,296,Sweden,Cornelia Jakobs,575K,549607,/artist?id=815086,60,"Mar 17, 2022",3,3
61,3,United States,salem ilese,6.6M,549326,/artist?id=728818,4,"Sep 24, 2020",26,3
62,-8,Brazil,Luiz Lins,2.5M,538937,/artist?id=243895,19,"Mar 3, 2022",4,3
63,0,Germany,Rammstein,11M,536763,/artist?id=12,63,"Mar 17, 2022",6,1
64,111,Germany,Bergen,1.2M,535787,/artist?id=31032,64,"Mar 17, 2022",2,2
65,173,Unknown,Topher Ngo,1.8M,532910,/artist?id=4980397,65,"Mar 17, 2022",2,2
66,5,Korea,TOMORROW X TOGETHER,8.9M,532503,/artist?id=1414812,65,"Mar 3, 2022",28,3
67,1,Brazil,Mc Kevin,4.2M,532427,/artist?id=430602,61,"May 27, 2021",18,2
68,186,United States,Finneas O'Connell,2.2M,530932,/artist?id=3489278,68,"Mar 17, 2022",2,2
69,-35,Spain,Quevedo,0,529400,/artist?id=4004432,21,"Feb 24, 2022",8,8
70,16,Unknown,Aditya A,6.4M,524081,/artist?id=3824190,70,"Mar 17, 2022",4,4
